sample_name	Secondary_sample_accession	prepublication_sample_accession	latitude	longitude
AHK001.A0101	ERS15409338	ERSX0004001	-27.105794	-109.363193
AKI001.A0101	ERS15409339	ERSX0004002	-27.105794	-109.363193
AKI002.A0101	ERS15409340	ERSX0004003	-27.105794	-109.363193
AMH001.A0101	ERS15409341	ERSX0004004	-27.105794	-109.363193
AMH002.A0101	ERS15409342	ERSX0004005	-27.105794	-109.363193
AMH003.A0101	ERS15409343	ERSX0004006	-27.105794	-109.363193
AMH004.A0101	ERS15409344	ERSX0004007	-27.105794	-109.363193
ANK001.A0101	ERS15409345	ERSX0004008	-27.105794	-109.363193
ANN001.A0101	ERS15409346	ERSX0004009	-27.105794	-109.363193
ANN002.A0101	ERS15409347	ERSX0004010	-27.105794	-109.363193
ANN003.A0101	ERS15409348	ERSX0004011	-27.105794	-109.363193
ANN004.A0101	ERS15409349	ERSX0004012	-27.105794	-109.363193
AON001.A0101	ERS15409350	ERSX0004013	-27.105794	-109.363193
AON002.A0101	ERS15409351	ERSX0004014	-27.105794	-109.363193
ATT001.A0101	ERS15409352	ERSX0004015	-27.105794	-109.363193
ATT002.A0101	ERS15409353	ERSX0004016	-27.105794	-109.363193
EFE002.B0101	ERS15409354	ERSX0004017	-17.6358	168.2048
EFE003.B0101	ERS15409355	ERSX0004018	-17.6747	168.5449
EFE004.B0101	ERS15409356	ERSX0004019	-17.7994	168.5396
EFE005.B0101	ERS15409357	ERSX0004020	-17.7994	168.5396
EFE006.B0101	ERS15409358	ERSX0004021	-17.7994	168.5396
FUT018.B0101	ERS15409359	ERSX0004022	-19.5116	170.23
FUT021.B0101	ERS15409360	ERSX0004023	-19.5116	170.23
FUT024.B0101	ERS15409361	ERSX0004024	-19.5116	170.23
HCLVMBCX2-3505-01-00-01_S1	ERS15409362	ERSX0004025	-17.7957	168.3661
HCLVMBCX2-3505-02-00-01_S2	ERS15409363	ERSX0004026	-17.7957	168.3661
HCLVMBCX2-3505-03-00-01_S3	ERS15409364	ERSX0004027	-17.7957	168.3661
HCLVMBCX2-3505-04-00-01_S4	ERS15409365	ERSX0004028	-17.7957	168.3661
HCLVMBCX2-3505-05-00-01_S5	ERS15409366	ERSX0004029	-17.7957	168.3661
HCLVMBCX2-3505-06-00-01_S6	ERS15409367	ERSX0004030	-17.7957	168.3661
HCLVMBCX2-3505-07-00-01_S7	ERS15409368	ERSX0004031	-17.7957	168.3661
HCLVMBCX2-3505-08-00-01_S8	ERS15409369	ERSX0004032	-17.7957	168.3661
HCLVMBCX2-3505-09-00-01_S9	ERS15409370	ERSX0004033	-17.7957	168.3661
HCLVMBCX2-3505-10-00-01_S10	ERS15409371	ERSX0004034	-17.7957	168.3661
HCLVMBCX2-3505-11-00-01_S11	ERS15409372	ERSX0004035	-16.0899	167.458
HCLVMBCX2-3505-12-00-01_S12	ERS15409373	ERSX0004036	-16.0899	167.458
HCLVMBCX2-3505-13-00-01_S13	ERS16464435	ERSX0004037	NA	NA
HCLVMBCX2-3505-14-00-01_S14	ERS15409374	ERSX0004038	-15.8979	167.3091
HCLVMBCX2-3505-15-00-01_S15	ERS15409375	ERSX0004039	-15.8979	167.3091
HCLVMBCX2-3505-16-00-01_S16	ERS15409376	ERSX0004040	-15.8979	167.3091
HCLVMBCX2-3505-17-00-01_S17	ERS15409377	ERSX0004041	-17.7957	168.3661
HCLVMBCX2-3505-18-00-01_S18	ERS15409378	ERSX0004042	-16.0899	167.458
HCLVMBCX2-3505-19-00-01_S19	ERS16464436	ERSX0004043	NA	NA
HCLVMBCX2-3505-20-00-01_S20	ERS15409379	ERSX0004044	-16.0899	167.458
HCLVMBCX2-3505-21-00-01_S21	ERS15409380	ERSX0004045	-16.0899	167.458
HCLVMBCX2-3505-22-00-01_S22	ERS15409381	ERSX0004046	-4.1148	152.0679
HCLVMBCX2-3505-23-00-01_S23	ERS15409382	ERSX0004047	-17.7957	168.3661
HCLVMBCX2-3505-24-00-01_S24	ERS15409383	ERSX0004048	-17.7957	168.3661
HCLVMBCX2-3505-25-00-01_S25	ERS15409384	ERSX0004049	-17.7957	168.3661
HCLVMBCX2-3505-26-00-01_S26	ERS15409385	ERSX0004050	-15.8979	167.3091
HCLVMBCX2-3505-27-00-01_S27	ERS15409386	ERSX0004051	-15.8979	167.3091
HCLVMBCX2-3505-28-00-01_S28	ERS15409387	ERSX0004052	-4.1148	152.0679
HCLVMBCX2-3505-29-00-01_S29	ERS15409388	ERSX0004053	-17.7957	168.3661
HCLVMBCX2-3505-31-00-01_S31	ERS15409389	ERSX0004054	-17.7957	168.3661
HCLVMBCX2-3505-32-00-01_S32	ERS16464437	ERSX0004055	NA	NA
HCLVMBCX2-3505-33-00-01_S33	ERS15409390	ERSX0004056	-16.0899	167.458
HPD005.B0101	ERSX0004057	ERSX0004057	25.155	121.764
HPD006.B0101	ERSX0004058	ERSX0004058	25.155	121.764
HPD007.B0101	ERSX0004059	ERSX0004059	25.155	121.764
NMU115.A0101	ERS15409391	ERSX0004060	-9.8778	167.1772
NMU116.A0101	ERS15409392	ERSX0004061	-9.8778	167.1772
NMU117.A0101	ERS15409393	ERSX0004062	-9.8778	167.1772
NMU118.A0101	ERS15409394	ERSX0004063	-9.8778	167.1772
NMU119.A0101	ERS15409395	ERSX0004064	-9.8778	167.1772
NMU120.A0101	ERS15409396	ERSX0004065	-9.8778	167.1772
NMU121.A0101	ERS15409397	ERSX0004066	-9.8778	167.1772
NMU122.A0101	ERS15409398	ERSX0004067	-9.8778	167.1772
NMU123.A0101	ERS15409399	ERSX0004068	-9.8778	167.1772
NMU124.A0101	ERS15409400	ERSX0004069	-9.8778	167.1772
NMU125.A0101	ERS15409401	ERSX0004070	-9.8778	167.1772
NMU126.A0101	ERS15409402	ERSX0004071	-9.8778	167.1772
NMU127.A0101	ERS15409403	ERSX0004072	-9.8778	167.1772
NMU128.A0101	ERS15409404	ERSX0004073	-9.8778	167.1772
NMU129.A0101	ERS15409405	ERSX0004074	-9.8778	167.1772
NMU130.A0101	ERS15409406	ERSX0004075	-9.8778	167.1772
NMU131.A0101	ERS15409407	ERSX0004076	-9.8778	167.1772
PAH001.A0102	ERS15409408	ERSX0004077	-8.6224	120.9186
PAH002.A0101	ERS15409409	ERSX0004078	-8.6224	120.9186
PAH003.A0101	ERS15409410	ERSX0004079	-8.6224	120.9186
RAP001.A0101	ERS15409412	ERSX0004081	-27.105794	-109.363193
RAP002.A0101	ERS15409413	ERSX0004082	-27.105794	-109.363193
SIG031.A0101	ERS15409414	ERSX0004083	-18.1421	177.5077
SIG032.A0101	ERS15409415	ERSX0004084	-18.1421	177.5077
SIG033.A0101	ERS15409416	ERSX0004085	-18.1421	177.5077
SIG034.A0101	ERS15409417	ERSX0004086	-18.1421	177.5077
SIG035.A0101	ERS15409418	ERSX0004087	-18.1421	177.5077
SIG036.A0101	ERS15409419	ERSX0004088	-18.1421	177.5077
SIG037.A0101	ERS15409420	ERSX0004089	-18.1421	177.5077
SIG038.A0101	ERS15409421	ERSX0004090	-18.1421	177.5077
SIG039.A0101	ERS15409422	ERSX0004091	-18.1421	177.5077
SIG040.A0101	ERS15409423	ERSX0004092	-18.1421	177.5077
SIG040.A0201	ERS15409423	ERSX0004093	-18.1421	177.5077
SIG041.A0101	ERS15409424	ERSX0004094	-18.1421	177.5077
SIG042.A0101	ERS15409425	ERSX0004095	-18.1421	177.5077
SIG043.A0101	ERS15409426	ERSX0004096	-18.1421	177.5077
SIG044.A0101	ERS15409427	ERSX0004097	-18.1421	177.5077
SIG045.A0101	ERS15409428	ERSX0004098	-18.1421	177.5077
SIG046.A0101	ERS15409429	ERSX0004099	-18.1421	177.5077
SIG046.A0201	ERS15409429	ERSX0004100	-18.1421	177.5077
SIG047.A0101	ERS15409430	ERSX0004101	-18.1421	177.5077
TAP001.B0101	ERS15409431	ERSX0004102	-16.8424	-151.3873
TAP003.B0101	ERS15409432	ERSX0004103	-16.8424	-151.3873
TON001.C0101	ERS15409433	ERSX0004104	-21.191	-175.1922
TON003.B0101	ERS15409434	ERSX0004105	-21.191	-175.1922
TON004.B0101	ERS15409435	ERSX0004106	-21.191	-175.1922
