id	domain	phylum	class	order	family	genus	species
pr_cl_1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosotenuis	Nitrosotenuis pr_cl_1
pr_cl_2	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosotenuis	Nitrosotenuis pr_cl_2
pr_cl_3	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosotenuis	Nitrosotenuis pr_cl_3
pr_cl_4	Bacteria	Pseudomonadota	Gammaproteobacteria	HTCC5015	HTCC5015 unknown	HTCC5015 unknown	HTCC5015 pr_cl_4
pr_cl_5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	Phil12	Phil12 pr_cl_5
pr_cl_6	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	MWCO01	MWCO01 pr_cl_6
pr_cl_7	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	MWCO01	MWCO01 pr_cl_7
pr_cl_8	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter pr_cl_8
pr_cl_9	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	HRBIN33	HRBIN33 pr_cl_9
pr_cl_10	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_10
pr_cl_11	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_11
pr_cl_12	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_12
pr_cl_13	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_13
pr_cl_14	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_14
pr_cl_15	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_15
pr_cl_16	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_16
pr_cl_17	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_17
pr_cl_18	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_18
pr_cl_19	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_19
pr_cl_20	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_20
pr_cl_21	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_21
pr_cl_22	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_22
pr_cl_23	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_23
pr_cl_24	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_24
pr_cl_25	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_25
pr_cl_26	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_26
pr_cl_27	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_27
pr_cl_28	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_28
pr_cl_29	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_29
pr_cl_30	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_30
pr_cl_31	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_31
pr_cl_32	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_32
pr_cl_33	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_33
pr_cl_34	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_34
pr_cl_35	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_35
pr_cl_36	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus pr_cl_36
