primary_cluster	cluster_type	HOMD
1	Env	no
2	Env	no
3	Env	no
4	Env	no
5	H	no
6	H	no
7	H	no
8	H	no
9	Env	no
10	H	no
11	H	no
12	H	no
13	N	no
14	H	no
15	H	no
16	H	no
17	H	no
18	H	no
19	H	no
20	H	no
21	H	no
22	H	no
23	H	no
24	H	no
25	H	no
26	H	no
27	H	no
28	H	no
29	H	no
30	H	no
31	H	no
32	H	no
33	H	no
34	H	no
35	H	no
36	H	no
37	H	no
38	H	no
39	H	no
40	H	no
41	H	no
42	H	no
43	H	no
44	H-P	no
45	H	no
46	P	no
47	H	no
48	H	no
49	H	no
50	H	no
51	P	no
52	H	no
53	H	no
54	H	no
55	H	no
56	H	no
57	H	no
58	H	no
59	H	no
60	H	no
61	H	no
62	H	no
63	H	no
64	H	no
65	H	no
66	H	no
67	H	no
68	H	no
69	H	no
70	H	no
71	H	no
72	H	no
73	H	no
74	H	no
75	H	no
76	H	no
77	H	no
78	H	no
79	H	no
80	H	no
81	H	no
82	H	no
83	H	no
84	H	no
85	H	no
86	H	no
87	H	no
88	H	no
89	H	no
90	H	no
91	H	no
92	H	no
93	H	no
94	H	no
95	H	no
96	H	no
97	H	no
98	H	no
99	H	no
100	H	no
101	H	no
102	H	no
103	H	no
104	H	no
105	H	no
106	H	no
107	H	no
108	H	no
109	H	no
110	H	no
111	H	no
112	H	no
113	H	no
114	H	no
115	H	no
116	H	no
117	H	no
118	H	no
119	H	no
120	H	no
121	H	no
122	H	no
123	H	no
124	H	no
125	H	no
126	H	no
127	H	no
128	H	no
129	H	no
130	H	no
131	H	no
132	H	no
133	H	HOMD
134	H	no
135	H	no
136	H	no
137	H	no
138	H	no
139	H	no
140	H	no
141	H	no
142	H	no
143	H	no
144	H	no
145	H	no
146	H	no
147	H	no
148	H	no
149	H	no
150	H	no
151	H	no
152	H	no
153	H	no
154	H	no
155	H	no
156	H	no
157	H	no
158	H	no
159	H	no
160	H	no
161	H	no
162	H	no
163	H	no
164	H	no
165	H	no
166	H	no
167	H	no
168	H	no
169	H	no
170	H	no
171	H	no
172	H	no
173	H	no
174	H	no
175	H	no
176	H	no
177	H	no
178	H	no
179	H	no
180	H	no
181	H	no
182	H	no
183	H	no
184	H	no
185	H	no
186	H	no
187	H	no
188	H	no
189	H	no
190	H	no
191	H	no
192	H	no
193	H	no
194	H	no
195	H	no
196	H	no
197	H	no
198	H	no
199	H	no
200	H	no
201	H	no
202	H	no
203	H	no
204	H	no
205	H	no
206	H	no
207	H	no
208	H	no
209	H	no
210	H	no
211	H	no
212	H	no
213	H	no
214	H	no
215	H	no
216	H	no
217	H	HOMD
218	H	no
219	H	no
220	H	no
221	H	no
222	H	no
223	H	no
224	H	no
225	H	no
226	H	no
227	H	no
228	H	no
229	H	no
230	H	no
231	H	no
232	H	no
233	H	no
234	H	no
235	H	no
236	H	no
237	H	no
238	H	no
239	H	no
240	H	no
241	H	no
242	H	no
243	H	no
244	H	no
245	H	no
246	H	no
247	H	no
248	H	no
249	H	no
250	H	no
251	H	no
252	H	no
253	H	no
254	H	no
255	H	no
256	H	no
257	H	no
258	H	no
259	H	no
260	H	no
261	H	no
262	H	no
263	H	no
264	H	no
265	H	no
266	H	no
267	H	no
268	H	no
269	H	no
270	H	no
271	H	no
272	H	no
273	H	no
274	H	no
275	H	no
276	H	no
277	H	HOMD
278	H	no
279	U	no
280	U	no
281	H	no
282	A	no
283	H	HOMD
284	H	no
285	H	no
286	H	no
287	H	HOMD
288	H	no
289	H	no
290	H-A	no
291	H	no
292	H	no
293	H	no
294	H	no
295	H	no
296	H	no
297	H	no
298	H	no
299	H	no
300	H	no
301	H	no
302	H	no
303	H	no
304	H	no
305	H	no
306	H	no
307	H	no
308	H	no
309	H	no
310	H	no
311	H	no
312	H	no
313	H	no
314	H	no
315	H	no
316	H	no
317	H	no
318	H	no
319	H	no
320	H	no
321	H	no
322	H	no
323	N	no
324	H	no
325	H	no
326	H	no
327	H	no
328	H	no
329	H	HOMD
330	H	no
331	H	no
332	H	no
333	H	no
334	H	no
335	H	no
336	H	no
337	H	no
338	H	no
339	H	no
340	H	no
341	H	no
342	H	no
343	H	no
344	H	no
345	H	no
346	H	no
347	H	no
348	H	no
349	H	no
350	H	no
351	H	no
352	H	no
353	H	HOMD
354	H	no
355	H	no
356	H	no
357	H	no
358	H	no
359	H	no
360	H	no
361	H	no
362	H	no
363	H	HOMD
364	H	no
365	H	no
366	H	no
367	H	no
368	H	no
369	H	no
370	H	no
371	H	no
372	H	no
373	H	no
374	H	no
375	H	no
376	H	HOMD
377	H	no
378	H	no
379	H	no
380	H	no
381	H	no
382	H	no
383	H	no
384	H	no
385	H	no
386	H	no
387	H	no
388	H	no
389	H	no
390	H	no
391	H	HOMD
392	H	no
393	H	no
394	H	no
395	H	no
396	H	no
397	H	no
398	H	no
399	H	no
400	H	no
401	H	no
402	H	no
403	H	no
404	H	no
405	H	no
406	H	no
407	H	no
408	H	no
409	H	no
410	H	no
411	H	no
412	H	no
413	H	no
414	H	no
415	H	no
416	H	no
417	H	no
418	H	no
419	H	no
420	H	no
421	H	no
422	H	no
423	H	no
424	H	no
425	H	no
426	H	no
427	H	no
428	H	HOMD
429	H	no
430	H	no
431	G	no
432	P	no
433	H	HOMD
434	H	no
435	H	no
436	H	no
437	H	no
438	H	HOMD
439	H	no
440	H	no
441	H	no
442	H	no
443	H	no
444	H	no
445	H	no
446	H	no
447	H	no
448	H	no
449	H	no
450	H	no
451	H	no
452	H	no
453	H	HOMD
454	H	HOMD
455	H	no
456	H	no
457	H	no
458	H	no
459	H	HOMD
460	H	HOMD
461	H	HOMD
462	H	no
463	H	no
464	H	no
465	H	no
466	H	no
467	H	HOMD
468	H	HOMD
469	H	no
470	H	no
471	H	no
472	G	no
473	P	no
474	H	no
475	H	no
476	H	no
477	H	no
478	H	no
479	H	no
480	H	no
481	H	no
482	H	no
483	H	no
484	H	no
485	H	no
486	H	no
487	H	no
488	H	no
489	H	no
490	H	no
491	H	no
492	H	no
493	H	no
494	H	no
495	H	no
496	H	no
497	H	no
498	H	no
499	H	no
500	H	no
501	H	no
502	H	no
503	H	no
504	H	no
505	H	no
506	H	no
507	H	no
508	H	no
509	H	no
510	H	no
511	H	no
512	H	no
513	H	no
514	H	no
515	H	no
516	H	no
517	H	no
518	H	no
519	H	no
520	H	no
521	H	no
522	H	no
523	H	no
524	H	no
525	H	no
526	H	no
527	H	no
528	H	HOMD
529	H	no
530	H	no
531	H	no
532	H	no
533	H	no
534	H	no
535	H	HOMD
536	H	no
537	U	no
538	U	no
539	H	no
540	H	no
541	H	no
542	H	no
543	H	no
544	H	no
545	H	no
546	H	no
547	H	no
548	H	no
549	H	no
550	H	no
551	U	no
552	H	no
553	H	no
554	H	no
555	H	no
556	H	no
557	H	no
558	H	no
559	H	no
560	H	no
561	H	no
562	H	no
563	H	no
564	H	no
565	H	no
566	H	no
567	H	no
568	H	no
569	H	no
570	H	no
571	H	no
572	H	no
573	H	no
574	H	no
575	H	no
576	H	no
577	Env	no
578	H	no
579	U	no
580	U	no
581	H	no
582	H	no
583	H	HOMD
584	P-G	no
585	H	HOMD
586	H	no
587	H	no
588	H	no
589	H	no
590	H	no
591	H	HOMD
592	H	no
593	H	no
594	H	no
595	H	no
596	H	HOMD
597	H	no
598	H	no
599	H	no
600	H	HOMD
601	H	no
602	H	no
603	H	no
604	H	no
605	H	no
606	H	no
607	H	no
608	H	no
609	H	no
610	H	no
611	H	no
612	H	no
613	H	HOMD
614	H	HOMD
615	H	HOMD
616	H	no
617	A	no
618	H	no
619	N	no
620	A	no
621	H-P	HOMD
622	A	no
623	H	no
624	H	HOMD
625	H	no
626	H	HOMD
627	P	no
628	H	no
629	P	no
630	H	no
631	H	no
632	H	HOMD
633	H	no
634	H	no
635	H	no
636	H	no
637	H	no
638	H	no
639	H	no
640	H	no
641	H	no
642	H	no
643	H	no
644	H	no
645	H	no
646	H	no
647	H	no
648	H	no
649	H	HOMD
650	U	no
651	H	no
652	H	no
653	H	no
