pr_93	cluster_type	HOMD
1	Env	no
2	Env	no
3	Env	no
4	Env	no
5	H	no
6	H	no
7	H	no
8	Env	no
9	H-N	no
10	H	no
11	H	no
12	H	no
13	H-P	no
14	H	no
15	P	no
16	H	no
17	H	no
18	H	no
19	H	no
20	P	no
21	H	no
22	H	no
23	H	no
24	H	no
25	H	no
26	H	no
27	H	no
28	H	no
29	H	no
30	H	no
31	H	no
32	H	no
33	H	no
34	H	no
35	H	no
36	H	no
37	H	no
38	H	no
39	H	no
40	H	no
41	H	no
42	H	no
43	H	no
44	H	no
45	H	no
46	H	no
47	H	no
48	H	HOMD
49	H	no
50	H	no
51	H	no
52	H	no
53	H	no
54	H	no
55	H	no
56	H	no
57	H	no
58	H	no
59	H	no
60	H	no
61	H	no
62	H	no
63	H	no
64	H	no
65	H	HOMD
66	H	no
67	H	no
68	H	no
69	H	no
70	H	no
71	H	no
72	H	no
73	H	no
74	H	no
75	H	no
76	H	no
77	H	no
78	H	no
79	H	no
80	H	no
81	H	no
82	H	no
83	H	no
84	H	HOMD
85	U	no
86	U	no
87	H	no
88	A	no
89	H	HOMD
90	H	no
91	H	no
92	H	no
93	H	HOMD
94	H-A	no
95	H	no
96	H	no
97	H	no
98	H	no
99	H	no
100	N	no
101	H	HOMD
102	H	no
103	H	HOMD
104	H	no
105	H	no
106	H	HOMD
107	H	no
108	H	no
109	P-G	no
110	H	HOMD
111	H	no
112	H	no
113	H	no
114	H	HOMD
115	H	HOMD
116	G	no
117	P	no
118	H	no
119	H	no
120	H	no
121	H	no
122	H	no
123	H	no
124	H	no
125	H	no
126	H	no
127	H	no
128	H	no
129	H	no
130	H	HOMD
131	H	no
132	H	no
133	H	no
134	H	HOMD
135	H	no
136	U	no
137	U	no
138	H	no
139	H	no
140	H	no
141	H	no
142	H	no
143	H	no
144	H	no
145	U	no
146	H	no
147	H	no
148	H	no
149	H	no
150	H	no
151	H	no
152	H	no
153	H	no
154	H	no
155	H	no
156	Env	no
157	H	no
158	U	no
159	H-P-G	HOMD
160	H	HOMD
161	H	no
162	H	no
163	H	HOMD
164	H	no
165	H	no
166	H	no
167	H	HOMD
168	H	HOMD
169	H	no
170	H	no
171	H	HOMD
172	H	HOMD
173	A	no
174	H	no
175	N	no
176	A	no
177	H-P	HOMD
178	A	no
179	H	no
180	H	HOMD
181	H	HOMD
182	P	no
183	H	no
184	P	no
185	H	HOMD
186	H	no
187	H	no
188	H	HOMD
189	U	no
190	H	no
191	H	no
192	H	no
193	H	no
194	H	no
195	H	no
196	H	no
197	H	no
198	H	no
199	H	no
200	H	no
201	H	no
202	H	no
203	H	no
204	H-P	HOMD
205	H-U	no
206	U	no
207	H	no
208	P-G	no
209	H	no
210	H	no
211	H-P	HOMD
212	H	no
213	H	no
214	H	no
215	H	no
216	H	no
217	H	no
218	H	no
219	H	no
220	H	no
221	H	no
222	H	no
223	H	no
224	H	no
225	Env	no
226	U	no
227	H	no
228	H	HOMD
229	H	no
230	H	no
231	H	no
232	H	HOMD
233	H	no
234	H	no
235	H	no
236	H	no
237	H	no
238	H	no
239	H	no
240	H	no
241	H	HOMD
242	H	HOMD
243	H	no
244	H	no
245	H-P-G	HOMD
246	H	no
247	H	no
248	A	no
249	H	HOMD
250	H	HOMD
251	H	no
252	H	HOMD
253	H	no
254	H	HOMD
255	H	HOMD
256	H	no
257	H	HOMD
258	H	HOMD
259	H	HOMD
260	H	no
261	H	HOMD
262	H	no
263	P	no
264	H	no
265	H	HOMD
266	H	no
267	H	no
268	H	HOMD
269	H	no
270	H	no
271	H	no
272	H	no
273	H	no
274	H	no
275	H	no
276	H	no
277	H	HOMD
278	H	HOMD
279	H	no
280	H	no
281	H	HOMD
282	H	HOMD
283	H	HOMD
284	H	HOMD
285	H	HOMD
286	H	HOMD
287	H	HOMD
288	H	HOMD
289	H	no
290	H	HOMD
291	H	HOMD
292	H	HOMD
293	H	no
294	H	HOMD
295	H	no
296	H	no
297	H	no
298	H	HOMD
299	H	HOMD
300	H	no
301	H	HOMD
302	H	no
303	H	HOMD
304	H	HOMD
305	H	HOMD
306	H	no
307	H	HOMD
308	H	HOMD
309	H	no
310	H	no
311	H	no
312	H	HOMD
313	H	HOMD
314	H	no
315	H	HOMD
316	H	HOMD
317	H	HOMD
318	H	no
319	H-G	no
320	G-U	no
321	U	no
322	U	no
323	R	no
324	U	no
325	H	no
326	Env	no
327	Env	no
328	U	no
329	G	no
330	U	no
331	U	no
332	H	no
333	H	no
334	U	no
335	U	no
336	A	no
337	H	no
338	H	no
339	H	no
340	H	no
341	H	no
342	H	no
343	H	no
344	U	no
345	H	no
346	H	HOMD
347	P-G	no
348	U	no
349	A	no
350	H	HOMD
351	H	HOMD
352	H	no
353	H	HOMD
354	H	no
355	H	HOMD
356	H	no
357	H	HOMD
358	H	HOMD
359	H	HOMD
360	H	no
361	H	no
362	H	no
363	H	no
364	H	HOMD
365	H	HOMD
366	H	HOMD
367	H	no
368	H	no
369	H	HOMD
370	H	no
371	H	no
372	H	no
373	H	no
374	H	no
375	H	no
376	H	no
377	H	no
378	H	no
379	H	no
380	H	no
381	H	no
382	H	no
383	H	no
384	H	no
385	H	no
386	H	no
387	H	no
388	H	no
389	H	HOMD
390	H	HOMD
391	H	HOMD
392	H	no
393	H	HOMD
394	H	HOMD
395	H	HOMD
396	H	no
397	H	no
398	P	no
399	H	no
400	H	no
401	H	no
402	H	HOMD
403	H	no
404	H	no
405	H	no
406	H	no
407	H	no
408	H	no
409	H	no
410	H	no
411	H	no
412	H	no
413	H	no
414	H	no
415	H	no
416	H	no
417	H	no
418	H	HOMD
419	H-G	HOMD
420	H	no
421	H	no
422	H	no
423	H	no
424	H	no
425	H	no
426	H	no
427	H	no
428	H	no
429	H	no
430	H	no
431	H	no
432	H	no
433	H	no
434	H	HOMD
435	H	no
436	H	HOMD
437	H	HOMD
438	H	no
439	H	no
440	H	no
441	H	no
442	H	no
443	H	no
444	H	no
445	H	no
446	H	no
447	H	no
448	H	no
449	H	no
450	H	no
451	H	no
452	H	no
453	H	no
454	H	no
455	H	no
456	G	no
457	H	no
458	H	no
459	H	no
460	H	no
461	H	no
462	H	no
463	H	no
464	H	no
465	H	no
466	H	no
467	H	no
468	H	no
469	H	no
470	H	no
471	H	no
472	H	no
473	H	no
474	H	no
475	H	no
476	H	no
477	H	no
478	H	no
479	U	no
480	U	no
481	H	no
482	H	no
483	H	HOMD
484	H	HOMD
485	H	no
486	H	no
487	H-P	no
488	H	no
489	G	no
490	U	no
491	H	no
492	N-U	no
493	U	no
494	R	no
495	G	no
496	N-U	no
497	U	no
498	G	no
499	H	no
500	U	no
501	U	no
502	H	HOMD
503	H-P-Po	no
504	H-P	HOMD
505	H-N	no
506	H-N	no
507	U	no
508	U	no
509	U	no
510	H	no
511	H	no
512	H	no
513	U	no
514	U	no
515	U	no
516	H	no
517	H	no
518	H	no
519	H	no
520	H	no
521	H-U	no
522	H	HOMD
523	G-U	no
524	G	no
525	Env	no
526	U	no
527	H-P-G	no
528	Env	no
529	P	no
530	H-G	HOMD
531	H	HOMD
532	U	no
533	H	no
534	Env	no
535	U	no
536	H	no
537	H	no
538	H	HOMD
539	H-G	HOMD
540	H	HOMD
541	H	no
542	H	no
543	H	no
544	H	no
545	H	HOMD
546	P	no
547	H	no
548	H	no
549	P	no
550	H-G	no
551	H	no
552	P	no
553	P	no
554	H	no
555	H	no
556	H	no
557	H	no
558	H	HOMD
559	H	no
560	H	no
561	H-N-P	HOMD
562	H	no
563	P	no
564	G	no
565	H-A	HOMD
566	H	no
567	P	no
568	H	HOMD
569	H	HOMD
570	H	no
571	H-U	no
572	P	no
573	H	no
574	U	no
575	H	no
576	H	no
577	H-G	no
578	G-U	no
579	H	no
580	U	no
581	U	no
582	U	no
583	U	no
584	N	no
585	H	no
586	H-P	no
587	H-N-P-Po	no
588	U	no
589	H	no
590	A	no
591	H	no
592	H	HOMD
593	H	no
594	P	no
595	H-A	HOMD
596	H	no
597	H	no
598	H	HOMD
599	H	no
600	H	no
