Pandora_code	BioProject_accession	Secondary_sample_accession	run_accessions
CMC001.A	PRJEB42572	ERS5710595	ERR10083818,ERR10083821,ERR10083820,ERR10083819,ERR5283999,ERR5284000
CMC001.A	PRJEB42572	ERS5710595	ERR10083818,ERR10083821,ERR10083820,ERR10083819,ERR5283999,ERR5284000
CMC001.B	PRJEB42572	ERS5710596	ERR10083823,ERR10083822,ERR5284001
CMC002.A	PRJEB42572	ERS5710597	ERR10083824,ERR5284002
CMC002.B	PRJEB42572	ERS5710598	ERR10083826,ERR10083825,ERR5284003
CMC003.A	PRJEB42572	ERS5710599	ERR10083827,ERR5284004
CMC003.B	PRJEB42572	ERS5710600	ERR10083829,ERR10083828,ERR5284005
CMC004.A	PRJEB42572	ERS5710601	ERR10083830,ERR5284006
CMC004.B	PRJEB42572	ERS5710602	ERR10083832,ERR10083831,ERR5284007
CMC005.A	PRJEB42572	ERS5710603	ERR10083833,ERR5284008
CMC005.B	PRJEB42572	ERS5710604	ERR10083835,ERR10083834,ERR5284009
CMC006.A	PRJEB42572	ERS5710605	ERR10083836,ERR5284010
CMC006.B	PRJEB42572	ERS5710606	ERR10083838,ERR10083837,ERR5284011
CMC007.B	PRJEB42572	ERS5710607	ERR10083840,ERR10083839,ERR5284012
CMC008.A	PRJEB42572	ERS5710608	ERR10083842,ERR10083841,ERR5284013
CMC008.B	PRJEB42572	ERS5710609	ERR10083844,ERR10083843,ERR5284014
CMC009.A	PRJEB42572	ERS5710610	ERR10083845,ERR5284015
CMC009.B	PRJEB42572	ERS5710611	ERR10083847,ERR10083846,ERR5284016
CMC010.A	PRJEB42572	ERS5710612	ERR10083848,ERR5284017
CMC010.B	PRJEB42572	ERS5710613	ERR10083850,ERR10083849,ERR5284018
CMC011.A	PRJEB42572	ERS5710614	ERR10083851,ERR5284019
CMC011.B	PRJEB42572	ERS5710615	ERR10083853,ERR10083852,ERR5284020
CMC012.A	PRJEB42572	ERS5710616	ERR10083855,ERR10083854,ERR5284021
CMC012.B	PRJEB42572	ERS5710617	ERR10083857,ERR10083856,ERR5284022
CMC013.A	PRJEB42572	ERS5710618	ERR10083858,ERR5284023
CMC013.B	PRJEB42572	ERS5710619	ERR10083860,ERR10083859,ERR5284024
CMC014.A	PRJEB42572	ERS5710620	ERR10083861,ERR5284025
CMC015.A	PRJEB42572	ERS5710621	ERR10083863,ERR10083862,ERR5284026
CMC015.B	PRJEB42572	ERS5710622	ERR10083864,ERR5284027
CMC016.A	PRJEB42572	ERS5710623	ERR10083866,ERR10083865,ERR5284028
CMC016.B	PRJEB42572	ERS5710624	ERR10083867,ERR5284029
CMC017.A	PRJEB42572	ERS5710625	ERR10083869,ERR10083868,ERR5284030
CMC017.B	PRJEB42572	ERS5710626	ERR10083870,ERR5284031
CMC018.A	PRJEB42572	ERS5710627	ERR10083872,ERR10083871,ERR5284032
CMC018.B	PRJEB42572	ERS5710628	ERR10083873,ERR5284033
CMC020.A	PRJEB42572	ERS5710629	ERR10083875,ERR10083874,ERR5284034
CMC020.B	PRJEB42572	ERS5710630	ERR10083876,ERR5284035
CMC021.A	PRJEB42572	ERS5710631	ERR10083878,ERR10083877,ERR5284036
CMC021.B	PRJEB42572	ERS5710632	ERR10083879,ERR5284037
CMC022.A	PRJEB42572	ERS5710633	ERR10083881,ERR10083880,ERR5284038
CMC022.B	PRJEB42572	ERS5710634	ERR10083882,ERR5284039
CMC023.A	PRJEB42572	ERS5710635	ERR10083884,ERR10083883,ERR5284040
CMC023.B	PRJEB42572	ERS5710636	ERR10083885,ERR5284041
CMC024.A	PRJEB42572	ERS5710637	ERR10083887,ERR10083886,ERR5284042
CMC024.B	PRJEB42572	ERS5710638	ERR10083888,ERR5284043
CMC025.A	PRJEB42572	ERS5710639	ERR10083890,ERR10083889,ERR5284044
CMC025.B	PRJEB42572	ERS12745970	ERR10083892,ERR10083891
CMC026.A	PRJEB42572	ERS5710640	ERR10083894,ERR10083893,ERR5284045
CMC026.B	PRJEB42572	ERS5710641	ERR10083895,ERR5284046
CMC027.A	PRJEB42572	ERS5710642	ERR10083897,ERR10083896,ERR5284047
CMC027.B	PRJEB42572	ERS5710643	ERR10083898,ERR5284048
