Bin,symbol,size,color,fillcol,position
ERS2985783.bin.r.11,2,1,#000000,1,1
HMP_2012__SRS017227__bin.78,2,1,#000000,1,1
HMP_2012__SRS016002__bin.69,2,1,#000000,1,1
MGYG000298389,2,1,#000000,1,1
SRS11653593.bin.r.3,2,1,#000000,1,1
ERS3395773.bin.r.16,2,1,#000000,1,1
CM_periimplantitis__SP_502SPI_T016__bin.5,2,1,#000000,1,1
SEQF2632.1,2,1,#000000,1,1
SEQF3680.1,2,1,#000000,1,1
HMP_2012__SRS049318__bin.82,2,1,#000000,1,1
HMP_2012__SRS049268__bin.32,2,1,#000000,1,1
SEQF2160.1,2,1,#000000,1,1
SEQF1796.1,2,1,#000000,1,1
SEQF2674.1,2,1,#000000,1,1
CM_periimplantitis__SP_261SPI_T016__bin.3,2,1,#000000,1,1
SEQF2807.2,2,1,#000000,1,1
SEQF3105.1,2,1,#000000,1,1
ERS12516938.bin.r.22,2,1,#000000,1,1
CMC038.A.bin.r.43,2,1,#000000,1,1
ERS3395773.bin.r.41,2,1,#000000,1,1
SEQF1611.1,2,1,#000000,1,1
SEQF1671.1,2,1,#000000,1,1
CMC040.B.bin.r.6,2,1,#000000,1,1
CMC023.A.bin.r.28,2,1,#000000,1,1
SEQF1987.1,2,1,#000000,1,1
SEQF1646.1,2,1,#000000,1,1
SEQF2792.1,2,1,#000000,1,1
HMP_2012__SRS017227__bin.41,2,1,#000000,1,1
SEQF2731.1,2,1,#000000,1,1
SEQF5995.1,2,1,#000000,1,1
SEQF1863.1,2,1,#000000,1,1
SEQF2582.1,2,1,#000000,1,1
SEQF3072.1,2,1,#000000,1,1
SEQF7576.1,2,1,#000000,1,1
SEQF1797.1,2,1,#000000,1,1
ERS12516994.bin.r.11,2,1,#000000,1,1
SEQF2022.1,2,1,#000000,1,1
SEQF1988.2,2,1,#000000,1,1
HMP_2012__SRS019124__bin.4,2,1,#000000,1,1
CM_cf__CF_TNFC022SA_t1M16__bin.4,2,1,#000000,1,1
SEQF3684.1,2,1,#000000,1,1
SEQF2554.1,2,1,#000000,1,1
MGYG000298159,2,1,#000000,1,1
MGYG000299057,2,1,#000000,1,1
SEQF3692.1,2,1,#000000,1,1
SEQF6688.1,2,1,#000000,1,1
SEQF2511.1,2,1,#000000,1,1
SEQF1887.1,2,1,#000000,1,1
SEQF8213.1,2,1,#000000,1,1
SEQF7405.1,2,1,#000000,1,1
SEQF2922.1,2,1,#000000,1,1
FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.1,2,1,#000000,1,1
SEQF2734.1,2,1,#000000,1,1
SEQF3693.1,2,1,#000000,1,1
SEQF8913.1,2,1,#000000,1,1
SEQF3695.1,2,1,#000000,1,1
SEQF2753.1,2,1,#000000,1,1
SEQF1946.2,2,1,#000000,1,1
HMP_2012__SRS024441__bin.60,2,1,#000000,1,1
SEQF2461.1,2,1,#000000,1,1
SEQF1477.1,2,1,#000000,1,1
SEQF3683.1,2,1,#000000,1,1
SEQF1915.1,2,1,#000000,1,1
SEQF3055.1,2,1,#000000,1,1
SEQF9755.1,2,1,#000000,1,1
SEQF7810.1,2,1,#000000,1,1
SEQF2508.1,2,1,#000000,1,1
SEQF1656.1,2,1,#000000,1,1
MGYG000298466,2,1,#000000,1,1
SEQF2788.1,2,1,#000000,1,1
SEQF1937.2,2,1,#000000,1,1
SEQF3059.1,2,1,#000000,1,1
SEQF5023.1,2,1,#000000,1,1
SEQF5022.1,2,1,#000000,1,1
SEQF3176.1,2,1,#000000,1,1
SEQF1900.1,2,1,#000000,1,1
HMP_2012__SRS021477__bin.53,2,1,#000000,1,1
SEQF1687.1,2,1,#000000,1,1
SEQF5852.1,2,1,#000000,1,1
SEQF2319.1,2,1,#000000,1,1
SEQF1653.1,2,1,#000000,1,1
SEQF2462.1,2,1,#000000,1,1
SEQF1941.1,2,1,#000000,1,1
SEQF7195.1,2,1,#000000,1,1
SEQF7197.1,2,1,#000000,1,1
SEQF2757.1,2,1,#000000,1,1
HMP_2012__SRS013950__bin.6,2,1,#000000,1,1
SEQF1942.1,2,1,#000000,1,1
SEQF3165.1,2,1,#000000,1,1
SEQF5851.1,2,1,#000000,1,1
SEQF1867.1,2,1,#000000,1,1
SEQF1875.1,2,1,#000000,1,1
SEQF1947.1,2,1,#000000,1,1
SEQF1940.1,2,1,#000000,1,1
SEQF3741.1,2,1,#000000,1,1
HMP_2012__SRS015215__bin.6,2,1,#000000,1,1
SEQF2553.1,2,1,#000000,1,1
SEQF2607.1,2,1,#000000,1,1
ERS12516970.bin.r.110,2,1,#000000,1,1
ERS11702749.bin.r.3,2,1,#000000,1,1
SEQF2499.1,2,1,#000000,1,1
SEQF1993.1,2,1,#000000,1,1
SEQF3677.1,2,1,#000000,1,1
ERS2985775.bin.r.10,2,1,#000000,1,1
CM_periimplantitis__SP_264SPI_T016__bin.17,2,1,#000000,1,1
SEQF3053.1,2,1,#000000,1,1
SEQF2857.1,2,1,#000000,1,1
MGYG000298079,2,1,#000000,1,1
ERSX0004107.bin.r.3,2,1,#000000,1,1
MGYG000298013,2,1,#000000,1,1
SEQF1695.1,2,1,#000000,1,1
MGYG000298337,2,1,#000000,1,1
SEQF9965.1,2,1,#000000,1,1
SEQF5433.1,2,1,#000000,1,1
SEQF1575.1,2,1,#000000,1,1
SEQF2476.2,2,1,#000000,1,1
SEQF9425.1,2,1,#000000,1,1
SEQF9430.1,2,1,#000000,1,1
SEQF9429.1,2,1,#000000,1,1
SEQF9424.1,2,1,#000000,1,1
SEQF4504.2,2,1,#000000,1,1
SEQF4503.2,2,1,#000000,1,1
SEQF4517.1,2,1,#000000,1,1
SEQF4524.1,2,1,#000000,1,1
SEQF4507.2,2,1,#000000,1,1
SEQF2579.1,2,1,#000000,1,1
SEQF4501.1,2,1,#000000,1,1
SEQF4511.1,2,1,#000000,1,1
SEQF4510.1,2,1,#000000,1,1
SEQF4494.1,2,1,#000000,1,1
SEQF4519.1,2,1,#000000,1,1
SEQF4496.2,2,1,#000000,1,1
ERS6205393.bin.r.7,2,1,#000000,1,1
SEQF1912.1,2,1,#000000,1,1
SEQF3179.1,2,1,#000000,1,1
SEQF8177.1,2,1,#000000,1,1
SEQF2094.2,2,1,#000000,1,1
SEQF1676.2,2,1,#000000,1,1
SEQF1029.1,2,1,#000000,1,1
SEQF1857.2,2,1,#000000,1,1
SEQF2477.1,2,1,#000000,1,1
SEQF1730.1,2,1,#000000,1,1
SEQF1160.1,2,1,#000000,1,1
SEQF1879.1,2,1,#000000,1,1
SEQF2555.1,2,1,#000000,1,1
HMP_2012__SRS044662__bin.14,2,1,#000000,1,1
SEQF1680.2,2,1,#000000,1,1
SEQF2980.1,2,1,#000000,1,1
SEQF2896.1,2,1,#000000,1,1
SEQF2840.1,2,1,#000000,1,1
SEQF1075.1,2,1,#000000,1,1
SEQF3704.1,2,1,#000000,1,1
SEQF3703.1,2,1,#000000,1,1
SEQF2920.1,2,1,#000000,1,1
SEQF2790.1,2,1,#000000,1,1
SEQF3178.1,2,1,#000000,1,1
SEQF2501.1,2,1,#000000,1,1
SEQF5035.1,2,1,#000000,1,1
SEQF1287.1,2,1,#000000,1,1
SEQF3177.1,2,1,#000000,1,1
SEQF3159.1,2,1,#000000,1,1
SEQF2581.1,2,1,#000000,1,1
SEQF2452.1,2,1,#000000,1,1
HMP_2012__SRS016043__bin.14,2,1,#000000,1,1
HMP_2012__SRS013879__bin.38,2,1,#000000,1,1
SEQF2629.1,2,1,#000000,1,1
SEQF1018.2,2,1,#000000,1,1
SEQF2550.1,2,1,#000000,1,1
SEQF10000.1,2,1,#000000,1,1
MGYG000299204,2,1,#000000,1,1
SEQF7327.1,2,1,#000000,1,1
SEQF4712.1,2,1,#000000,1,1
SEQF4125.1,2,1,#000000,1,1
SEQF4122.1,2,1,#000000,1,1
SEQF4118.1,2,1,#000000,1,1
SEQF4126.1,2,1,#000000,1,1
SEQF4128.1,2,1,#000000,1,1
SEQF4119.1,2,1,#000000,1,1
SEQF5424.1,2,1,#000000,1,1
SEQF6329.1,2,1,#000000,1,1
SEQF6958.1,2,1,#000000,1,1
SEQF10094.1,2,1,#000000,1,1
SEQF10092.1,2,1,#000000,1,1
SEQF1496.1,2,1,#000000,1,1
SEQF1393.2,2,1,#000000,1,1
SEQF1895.1,2,1,#000000,1,1
SEQF1855.2,2,1,#000000,1,1
SEQF3070.1,2,1,#000000,1,1
SEQF2460.1,2,1,#000000,1,1
SEQF2298.1,2,1,#000000,1,1
HMP_2012__SRS051791__bin.24,2,1,#000000,1,1
HMP_2012__SRS011247__bin.3,2,1,#000000,1,1
SEQF1019.1,2,1,#000000,1,1
SEQF7975.1,2,1,#000000,1,1
SEQF7976.1,2,1,#000000,1,1
FerrettiP_2018__CA_C10029IS2500SA_t2M15__bin.4,2,1,#000000,1,1
SEQF4301.1,2,1,#000000,1,1
HMP_2012__SRS023938__bin.43,2,1,#000000,1,1
SEQF9563.1,2,1,#000000,1,1
SEQF2570.1,2,1,#000000,1,1
SEQF6776.1,2,1,#000000,1,1
SEQF1472.1,2,1,#000000,1,1
SEQF3175.1,2,1,#000000,1,1
SEQF8514.1,2,1,#000000,1,1
SEQF4484.1,2,1,#000000,1,1
SEQF1367.1,2,1,#000000,1,1
SEQF3679.1,2,1,#000000,1,1
SEQF1889.2,2,1,#000000,1,1
SEQF9172.1,2,1,#000000,1,1
SEQF9159.1,2,1,#000000,1,1
SEQF4318.1,2,1,#000000,1,1
SEQF4309.1,2,1,#000000,1,1
SEQF4315.1,2,1,#000000,1,1
SEQF2020.1,2,1,#000000,1,1
SEQF6876.1,2,1,#000000,1,1
SEQF2334.1,2,1,#000000,1,1
SEQF7590.1,2,1,#000000,1,1
SEQF5599.1,2,1,#000000,1,1
SEQF6185.1,2,1,#000000,1,1
SEQF6176.1,2,1,#000000,1,1
SEQF2786.1,2,1,#000000,1,1
SEQF6183.1,2,1,#000000,1,1
SEQF6184.1,2,1,#000000,1,1
SEQF3651.1,2,1,#000000,1,1
SEQF2214.2,2,1,#000000,1,1
SEQF3676.1,2,1,#000000,1,1
SEQF6172.1,2,1,#000000,1,1
SEQF2215.2,2,1,#000000,1,1
SEQF6173.1,2,1,#000000,1,1
SEQF3173.1,2,1,#000000,1,1
SEQF2213.2,2,1,#000000,1,1
SEQF6180.1,2,1,#000000,1,1
SEQF3630.1,2,1,#000000,1,1
SEQF6280.1,2,1,#000000,1,1
SEQF3644.1,2,1,#000000,1,1
SEQF6247.1,2,1,#000000,1,1
SEQF3561.1,2,1,#000000,1,1
SEQF3562.1,2,1,#000000,1,1
SEQF3629.1,2,1,#000000,1,1
SEQF3672.1,2,1,#000000,1,1
SEQF3580.1,2,1,#000000,1,1
SEQF3625.1,2,1,#000000,1,1
SEQF2338.1,2,1,#000000,1,1
SEQF6239.1,2,1,#000000,1,1
SEQF2219.2,2,1,#000000,1,1
SEQF3577.1,2,1,#000000,1,1
SEQF3605.1,2,1,#000000,1,1
SEQF3588.1,2,1,#000000,1,1
SEQF3587.1,2,1,#000000,1,1
SEQF2003.2,2,1,#000000,1,1
SEQF3598.1,2,1,#000000,1,1
SEQF6311.1,2,1,#000000,1,1
SEQF3566.1,2,1,#000000,1,1
SEQF3596.1,2,1,#000000,1,1
SEQF6253.1,2,1,#000000,1,1
SEQF2217.2,2,1,#000000,1,1
SEQF3597.1,2,1,#000000,1,1
SEQF3590.1,2,1,#000000,1,1
SEQF3646.1,2,1,#000000,1,1
SEQF3675.1,2,1,#000000,1,1
SEQF3618.1,2,1,#000000,1,1
SEQF6238.1,2,1,#000000,1,1
SEQF2218.2,2,1,#000000,1,1
SEQF3582.1,2,1,#000000,1,1
SEQF3581.1,2,1,#000000,1,1
SEQF7481.1,2,1,#000000,1,1
SEQF6304.1,2,1,#000000,1,1
SEQF6240.1,2,1,#000000,1,1
SEQF3607.1,2,1,#000000,1,1
SEQF1704.1,2,1,#000000,1,1
SEQF1998.1,2,1,#000000,1,1
SEQF6566.1,2,1,#000000,1,1
SEQF6446.1,2,1,#000000,1,1
SEQF3613.1,2,1,#000000,1,1
