Bin,symbol,size,color,fillcol,position
ERS4042406.bin.r.8,2,1,#fea873,1,1
ERS4545913.bin.r.10,2,1,#fea873,1,1
ERS6955130.bin.r.17,2,1,#fea873,1,1
ERS6256700.bin.r.7,2,1,#fea873,1,1
ERS6955108.bin.r.1,2,1,#fea873,1,1
ERS3774422.bin.r.20,2,1,#fea873,1,1
CMC035.B.bin.r.39,2,1,#fea873,1,1
ERSX0003001.bin.r.2,2,1,#fea873,1,1
GWHAQBP00000000,2,1,#fea873,1,1
GWHAQBZ00000000,2,1,#fea873,1,1
SRS4625245.bin.r.28,2,1,#fea873,1,1
CMC028.B.bin.r.39,2,1,#fea873,1,1
ERS3774391.bin.r.16,2,1,#fea873,1,1
ERS12516955.bin.r.1,2,1,#fea873,1,1
HMP_2012__SRS014473__bin.16,2,1,#fea873,1,1
GWHAQJO00000000,2,1,#fea873,1,1
GWHARJU00000000,2,1,#fea873,1,1
GWHAQDN00000000,2,1,#fea873,1,1
GWHARFH00000000,2,1,#fea873,1,1
GWHAPTH00000000,2,1,#fea873,1,1
HMP_2012__SRS015060__bin.14,2,1,#fea873,1,1
GWHAQZP00000000,2,1,#fea873,1,1
GWHARSC00000000,2,1,#fea873,1,1
ERS12516964.bin.r.38,2,1,#fea873,1,1
GWHAPZV00000000,2,1,#fea873,1,1
BritoIL_2016__WL.44.SA__bin.40,2,1,#fea873,1,1
HMP_2012__SRS013506__bin.3,2,1,#fea873,1,1
GWHAQPH00000000,2,1,#fea873,1,1
GWHARVU00000000,2,1,#fea873,1,1
ERS1202868.bin.r.6,2,1,#fea873,1,1
GWHARSK00000000,2,1,#fea873,1,1
ERS12516930.bin.r.14,2,1,#fea873,1,1
ERS12516936.bin.r.13,2,1,#fea873,1,1
GWHARWK00000000,2,1,#fea873,1,1
GWHAPYO00000000,2,1,#fea873,1,1
ERS12516992.bin.r.52,2,1,#fea873,1,1
BritoIL_2016__W2.8.SA__bin.9,2,1,#fea873,1,1
ERS12516976.bin.r.41,2,1,#fea873,1,1
CMC012.B.bin.r.15,2,1,#fea873,1,1
ERS12516944.bin.r.21,2,1,#fea873,1,1
CMC039.B.bin.r.64,2,1,#fea873,1,1
HMP_2012__SRS019071__bin.19,2,1,#fea873,1,1
GWHAPWO00000000,2,1,#fea873,1,1
ERS4545914.bin.r.5,2,1,#fea873,1,1
ERS3774398.bin.r.3,2,1,#fea873,1,1
ERS6256721.bin.r.11,2,1,#fea873,1,1
GWHAPNE00000000,2,1,#fea873,1,1
GWHAQQK00000000,2,1,#fea873,1,1
MGYG000298250,2,1,#fea873,1,1
GWHARVW00000000,2,1,#fea873,1,1
GWHAQUN00000000,2,1,#fea873,1,1
GWHAQRY00000000,2,1,#fea873,1,1
GWHAQWC00000000,2,1,#fea873,1,1
GWHARFW00000000,2,1,#fea873,1,1
BritoIL_2016__W3.23.SA__bin.17,2,1,#fea873,1,1
GWHARFN00000000,2,1,#fea873,1,1
GWHARMX00000000,2,1,#fea873,1,1
ERS12516983.bin.r.38,2,1,#fea873,1,1
GWHAQXA00000000,2,1,#fea873,1,1
GWHAQXR00000000,2,1,#fea873,1,1
CMC038.A.bin.r.49,2,1,#fea873,1,1
GWHARDJ00000000,2,1,#fea873,1,1
ERS12516940.bin.r.1,2,1,#fea873,1,1
