Study	Study_accession	Sample_type	Sample_group	Eager_label	Secondary_sample_accession	Run_accession	Sample_alias	Host	Country	Age_BP	avg_gc	avg_rl	No_reads_no_human	V22	Full
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523801	SRS11572787	SRR17523801	Yoyo.O	Chimpanzee	Uganda	7	52	251.098348086708	43041		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523812	SRS11572776	SRR17523812	Rambo2.O	Chimpanzee	Uganda	7	52	250.895982900026	43041		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523815	SRS11572773	SRR17523815	Leo.O	Titi Monkey	USA	7	51	252.093530184741	64685		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523817	SRS11572772	SRR17523817	Lee.O	Titi Monkey	USA	7	50	252.294732618533	44861		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523818	SRS11572771	SRR17523818	Hermione.O	Titi Monkey	USA	7	51	252.094609196782	66632		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523819	SRS11572770	SRR17523819	Corey.O	Titi Monkey	USA	7	51	251.859585735168	72514		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523820	SRS11572769	SRR17523820	Ramona.O	Titi Monkey	USA	7	52	251.740884206915	69961		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523821	SRS11572768	SRR17523821	Eddie.O	Chimpanzee	Uganda	7	51	251.218036581491	44066		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523822	SRS11572767	SRR17523822	Aiden.O	Titi Monkey	USA	7	51	252.073728465956	39008		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523823	SRS11572766	SRR17523823	Natalie.O	Titi Monkey	USA	7	52	251.954993065995	85809		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523824	SRS11572765	SRR17523824	Mary.O	Titi Monkey	USA	7	51	251.931147881473	57776		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523825	SRS11572764	SRR17523825	Josh.O	Titi Monkey	USA	7	51	252.096512805672	41466		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523826	SRS11572763	SRR17523826	Dusty.O	Titi Monkey	USA	7	51	252.07851021056	75608		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523827	SRS11572762	SRR17523827	Gabby.O	Titi Monkey	USA	7	51	252.309716117361	63019		NHP oral swab
