Study	Secondary_sample_accession	Eager_label
Granehaell2021	ERS6205384	2081
Granehaell2021	ERS6205385	2082
Granehaell2021	ERS6205386	2083
Granehaell2021	ERS6205387	2084
Granehaell2021	ERS6205388	2086
Granehaell2021	ERS6205389	2087
Granehaell2021	ERS6205390	2089
Granehaell2021	ERS6205391	2090
Granehaell2021	ERS6205392	2091
Granehaell2021	ERS6205393	2092
Granehaell2021	ERS6205394	2093
Granehaell2021	ERS6205395	2094
Granehaell2021	ERS6205396	2095
Granehaell2021	ERS6205397	2096
Granehaell2021	ERS6205398	2097
Granehaell2021	ERS6205399	2099
Granehaell2021	ERS6205400	2100
Granehaell2021	ERS6205401	2102
Granehaell2021	ERS6205402	2103
Granehaell2021	ERS6205403	2104
Ozga2019	SRS4625244	02C
Ozga2019	SRS4625243	04C
Ozga2019	SRS4625242	05C
Ozga2019	SRS4625241	07C
Ozga2019	SRS4625248	13C
Ozga2019	SRS4625247	14C
Ozga2019	SRS4625246	16C
Ozga2019	SRS4625245	17C
Ozga2019	SRS4625250	18C
Ozga2019	SRS4625249	19C
Ozga2019	SRS4625239	20C
Ozga2019	SRS4625238	21C
Ozga2019	SRS4625237	22C
Ozga2019	SRS4625236	24C
Ozga2019	SRS4625235	25C
Ozga2019	SRS4625234	26C
Ozga2019	SRS4625233	27C
Ozga2019	SRS4625232	28C
Ozga2019	SRS4625240	29C
FellowsYates2021	ERS3774399	ABM006.A0101
FellowsYates2021	ERS3774426	ABM007.A0101
FellowsYates2021	ERS3774427	ABM008.A0101
Velsko2019	ERS3636033	Abusir1504c
Velsko2019	ERS3636044	Abusir1511c
Velsko2019	ERS3636092	Abusir1519c
Velsko2019	ERS3636013	Abusir1574c
Velsko2019	ERS3636007	Abusir1594c
PacificCalculus	ERSX0004001	AHK001.A0101
PacificCalculus	ERSX0004002	AKI001.A0101
PacificCalculus	ERSX0004003	AKI002.A0101
PacificCalculus	ERSX0004004	AMH001.A0101
PacificCalculus	ERSX0004005	AMH002.A0101
PacificCalculus	ERSX0004006	AMH003.A0101
PacificCalculus	ERSX0004007	AMH004.A0101
PacificCalculus	ERSX0004008	ANK001.A0101
PacificCalculus	ERSX0004009	ANN001.A0101
PacificCalculus	ERSX0004010	ANN002.A0101
PacificCalculus	ERSX0004011	ANN003.A0101
PacificCalculus	ERSX0004012	ANN004.A0101
Ottoni2019	ERS3887046	ANSP11833
Ottoni2019	ERS3887047	ANSP3271
PacificCalculus	ERSX0004013	AON001.A0101
PacificCalculus	ERSX0004014	AON002.A0101
PacificCalculus	ERSX0004015	ATT001.A0101
PacificCalculus	ERSX0004016	ATT002.A0101
Warinner2014	SRS473742	B61
FellowsYates2021	ERS3774432	BAN001.A0101
Ottoni2019	ERS3887040	BB01
Ottoni2019	ERS3887041	BB05
Ottoni2019	ERS3887041	BB05-T06
Ottoni2019	ERS3887042	BB06
Ottoni2019	ERS3887043	BB08
Ottoni2019	ERS3887043	BB08-T08
Ottoni2019	ERS3887044	BB09
Ottoni2019	ERS3887045	BB11
FellowsYates2021	ERS3774407	BIT001.A0101
FellowsYates2021	ERS3774476	BSQ001.A0101
FellowsYates2021	ERS3774412	CDC005.A0101
FellowsYates2021	ERS3774413	CDC006.A0101
FellowsYates2021	ERS3774414	CDC007.A0101
