Eager_label	Secondary_sample_accession	Other_sample_codes
AHK001.A0101	ERS15409338	ERSX0004001
AKI001.A0101	ERS15409339	ERSX0004002
AKI002.A0101	ERS15409340	ERSX0004003
AMH001.A0101	ERS15409341	ERSX0004004
AMH002.A0101	ERS15409342	ERSX0004005
AMH003.A0101	ERS15409343	ERSX0004006
AMH004.A0101	ERS15409344	ERSX0004007
ANK001.A0101	ERS15409345	ERSX0004008
ANN001.A0101	ERS15409346	ERSX0004009
ANN002.A0101	ERS15409347	ERSX0004010
ANN003.A0101	ERS15409348	ERSX0004011
ANN004.A0101	ERS15409349	ERSX0004012
AON001.A0101	ERS15409350	ERSX0004013
AON002.A0101	ERS15409351	ERSX0004014
ATT001.A0101	ERS15409352	ERSX0004015
ATT002.A0101	ERS15409353	ERSX0004016
EFE002.B0101	ERS15409354	ERSX0004017
EFE003.B0101	ERS15409355	ERSX0004018
EFE004.B0101	ERS15409356	ERSX0004019
EFE005.B0101	ERS15409357	ERSX0004020
EFE006.B0101	ERS15409358	ERSX0004021
FUT018.B0101	ERS15409359	ERSX0004022
FUT021.B0101	ERS15409360	ERSX0004023
FUT024.B0101	ERS15409361	ERSX0004024
HCLVMBCX2-3505-01-00-01_S1	ERS15409362	ERSX0004025
HCLVMBCX2-3505-02-00-01_S2	ERS15409363	ERSX0004026
HCLVMBCX2-3505-03-00-01_S3	ERS15409364	ERSX0004027
HCLVMBCX2-3505-04-00-01_S4	ERS15409365	ERSX0004028
HCLVMBCX2-3505-05-00-01_S5	ERS15409366	ERSX0004029
HCLVMBCX2-3505-06-00-01_S6	ERS15409367	ERSX0004030
HCLVMBCX2-3505-07-00-01_S7	ERS15409368	ERSX0004031
HCLVMBCX2-3505-08-00-01_S8	ERS15409369	ERSX0004032
HCLVMBCX2-3505-09-00-01_S9	ERS15409370	ERSX0004033
HCLVMBCX2-3505-10-00-01_S10	ERS15409371	ERSX0004034
HCLVMBCX2-3505-11-00-01_S11	ERS15409372	ERSX0004035
HCLVMBCX2-3505-12-00-01_S12	ERS15409373	ERSX0004036
HCLVMBCX2-3505-14-00-01_S14	ERS15409374	ERSX0004038
HCLVMBCX2-3505-15-00-01_S15	ERS15409375	ERSX0004039
HCLVMBCX2-3505-16-00-01_S16	ERS15409376	ERSX0004040
HCLVMBCX2-3505-17-00-01_S17	ERS15409377	ERSX0004041
HCLVMBCX2-3505-18-00-01_S18	ERS15409378	ERSX0004042
HCLVMBCX2-3505-20-00-01_S20	ERS15409379	ERSX0004044
HCLVMBCX2-3505-21-00-01_S21	ERS15409380	ERSX0004045
HCLVMBCX2-3505-22-00-01_S22	ERS15409381	ERSX0004046
HCLVMBCX2-3505-23-00-01_S23	ERS15409382	ERSX0004047
HCLVMBCX2-3505-24-00-01_S24	ERS15409383	ERSX0004048
HCLVMBCX2-3505-25-00-01_S25	ERS15409384	ERSX0004049
HCLVMBCX2-3505-26-00-01_S26	ERS15409385	ERSX0004050
HCLVMBCX2-3505-27-00-01_S27	ERS15409386	ERSX0004051
HCLVMBCX2-3505-28-00-01_S28	ERS15409387	ERSX0004052
HCLVMBCX2-3505-29-00-01_S29	ERS15409388	ERSX0004053
HCLVMBCX2-3505-31-00-01_S31	ERS15409389	ERSX0004054
HCLVMBCX2-3505-33-00-01_S33	ERS15409390	ERSX0004056
NMU115.A0101	ERS15409391	ERSX0004060
NMU116.A0101	ERS15409392	ERSX0004061
NMU117.A0101	ERS15409393	ERSX0004062
NMU118.A0101	ERS15409394	ERSX0004063
NMU119.A0101	ERS15409395	ERSX0004064
NMU120.A0101	ERS15409396	ERSX0004065
NMU121.A0101	ERS15409397	ERSX0004066
NMU122.A0101	ERS15409398	ERSX0004067
NMU123.A0101	ERS15409399	ERSX0004068
NMU124.A0101	ERS15409400	ERSX0004069
NMU125.A0101	ERS15409401	ERSX0004070
NMU126.A0101	ERS15409402	ERSX0004071
NMU127.A0101	ERS15409403	ERSX0004072
NMU128.A0101	ERS15409404	ERSX0004073
NMU129.A0101	ERS15409405	ERSX0004074
NMU130.A0101	ERS15409406	ERSX0004075
NMU131.A0101	ERS15409407	ERSX0004076
PAH001.A0102	ERS15409408	ERSX0004077
PAH002.A0101	ERS15409409	ERSX0004078
PAH003.A0101	ERS15409410	ERSX0004079
RAP001.A0101	ERS15409412	ERSX0004081
RAP002.A0101	ERS15409413	ERSX0004082
SIG031.A0101	ERS15409414	ERSX0004083
SIG032.A0101	ERS15409415	ERSX0004084
SIG033.A0101	ERS15409416	ERSX0004085
SIG034.A0101	ERS15409417	ERSX0004086
SIG035.A0101	ERS15409418	ERSX0004087
SIG036.A0101	ERS15409419	ERSX0004088
SIG037.A0101	ERS15409420	ERSX0004089
SIG038.A0101	ERS15409421	ERSX0004090
SIG039.A0101	ERS15409422	ERSX0004091
SIG040.A0101	ERS15409423	ERSX0004092
SIG040.A0201	ERS15409423	ERSX0004093
SIG041.A0101	ERS15409424	ERSX0004094
SIG042.A0101	ERS15409425	ERSX0004095
SIG043.A0101	ERS15409426	ERSX0004096
SIG044.A0101	ERS15409427	ERSX0004097
SIG045.A0101	ERS15409428	ERSX0004098
SIG046.A0101	ERS15409429	ERSX0004099
SIG046.A0201	ERS15409429	ERSX0004100
SIG047.A0101	ERS15409430	ERSX0004101
TAP001.B0101	ERS15409431	ERSX0004102
TAP003.B0101	ERS15409432	ERSX0004103
TON001.C0101	ERS15409433	ERSX0004104
TON003.B0101	ERS15409434	ERSX0004105
TON004.B0101	ERS15409435	ERSX0004106
TON005.B0101	ERS15409436	ERSX0004107
TON006.B0101	ERS15409437	ERSX0004108
TON007.B0101	ERS15409438	ERSX0004109
HCLVMBCX2-3505-13-00-01_S13	ERS16464435	ERSX0004037
HCLVMBCX2-3505-19-00-01_S19	ERS16464436	ERSX0004043
HCLVMBCX2-3505-32-00-01_S32	ERS16464437	ERSX0004055
