Sample	MAG_accession	site
RDPYD18079666	GWHAPLU00000000	tongue
RDPYD18079667	GWHAPLV00000000	tongue
RDPYD18079671	GWHAPLW00000000	tongue
RDPYD18079671	GWHAPLX00000000	tongue
RDPYD18079683	GWHAPLY00000000	tongue
RDPYD18088802	GWHAPLZ00000000	saliva
RDPYD18088815	GWHAPMA00000000	saliva
RDPYD18088826	GWHAPMB00000000	saliva
RDPYD18088826	GWHAPMC00000000	saliva
RDPYD18088826	GWHAPMD00000000	saliva
RDPYD18088826	GWHAPME00000000	saliva
RDPYD18088826	GWHAPMF00000000	saliva
RDPYD18088836	GWHAPMG00000000	saliva
RDPYD18088836	GWHAPMH00000000	saliva
RDPYD18088840	GWHAPMI00000000	saliva
RDPYD18088859	GWHAPMJ00000000	saliva
RDPYD18088859	GWHAPMK00000000	saliva
RDPYD18088859	GWHAPML00000000	saliva
RDPYD18088876	GWHAPMM00000000	tongue
RDPYD18088876	GWHAPMN00000000	tongue
RDPYD18088876	GWHAPMO00000000	tongue
RDPYD18088888	GWHAPMP00000000	tongue
RDPYD18088893	GWHAPMQ00000000	tongue
RDPYD18088893	GWHAPMR00000000	tongue
RDPYD18088893	GWHAPMS00000000	tongue
RDPYD18088893	GWHAPMT00000000	tongue
RDPYD18088904	GWHAPMU00000000	tongue
RDPYD18088904	GWHAPMV00000000	tongue
RDPYD18088905	GWHAPMW00000000	tongue
RDPYD18088905	GWHAPMX00000000	tongue
RDPYD18088916	GWHAPMY00000000	tongue
RDPYD18088916	GWHAPMZ00000000	tongue
RDPYD18088916	GWHAPNA00000000	tongue
RDPYD18088934	GWHAPNB00000000	tongue
RDPYD18088934	GWHAPNC00000000	tongue
RDPYD18088936	GWHAPND00000000	tongue
RDPYD18088937	GWHAPNE00000000	tongue
RDPYD18088937	GWHAPNF00000000	tongue
RDPYD18088945	GWHAPNG00000000	tongue
RDPYD18088945	GWHAPNH00000000	tongue
RDPYD18088947	GWHAPNI00000000	tongue
RDPYD18088963	GWHAPNJ00000000	saliva
RDPYD18088963	GWHAPNK00000000	saliva
RDPYD18088963	GWHAPNL00000000	saliva
RDPYD18088979	GWHAPNM00000000	saliva
RDPYD18088979	GWHAPNN00000000	saliva
RDPYD18088992	GWHAPNO00000000	tongue
RDPYD18088995	GWHAPNP00000000	tongue
RDPYD18089000	GWHAPNQ00000000	tongue
RDPYD18089000	GWHAPNR00000000	tongue
RDPYD18089000	GWHAPNS00000000	tongue
RDPYD18089005	GWHAPNT00000000	tongue
RDPYD18089005	GWHAPNU00000000	tongue
RDPYD18089005	GWHAPNV00000000	tongue
RDPYD18089009	GWHAPNW00000000	tongue
RDPYD18089009	GWHAPNX00000000	tongue
RDPYD18089025	GWHAPNY00000000	tongue
RDPYD18089025	GWHAPNZ00000000	tongue
RDPYD18089026	GWHAPOA00000000	tongue
RDPYD18089026	GWHAPOB00000000	tongue
RDPYD18089026	GWHAPOC00000000	tongue
RDPYD18089026	GWHAPOD00000000	tongue
RDPYD18089031	GWHAPOE00000000	tongue
RDPYD18089031	GWHAPOF00000000	tongue
RDPYD18089036	GWHAPOG00000000	tongue
RDPYD18089036	GWHAPOH00000000	tongue
RDPYD18089039	GWHAPOI00000000	tongue
RDPYD18089228	GWHAPOJ00000000	tongue
RDPYD18089228	GWHAPOK00000000	tongue
RDPYD18089228	GWHAPOL00000000	tongue
RDPYD18089235	GWHAPOM00000000	tongue
RDPYD18089235	GWHAPON00000000	tongue
RDPYD18089240	GWHAPOO00000000	tongue
RDPYD18089243	GWHAPOP00000000	tongue
RDPYD18089243	GWHAPOQ00000000	tongue
RDPYD18089244	GWHAPOR00000000	tongue
RDPYD18089244	GWHAPOS00000000	tongue
RDPYD18089244	GWHAPOT00000000	tongue
RDPYD18089244	GWHAPOU00000000	tongue
RDPYD18089244	GWHAPOV00000000	tongue
RDPYD18089249	GWHAPOW00000000	tongue
RDPYD18089249	GWHAPOX00000000	tongue
RDPYD18089249	GWHAPOY00000000	tongue
RDPYD18089254	GWHAPOZ00000000	tongue
RDPYD18089254	GWHAPPA00000000	tongue
RDPYD18089254	GWHAPPB00000000	tongue
RDPYD18089255	GWHAPPC00000000	tongue
RDPYD18089260	GWHAPPD00000000	tongue
RDPYD18089260	GWHAPPE00000000	tongue
RDPYD18089263	GWHAPPF00000000	tongue
RDPYD18089270	GWHAPPG00000000	tongue
RDPYD18089270	GWHAPPH00000000	tongue
RDPYD18089270	GWHAPPI00000000	tongue
RDPYD18089270	GWHAPPJ00000000	tongue
RDPYD18089280	GWHAPPK00000000	tongue
RDPYD18089284	GWHAPPL00000000	tongue
RDPYD18089284	GWHAPPM00000000	tongue
RDPYD18089284	GWHAPPN00000000	tongue
RDPYD18089288	GWHAPPO00000000	tongue
RDPYD18089288	GWHAPPP00000000	tongue
RDPYD18089313	GWHAPPQ00000000	tongue
RDPYD18089313	GWHAPPR00000000	tongue
RDPYD18089315	GWHAPPS00000000	tongue
RDPYD18089315	GWHAPPT00000000	tongue
RDPYD18089334	GWHAPPU00000000	tongue
RDPYD18089360	GWHAPPV00000000	tongue
RDPYD18089360	GWHAPPW00000000	tongue
RDPYD18089360	GWHAPPX00000000	tongue
RDPYD18089376	GWHAPPY00000000	tongue
RDPYD18093618	GWHAPPZ00000000	tongue
RDPYD18093618	GWHAPQA00000000	tongue
RDPYD18093618	GWHAPQB00000000	tongue
RDPYD18093618	GWHAPQC00000000	tongue
RDPYD18093618	GWHAPQD00000000	tongue
RDPYD18093618	GWHAPQE00000000	tongue
RDPYD18093618	GWHAPQF00000000	tongue
RDPYD18093618	GWHAPQG00000000	tongue
RDPYD18093621	GWHAPQH00000000	tongue
RDPYD18189818	GWHAPQI00000000	saliva
RDPYD18189825	GWHAPQJ00000000	saliva
RDPYD18189835	GWHAPQK00000000	saliva
RDPYD18189835	GWHAPQL00000000	saliva
RDPYD18189835	GWHAPQM00000000	saliva
RDPYD18189852	GWHAPQN00000000	saliva
RDPYD18189857	GWHAPQO00000000	saliva
RDPYD18189857	GWHAPQP00000000	saliva
RDPYD18189857	GWHAPQQ00000000	saliva
RDPYD18189857	GWHAPQR00000000	saliva
RDPYD18189874	GWHAPQS00000000	saliva
RDPYD18189874	GWHAPQT00000000	saliva
RDPYD18189874	GWHAPQU00000000	saliva
RDPYD18189892	GWHAPQV00000000	saliva
RDPYD18189898	GWHAPQW00000000	saliva
RDPYD18189903	GWHAPQX00000000	saliva
RDPYD18189903	GWHAPQY00000000	saliva
RDPYD18189903	GWHAPQZ00000000	saliva
RDPYD18189903	GWHAPRA00000000	saliva
RDPYD18189910	GWHAPRB00000000	saliva
RDPYD18189910	GWHAPRC00000000	saliva
RDPYD18189910	GWHAPRD00000000	saliva
RDPYD18189921	GWHAPRE00000000	saliva
RDPYD18189921	GWHAPRF00000000	saliva
RDPYD18189921	GWHAPRG00000000	saliva
RDPYD18189930	GWHAPRH00000000	saliva
RDPYD18189936	GWHAPRI00000000	saliva
RDPYD18189950	GWHAPRJ00000000	saliva
