secondary_sample_accession	submission_accession	analysis_accession
ERS11702721	ERA35393178	ERZ28769881
ERS11702722	ERA35393216	ERZ28769917
ERS11702723	ERA35393223	ERZ28769924
ERS11702724	ERA35393227	ERZ28769928
ERS11702725	ERA35393186	ERZ28769889
ERS11702726	ERA35393204	ERZ28769905
ERS11702727	ERA35393219	ERZ28769920
ERS11702728	ERA35393266	ERZ28769966
ERS11702729	ERA35393243	ERZ28769944
ERS11702730	ERA35393180	ERZ28769883
ERS11702731	ERA35393274	ERZ28769973
ERS11702732	ERA35393220	ERZ28769921
ERS11702733	ERA35393182	ERZ28769885
ERS11702734	ERA35393196	ERZ28769898
ERS11702735	ERA35393190	ERZ28769892
ERS11702736	ERA35393194	ERZ28769896
ERS11702737	ERA35393270	ERZ28769969
ERS11702738	ERA35393273	ERZ28769972
ERS11702739	ERA35393252	ERZ28769952
ERS11702740	ERA35393259	ERZ28769959
ERS11702741	ERA35393201	ERZ28769902
ERS11702742	ERA35393224	ERZ28769925
ERS11702743	ERA35393213	ERZ28769914
ERS11702744	ERA35393239	ERZ28769940
ERS11702745	ERA35393229	ERZ28769930
ERS11702746	ERA35393249	ERZ28769950
ERS11702747	ERA35393257	ERZ28769957
ERS11702748	ERA35393198	ERZ28769900
ERS11702749	ERA35393234	ERZ28769935
ERS11702750	ERA35393209	ERZ28769910
ERS11702751	ERA35393235	ERZ28769936
ERS11702752	ERA35393264	ERZ28769964
ERS11702753	ERA35393248	ERZ28769949
ERS11702754	ERA35393256	ERZ28769956
ERS11702755	ERA35393202	ERZ28769903
ERS11702756	ERA35393238	ERZ28769939
ERS11702757	ERA35393208	ERZ28769909
ERS11702758	ERA35393231	ERZ28769932
ERS11702759	ERA35393263	ERZ28769963
ERS11702760	ERA35393247	ERZ28769948
ERS11702761	ERA35393181	ERZ28769884
ERS11702762	ERA35393206	ERZ28769907
ERS11702763	ERA35393189	ERZ28769891
ERS11702764	ERA35393192	ERZ28769894
ERS11702765	ERA35393228	ERZ28769929
ERS11702766	ERA35393262	ERZ28769962
ERS11702767	ERA35393246	ERZ28769947
ERS11702768	ERA35393255	ERZ28769955
ERS11702769	ERA35393260	ERZ28769960
ERS11702770	ERA35393240	ERZ28769941
ERS11702771	ERA35393212	ERZ28769913
ERS11702772	ERA35393230	ERZ28769931
ERS11702773	ERA35393261	ERZ28769961
ERS11702774	ERA35393245	ERZ28769946
ERS11702775	ERA35393254	ERZ28769954
ERS11702776	ERA35393271	ERZ28769970
ERS11702777	ERA35393207	ERZ28769908
ERS11702778	ERA35393214	ERZ28769915
ERS11702779	ERA35393225	ERZ28769926
ERS11702780	ERA35393244	ERZ28769945
ERS11702781	ERA35393185	ERZ28769888
ERS11702782	ERA35393272	ERZ28769971
ERS11702783	ERA35393205	ERZ28769906
ERS11702784	ERA35393218	ERZ28769919
ERS11702785	ERA35393217	ERZ28769918
ERS11702786	ERA35393267	ERZ28769967
ERS11702787	ERA35393226	ERZ28769927
ERS11702788	ERA35393179	ERZ28769882
ERS11702789	ERA35393183	ERZ28769886
ERS11702790	ERA35393193	ERZ28769895
ERS11702791	ERA35393191	ERZ28769893
ERS11702792	ERA35393195	ERZ28769897
ERS11702793	ERA35393268	ERZ28769968
ERS11702794	ERA35393242	ERZ28769943
ERS11702795	ERA35393253	ERZ28769953
ERS11702796	ERA35393275	ERZ28769974
ERS11702797	ERA35393203	ERZ28769904
ERS11702798	ERA35393222	ERZ28769923
ERS11702799	ERA35393215	ERZ28769916
ERS11702800	ERA35393241	ERZ28769942
ERS11702801	ERA35393265	ERZ28769965
ERS11702802	ERA35393251	ERZ28769951
ERS11702803	ERA35393258	ERZ28769958
ERS11702804	ERA35393200	ERZ28769901
ERS11702805	ERA35393232	ERZ28769933
ERS11702806	ERA35393211	ERZ28769912
ERS11702807	ERA35393237	ERZ28769938
