assembly_accession	archive_sample_accession	archive_data_accession
ERS11702721	ERS11702721	ERR9612721,ERR9612722
ERS11702722	ERS11702722	ERR9612723,ERR9612724
ERS11702723	ERS11702723	ERR9612725,ERR9612726
ERS11702724	ERS11702724	ERR9612727,ERR9612728
ERS11702725	ERS11702725	ERR9612729,ERR9612730
ERS11702726	ERS11702726	ERR9612731,ERR9612732
ERS11702727	ERS11702727	ERR9612733,ERR9612734
ERS11702728	ERS11702728	ERR9612735,ERR9612736
ERS11702729	ERS11702729	ERR9612737
ERS11702730	ERS11702730	ERR9612738
ERS11702731	ERS11702731	ERR9612739
ERS11702732	ERS11702732	ERR9612740
ERS11702733	ERS11702733	ERR9612741
ERS11702734	ERS11702734	ERR9612742
ERS11702735	ERS11702735	ERR9612743
ERS11702736	ERS11702736	ERR9612744
ERS11702737	ERS11702737	ERR9612745
ERS11702738	ERS11702738	ERR9612746
ERS11702739	ERS11702739	ERR9612747,ERR9612748
ERS11702740	ERS11702740	ERR9612749,ERR9612750
ERS11702741	ERS11702741	ERR9612751,ERR9612752
ERS11702742	ERS11702742	ERR9612753,ERR9612754
ERS11702743	ERS11702743	ERR9612755,ERR9612756
ERS11702744	ERS11702744	ERR9612757,ERR9612758
ERS11702745	ERS11702745	ERR9612759,ERR9612760
ERS11702746	ERS11702746	ERR9612761,ERR9612762
ERS11702747	ERS11702747	ERR9612763,ERR9612764
ERS11702748	ERS11702748	ERR9612765,ERR9612766
ERS11702749	ERS11702749	ERR9612767,ERR9612768
ERS11702750	ERS11702750	ERR9612769,ERR9612770
ERS11702751	ERS11702751	ERR9612771,ERR9612772
ERS11702752	ERS11702752	ERR9612773,ERR9612774
ERS11702753	ERS11702753	ERR9612775,ERR9612776
ERS11702754	ERS11702754	ERR9612777,ERR9612778
ERS11702755	ERS11702755	ERR9612779,ERR9612780
ERS11702756	ERS11702756	ERR9612781,ERR9612782
ERS11702757	ERS11702757	ERR9612783,ERR9612784
ERS11702758	ERS11702758	ERR9612785,ERR9612786
ERS11702759	ERS11702759	ERR9612787,ERR9612788
ERS11702760	ERS11702760	ERR9612789,ERR9612790
ERS11702761	ERS11702761	ERR9612791,ERR9612792
ERS11702762	ERS11702762	ERR9612793,ERR9612794
ERS11702763	ERS11702763	ERR9612795,ERR9612796
ERS11702764	ERS11702764	ERR9612797,ERR9612798
ERS11702765	ERS11702765	ERR9612799,ERR9612800
ERS11702766	ERS11702766	ERR9612801,ERR9612802
ERS11702767	ERS11702767	ERR9612803,ERR9612804
ERS11702768	ERS11702768	ERR9612805,ERR9612806
ERS11702769	ERS11702769	ERR9612807,ERR9612808
ERS11702770	ERS11702770	ERR9612809,ERR9612810
ERS11702771	ERS11702771	ERR9612811,ERR9612812
ERS11702772	ERS11702772	ERR9612813,ERR9612814
ERS11702773	ERS11702773	ERR9612815,ERR9612816
ERS11702774	ERS11702774	ERR9612817,ERR9612818
ERS11702775	ERS11702775	ERR9612819,ERR9612820
ERS11702776	ERS11702776	ERR9612821,ERR9612822
ERS11702777	ERS11702777	ERR9612823,ERR9612824
ERS11702778	ERS11702778	ERR9612825,ERR9612826
ERS11702779	ERS11702779	ERR9612827,ERR9612828
ERS11702780	ERS11702780	ERR9612829,ERR9612830
ERS11702781	ERS11702781	ERR9612831,ERR9612832
ERS11702782	ERS11702782	ERR9612833,ERR9612834
ERS11702783	ERS11702783	ERR9612835,ERR9612836
ERS11702784	ERS11702784	ERR9612837,ERR9612838
ERS11702785	ERS11702785	ERR9612839,ERR9612840
ERS11702786	ERS11702786	ERR9612841,ERR9612842
ERS11702787	ERS11702787	ERR9612843,ERR9612844
ERS11702788	ERS11702788	ERR9612845,ERR9612846
ERS11702789	ERS11702789	ERR9612847,ERR9612848
ERS11702790	ERS11702790	ERR9612849,ERR9612850
ERS11702791	ERS11702791	ERR9612851,ERR9612852
ERS11702792	ERS11702792	ERR9612853,ERR9612854
ERS11702793	ERS11702793	ERR9612855,ERR9612856
ERS11702794	ERS11702794	ERR9612857,ERR9612858
ERS11702795	ERS11702795	ERR9612859,ERR9612860
ERS11702796	ERS11702796	ERR9612861,ERR9612862
ERS11702797	ERS11702797	ERR9612863,ERR9612864
ERS11702798	ERS11702798	ERR9612865,ERR9612866
ERS11702799	ERS11702799	ERR9612867,ERR9612868
ERS11702800	ERS11702800	ERR9612869,ERR9612870
ERS11702801	ERS11702801	ERR9612871,ERR9612872
ERS11702802	ERS11702802	ERR9612873,ERR9612874
ERS11702803	ERS11702803	ERR9612875,ERR9612876
ERS11702804	ERS11702804	ERR9612877,ERR9612878
ERS11702805	ERS11702805	ERR9612879,ERR9612880
ERS11702806	ERS11702806	ERR9612881,ERR9612882
ERS11702807	ERS11702807	ERR9612883,ERR9612884
ERS11702808	ERS11702808	ERR9612885,ERR9612886
ERS11702809	ERS11702809	ERR9612887,ERR9612888
ERS11702810	ERS11702810	ERR9612889,ERR9612890
ERS11702811	ERS11702811	ERR9612891,ERR9612892
ERS11702812	ERS11702812	ERR9612893,ERR9612894
