project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_host	sample_age	sample_age_doi	community_type	material	archive	archive_sample_accession	archive_project	library_name	strand_type	library_treatment	instrument_model	library_layout	library_strategy	read_count	archive_data_accession	download_links	download_md5s
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	B61	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473742	PRJNA216965	S1-Shot-B61-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	13228381.0	SRR957738	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957738/SRR957738.fastq.gz	9c40c43b5d455e760ae8db924347f0b2
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	B61	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473743	PRJNA216965	S2-Shot-B61-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	13260566.0	SRR957739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957739/SRR957739.fastq.gz	dec1507f742de109529638bf00e0732f
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	B61	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473744	PRJNA216965	S3-Shot-B61-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	8869866.0	SRR957740	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957740/SRR957740.fastq.gz	bc49c59f489b4009206f8abcb737d55d
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	B61	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473745	PRJNA216965	S4-Shot-B61-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	11275013.0	SRR957741	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957741/SRR957741.fastq.gz	e02e3549ddd3ba6dc278a7f573c07321
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473746	PRJNA216965	S6-Shot-G12-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	8999409.0	SRR957743	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957743/SRR957743.fastq.gz	375e6b988eeb02cd56bdc861f4225b7f
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473747	PRJNA216965	S5-Shot-G12-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	8978974.0	SRR957742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957742/SRR957742.fastq.gz	b7c620b8ee165c08bee204529341ca5b
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473748	PRJNA216965	S7-Shot-G12-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	10187301.0	SRR957744	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957744/SRR957744.fastq.gz	c26d00cc0bf3b30de1ab4e6e199dcf0d
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473749	PRJNA216965	S8-Shot-G12-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	10087890.0	SRR957745	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957745/SRR957745.fastq.gz	1618b64b43195caa34c75dcf7b6c4c1c
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	SRA	SRS473750	PRJNA216965	S9-Shot-G12-calc	double	none	Illumina HiSeq 2000	SINGLE	WGS	8790145.0	SRR957746	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957746/SRR957746.fastq.gz	ed6eb0036191e98d4394d8588f79e0fd
Weyrich2017	2017	10.1038/nature21674	Near Cape Town			South Africa	AfrSF1	Homo sapiens	2300	10.1038/nature21674	oral	dental calculus	SRA	SRS7890483	PRJNA685265	13209_AfrSF3	double	none	Illumina HiSeq 2500	PAIRED	WGS	18909969.0	SRR13263137	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/037/SRR13263137/SRR13263137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/037/SRR13263137/SRR13263137_2.fastq.gz	8e816937ab3ddb3685c8e63740d930cc;1010a0c6525fecebbb677f068d936753
