project_name	publication_year	run_accession	study_accession	sample_alias	secondary_sample_accession	library_layout	fastq_ftp	fastq_md5	tax_id	instrument_model	read_count
Clemente2015	2015	SRR1646030	PRJNA245336	O3	SRS740678	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/000/SRR1646030/SRR1646030.fastq.gz	66cf5c0cdfc528124ead83ebd190ec86	646099	NextSeq 500	1280448
Clemente2015	2015	SRR1646031	PRJNA245336	O5	SRS740679	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1646031/SRR1646031.fastq.gz	29a8291eeb315d419b18f58520b80953	646099	NextSeq 500	3940023
Clemente2015	2015	SRR1646032	PRJNA245336	O6	SRS740680	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/002/SRR1646032/SRR1646032.fastq.gz	5bfe2300cb79fdc31ba545824097f8af	646099	NextSeq 500	163952
Clemente2015	2015	SRR1646033	PRJNA245336	O23	SRS740682	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/003/SRR1646033/SRR1646033.fastq.gz	8e44dcf71cc669dd4483a876d2f7008e	646099	NextSeq 500	1193334
Clemente2015	2015	SRR1646038	PRJNA245336	O12	SRS740687	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1646038/SRR1646038.fastq.gz	b8599d9831395117740927e147064001	646099	NextSeq 500	1863772
Clemente2015	2015	SRR1646039	PRJNA245336	O13	SRS740688	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1646039/SRR1646039.fastq.gz	9e2d34adb15898d57b8448d0a9261125	646099	NextSeq 500	1040961
Clemente2015	2015	SRR1646040	PRJNA245336	O14	SRS740689	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/000/SRR1646040/SRR1646040.fastq.gz	fa70705f1ffbd3c2578857dcac050e7a	646099	NextSeq 500	3220686
Clemente2015	2015	SRR1646041	PRJNA245336	O18	SRS740690	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1646041/SRR1646041.fastq.gz	85e27c39b663f17d9b8247434a68db4c	646099	NextSeq 500	18101
Clemente2015	2015	SRR1646042	PRJNA245336	O19	SRS740691	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/002/SRR1646042/SRR1646042.fastq.gz	1613944f84839652f03e711f35b36dd8	646099	NextSeq 500	1370377
Clemente2015	2015	SRR1646043	PRJNA245336	O4	SRS740692	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/003/SRR1646043/SRR1646043.fastq.gz	e80faa2ffdcc1ea72db2ffb45b72ef00	646099	NextSeq 500	852354
Clemente2015	2015	SRR1646044	PRJNA245336	O49	SRS740693	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1646044/SRR1646044.fastq.gz	1ecc38fca4b4a6845ec1067faa5bda9c	646099	NextSeq 500	810884
Clemente2015	2015	SRR1646045	PRJNA245336	O50	SRS740694	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1646045/SRR1646045.fastq.gz	01a229b6e7be84dd85c5ab5f60ff6ba2	646099	NextSeq 500	147567
Clemente2015	2015	SRR1646047	PRJNA245336	O9	SRS740696	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1646047/SRR1646047.fastq.gz	8a459ec2511b4cd25959d4c99d88f5eb	646099	NextSeq 500	567541
Clemente2015	2015	SRR1646046	PRJNA245336	O51	SRS740697	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1646046/SRR1646046.fastq.gz	accd282c5050854798fb82f06379d0f5	646099	NextSeq 500	1404948
Lassalle2018	2018	ERR1474564	PRJEB14383	Aeta_08	ERS1202862	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1474564/ERR1474564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1474564/ERR1474564_2.fastq.gz	75d98d203834c07619c01bc9e22e94f6;f2b0dad486fcb3121980b44df39f37d9	256318	Illumina HiSeq 2500	7118199
Lassalle2018	2018	ERR1474565	PRJEB14383	Aeta_10	ERS1202863	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1474565/ERR1474565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1474565/ERR1474565_2.fastq.gz	8121c718bf7bf21eb078415aca88f1f2;618a5a2f94a858446af847569fabff31	256318	Illumina HiSeq 2500	12261800
Lassalle2018	2018	ERR1474566	PRJEB14383	Aeta_12	ERS1202864	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1474566/ERR1474566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1474566/ERR1474566_2.fastq.gz	99fff768c50129bf907324bcf304b7ef;8f3f3801252ec2b800c510966667ce36	256318	Illumina HiSeq 2500	12642324
Lassalle2018	2018	ERR1474567	PRJEB14383	Aeta_61	ERS1202865	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1474567/ERR1474567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1474567/ERR1474567_2.fastq.gz	6f432614808052ef7c6dbbb6cb03352d;53c1a37c346409121c2ad9155ec365c1	256318	Illumina HiSeq 2500	7732579
Lassalle2018	2018	ERR1474568	PRJEB14383	Zambal_01	ERS1202866	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1474568/ERR1474568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1474568/ERR1474568_2.fastq.gz	7deb85833239d3cb5ec2f6a6ec21533a;eb66cf377aa6f9289abbf59b1a608a4a	256318	Illumina HiSeq 2500	41891239
Lassalle2018	2018	ERR1474569	PRJEB14383	Zambal_06	ERS1202867	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1474569/ERR1474569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1474569/ERR1474569_2.fastq.gz	a1fae409ecd728969790fc33be809412;b33943be86d2300a06d297817ff270a0	256318	Illumina HiSeq 2500	8379176
Lassalle2018	2018	ERR1474570	PRJEB14383	Zambal_42	ERS1202868	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1474570/ERR1474570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1474570/ERR1474570_2.fastq.gz	bdc843758bbb29e1bb0581946637d75a;2bee072535da1cee0f0a6f7831b95a55	256318	Illumina HiSeq 2500	30275223
Lassalle2018	2018	ERR1474571	PRJEB14383	Zambal_45	ERS1202869	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1474571/ERR1474571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1474571/ERR1474571_2.fastq.gz	3a779035abdc7e61959d7348032188a8;3c118e7fa548924397616bcf3ba549b3	256318	Illumina HiSeq 2500	9405810
Lassalle2018	2018	ERR1474572	PRJEB14383	Batak_29	ERS1202870	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1474572/ERR1474572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1474572/ERR1474572_2.fastq.gz	fd9c3f384cdece1e5f1450f04f8f7944;59724ff339b094be1700fe5841486015	256318	Illumina HiSeq 2500	2237899
Lassalle2018	2018	ERR1474573	PRJEB14383	Batak_33	ERS1202871	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1474573/ERR1474573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1474573/ERR1474573_2.fastq.gz	ee658e3412d74be6c2450bffd49ba8d9;726d5d79564c50ae3e7addfd6317b363	256318	Illumina HiSeq 2500	1704636
Lassalle2018	2018	ERR1474574	PRJEB14383	Batak_35	ERS1202872	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1474574/ERR1474574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1474574/ERR1474574_2.fastq.gz	31c68734e601f1575a8883f5e03cda54;54ef52bb6dafe1a3695a51a393b8cda5	256318	Illumina HiSeq 2500	1730402
Lassalle2018	2018	ERR1474575	PRJEB14383	Batak_42	ERS1202873	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1474575/ERR1474575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1474575/ERR1474575_2.fastq.gz	bd7f06f450c8ff9141e9a565194d3105;1656be391ac25c76a4f514f1f6fe1dfe	256318	Illumina HiSeq 2500	12691478
Lassalle2018	2018	ERR1474576	PRJEB14383	Batak_62	ERS1202874	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1474576/ERR1474576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1474576/ERR1474576_2.fastq.gz	d3650cca37713992bd545dda8af9fd3f;654a0519b7defde6cc9fce549cfb23fd	256318	Illumina HiSeq 2500	2879843
Lassalle2018	2018	ERR1474577	PRJEB14383	Batak_64	ERS1202875	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1474577/ERR1474577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1474577/ERR1474577_2.fastq.gz	e89dc0e90103e5a33165cd76df91acda;379d7bdbdcb02f41d5689ecac27a5ace	256318	Illumina HiSeq 2500	7087493
