project_name	publication_year	publication_doi	study_accession	sample_alias	secondary_sample_accession	run_accession
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR10083818
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR10083821
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR10083820
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR10083819
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR5283999
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR5284000
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR10083818
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR10083821
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR10083820
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR10083819
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR5283999
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.A	ERS5710595	ERR5284000
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.B	ERS5710596	ERR10083823
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.B	ERS5710596	ERR10083822
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC001.B	ERS5710596	ERR5284001
Velsko2026	2026	this study	PRJEB97493	CMC001.B	ERS5710596	ERR15606296
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC002.A	ERS5710597	ERR10083824
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC002.A	ERS5710597	ERR5284002
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC002.B	ERS5710598	ERR10083826
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC002.B	ERS5710598	ERR10083825
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC002.B	ERS5710598	ERR5284003
Velsko2026	2026	this study	PRJEB97493	CMC002.B	ERS5710598	ERR15606297
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC003.A	ERS5710599	ERR10083827
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC003.A	ERS5710599	ERR5284004
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC003.B	ERS5710600	ERR10083829
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC003.B	ERS5710600	ERR10083828
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC003.B	ERS5710600	ERR5284005
Velsko2026	2026	this study	PRJEB97493	CMC003.B	ERS5710600	ERR15606298
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC004.A	ERS5710601	ERR10083830
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC004.A	ERS5710601	ERR5284006
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC004.B	ERS5710602	ERR10083832
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC004.B	ERS5710602	ERR10083831
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC004.B	ERS5710602	ERR5284007
Velsko2026	2026	this study	PRJEB97493	CMC004.B	ERS5710602	ERR15606299
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC005.A	ERS5710603	ERR10083833
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC005.A	ERS5710603	ERR5284008
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC005.B	ERS5710604	ERR10083835
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC005.B	ERS5710604	ERR10083834
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC005.B	ERS5710604	ERR5284009
Velsko2026	2026	this study	PRJEB97493	CMC005.B	ERS5710604	ERR15606300
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC006.A	ERS5710605	ERR10083836
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC006.A	ERS5710605	ERR5284010
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC006.B	ERS5710606	ERR10083838
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC006.B	ERS5710606	ERR10083837
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC006.B	ERS5710606	ERR5284011
Velsko2026	2026	this study	PRJEB97493	CMC006.B	ERS5710606	ERR15606301
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC007.B	ERS5710607	ERR10083840
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC007.B	ERS5710607	ERR10083839
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC007.B	ERS5710607	ERR5284012
Velsko2026	2026	this study	PRJEB97493	CMC007.B	ERS5710607	ERR15606302
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC008.A	ERS5710608	ERR10083842
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC008.A	ERS5710608	ERR10083841
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC008.A	ERS5710608	ERR5284013
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC008.B	ERS5710609	ERR10083844
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC008.B	ERS5710609	ERR10083843
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC008.B	ERS5710609	ERR5284014
Velsko2026	2026	this study	PRJEB97493	CMC008.B	ERS5710609	ERR15606303
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC009.A	ERS5710610	ERR10083845
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC009.A	ERS5710610	ERR5284015
Velsko2026	2026	this study	PRJEB97493	CMC009.A	ERS5710610	ERR15606304
Velsko2026	2026	this study	PRJEB97493	CMC009.A	ERS5710610	ERR15606305
Velsko2023	2023	10.1111/mec.16988	PRJEB42572	CMC009.B	ERS5710611	ERR10083847
