Species	CMC001.B.deep.homd_mags	CMC002.B.deep.homd_mags	CMC003.B.deep.homd_mags	CMC004.B.deep.homd_mags	CMC005.B.deep.homd_mags	CMC006.B.deep.homd_mags	CMC007.B.deep.homd_mags	CMC008.B.deep.homd_mags	CMC009.A.deep.homd_mags	CMC009.B.deep.homd_mags	CMC010.B.deep.homd_mags	CMC011.B.deep.homd_mags	CMC012.B.deep.homd_mags	CMC013.B.deep.homd_mags	CMC015.B.deep.homd_mags	CMC016.B.deep.homd_mags	CMC017.B.deep.homd_mags	CMC018.B.deep.homd_mags	CMC020.B.deep.homd_mags	CMC021.B.deep.homd_mags	CMC022.B.deep.homd_mags	CMC023.A.deep.homd_mags	CMC023.B.deep.homd_mags	CMC024.B.deep.homd_mags	CMC025.B.deep.homd_mags	CMC026.B.deep.homd_mags	CMC027.B.deep.homd_mags	CMC028.B.deep.homd_mags	CMC029.B.deep.homd_mags	CMC030.B.deep.homd_mags	CMC031.B.deep.homd_mags	CMC032.B.deep.homd_mags	CMC033.B.deep.homd_mags	CMC034.B.deep.homd_mags	CMC035.B.deep.homd_mags	CMC036.B.deep.homd_mags	CMC037.B.deep.homd_mags	CMC038.A.deep.homd_mags	CMC038.B.deep.homd_mags	CMC039.B.deep.homd_mags	CMC040.B.deep.homd_mags	CMC042.B.deep.homd_mags	CMC043.B.deep.homd_mags	CMC045.B.deep.homd_mags	CMC046.B.deep.homd_mags
JACDCH01 pr_cl_3229	0	0	8	2	3	0	7	3	0	2	0	0	2	2	0	0	5	2	0	2	2	1	0	5	2	0	2	0	0	0	0	4	0	0	0	1	1	0	2	0	8	0	5	4	2
PALSA-555 pr_cl_3271	0	6	0	3	20	0	2	0	0	6	6	0	0	1	2	0	1	1	0	5	2	2	8	0	7	0	0	8	2	0	2	3	0	1	4	0	1	4	0	0	2	4	0	2	2
SIRX01 pr_cl_3226	0	6	0	0	7	2	0	2	5	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	2	1	0	1	0	0	0	3	0	5	4	0	2	44	2	0	0	0	0	2	0
JACVRM01 pr_cl_3222	0	6	0	0	3	0	7	0	1	5	0	0	8	0	0	4	0	0	1	0	0	0	1	1	6	0	0	6	0	0	0	0	0	0	1	2	3	0	8	2	4	0	2	2	4
JACDAN01 pr_cl_3270	0	6	0	4	0	1	0	0	3	8	0	0	2	2	1	0	1	1	2	1	2	4	1	4	5	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3
70-9 pr_cl_3224	0	17	47	2	101	26	389	297	8	292	17	6	44	261	44	6	1	0	22	103	0	0	209	5	35	356	16	1	18	1	0	0	0	0	0	118	13	2	1	0	0	1	15	3	24
Solirubrobacteraceae pr_cl_3223	1	8	4	13	1	4	29	3	6	9	0	8	1	16	1	22	33	2	12	9	8	31	13	20	13	4	48	23	5	2	1	0	3	2	0	1	2	10	11	6	2	17	2	3	3
JACVRW01 pr_cl_3225	4	39	12	131	1	8	8	9	9	15	1	181	9	6	1	42	37	1	16	47	160	65	7	125	6	9	29	21	5	5	0	7	2	0	19	0	35	14	461	2	33	10	0	44	14
CACZQA01 pr_cl_3187	3	0	0	36	3	2	6	2	0	8	11	10	19	0	0	25	31	7	7	7	75	14	38	93	87	30	18	11	0	2	0	0	0	2	10	2	2	16	4	3	4	9	0	0	0
W1P20-047 pr_cl_3179	0	2	2	12	2	0	5	0	1	1	2	187	11	4	2	6	6	14	3	3	65	9	86	168	2	29	45	4	1	3	0	0	0	1	12	44	20	13	172	6	2	5	0	1	5
