Class	Genus	species_cl_92	strain_cl_96	Genome_count	singletons_96	pct_single_96	singletons_92	pct_single_92	strain_cl_93	singletons_93	pct_single_93	strain_cl_94	singletons_94	pct_single_94	strain_cl_95	singletons_95	pct_single_95	strain_cl_97	singletons_97	pct_single_97	strain_cl_98	singletons_98	pct_single_98	strain_cl_99	singletons_99	pct_single_99
Methanobacteria	Methanobrevibacter_A	4	4	208	1	25	1	25	4	1	25	4	1	25	4	1	25	4	1	25	4	1	25	5	2	40
Actinomycetia	Actinomyces	31	67	666	29	43.3	10	32.3	34	11	32.4	40	12	30	45	14	31.1	143	89	62.2	306	231	75.5	494	422	85.4
Actinomycetia	Alloscardovia	3	3	18	0	0	0	0	3	0	0	3	0	0	3	0	0	3	0	0	3	0	0	11	7	63.6
Actinomycetia	Arachnia	11	17	205	5	29.4	3	27.3	12	3	25	15	4	26.7	15	4	26.7	21	7	33.3	26	11	42.3	86	59	68.6
Actinomycetia	Bifidobacterium	4	4	61	1	25	1	25	4	1	25	4	1	25	4	1	25	4	1	25	4	1	25	8	2	25
Actinomycetia	Brooklawnia	5	7	78	2	28.6	1	20	5	1	20	5	1	20	6	2	33.3	9	4	44.4	10	4	40	14	7	50
Actinomycetia	Corynebacterium	12	16	486	6	37.5	4	33.3	12	4	33.3	13	4	30.8	14	5	35.7	19	7	36.8	123	85	69.1	316	251	79.4
Actinomycetia	Cutibacterium	2	2	5	1	50	1	50	2	1	50	2	1	50	2	1	50	2	1	50	2	1	50	2	1	50
Actinomycetia	Parascardovia	1	1	6	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	3	2	66.7
Actinomycetia	Pauljensenia	29	149	559	95	63.8	3	10.3	38	4	10.5	60	16	26.7	93	42	45.2	225	162	72	343	294	85.7	445	394	88.5
Actinomycetia	Peptidiphaga	3	5	148	0	0	0	0	3	0	0	4	0	0	5	0	0	5	0	0	9	2	22.2	41	33	80.5
Actinomycetia	Propionibacterium	4	6	35	0	0	0	0	5	0	0	5	0	0	5	0	0	7	1	14.3	7	1	14.3	8	2	25
Actinomycetia	Rothia	11	176	730	129	73.3	3	27.3	13	4	30.8	22	7	31.8	72	50	69.4	250	205	82	385	330	85.7	582	509	87.5
Actinomycetia	Scardovia	2	2	22	0	0	0	0	2	0	0	2	0	0	2	0	0	7	3	42.9	15	9	60	17	13	76.5
Coriobacteriia	Cryptobacterium	2	4	16	1	25	0	0	3	0	0	3	0	0	3	0	0	4	1	25	5	1	20	10	5	50
Coriobacteriia	Lancefieldella	10	221	320	201	91	2	20	12	2	16.7	26	13	50	139	123	88.5	264	244	92.4	290	272	93.8	301	286	95
Coriobacteriia	Olsenella	1	2	23	0	0	0	0	1	0	0	1	0	0	2	0	0	2	0	0	2	0	0	3	1	33.3
Coriobacteriia	Olsenella_F	5	6	180	1	16.7	1	20	5	1	20	5	1	20	6	1	16.7	11	4	36.4	35	23	65.7	134	117	87.3
Coriobacteriia	Olsenella_I	1	1	2	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2	2	100
Coriobacteriia	Slackia	1	1	14	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2	0	0	12	10	83.3
Coriobacteriia	UBA7748	1	1	1	1	100	1	100	1	1	100	1	1	100	1	1	100	1	1	100	1	1	100	1	1	100
Bacilli	Abiotrophia	3	18	113	5	27.8	0	0	3	0	0	3	0	0	6	1	16.7	56	35	62.5	77	63	81.8	86	76	88.4
Bacilli	Bulleidia	8	68	203	55	80.9	3	37.5	9	4	44.4	17	6	35.3	39	26	66.7	101	88	87.1	147	129	87.8	173	157	90.8
Bacilli	Eggerthia	1	1	9	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2	1	50
Bacilli	Gemella	13	27	222	15	55.6	3	23.1	14	3	21.4	19	7	36.8	24	11	45.8	39	27	69.2	82	57	69.5	168	135	80.4
Bacilli	Granulicatella	6	114	302	86	75.4	3	50	8	3	37.5	16	7	43.8	40	21	52.5	178	142	79.8	260	227	87.3	277	255	92.1
Bacilli	Metamycoplasma	3	3	32	0	0	0	0	3	0	0	3	0	0	3	0	0	14	8	57.1	26	24	92.3	32	32	100
Bacilli	Streptococcus	64	723	2257	503	69.6	21	32.8	90	33	36.7	152	69	45.4	376	233	62	986	724	73.4	1223	977	79.9	1406	1201	85.4
Clostridia	Anaerosphaera	2	2	2	2	100	2	100	2	2	100	2	2	100	2	2	100	2	2	100	2	2	100	2	2	100
Clostridia	Catonella	14	60	136	51	85	9	64.3	15	9	60	15	9	60	27	21	77.8	110	91	82.7	120	107	89.2	125	115	92
Clostridia	Eubacterium_B	4	6	222	0	0	0	0	4	0	0	5	0	0	5	0	0	23	13	56.5	127	107	84.3	142	128	90.1
Clostridia	Eubacterium_N	2	3	72	1	33.3	0	0	2	0	0	3	1	33.3	3	1	33.3	10	5	50	42	35	83.3	69	66	95.7
Clostridia	F0428	2	2	112	0	0	0	0	2	0	0	2	0	0	2	0	0	2	0	0	4	0	0	18	9	50
Clostridia	Fenollaria	1	1	1	1	100	1	100	1	1	100	1	1	100	1	1	100	1	1	100	1	1	100	1	1	100
Clostridia	Filifactor	3	4	38	1	25	0	0	3	0	0	3	0	0	4	1	25	4	1	25	13	10	76.9	32	27	84.4
Clostridia	Gallibacter	1	1	27	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	11	10	90.9
Clostridia	Hornefia	3	5	229	1	20	0	0	5	1	20	5	1	20	5	1	20	6	1	16.7	14	4	28.6	167	149	89.2
Clostridia	Johnsonella	8	12	152	6	50	2	25	10	5	50	10	5	50	11	5	45.5	14	7	50	26	15	57.7	75	58	77.3
Clostridia	Lachnoanaerobaculum	15	45	276	28	62.2	3	20	15	3	20	19	6	31.6	24	8	33.3	92	64	69.6	141	113	80.1	206	174	84.5
Clostridia	Mogibacterium	9	12	169	6	50	5	55.6	9	5	55.6	9	5	55.6	10	5	50	23	15	65.2	70	54	77.1	106	94	88.7
Clostridia	Oribacterium	14	123	283	103	83.7	4	28.6	16	6	37.5	18	8	44.4	52	36	69.2	181	155	85.6	222	199	89.6	252	229	90.9
Clostridia	Parvimonas	8	10	79	5	50	4	50	9	4	44.4	9	4	44.4	10	5	50	14	7	50	30	22	73.3	54	44	81.5
Clostridia	Peptoanaerobacter	6	9	54	3	33.3	1	16.7	6	1	16.7	8	2	25	8	2	25	22	12	54.5	38	31	81.6	44	37	84.1
Clostridia	Peptostreptococcus	4	6	109	3	50	1	25	4	1	25	4	1	25	6	3	50	7	4	57.1	10	6	60	81	64	79
Clostridia	Pseudoramibacter	1	2	51	0	0	0	0	2	0	0	2	0	0	2	0	0	3	1	33.3	4	1	25	11	5	45.5
Clostridia	Shuttleworthia	1	1	4	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	3	2	66.7	3	2	66.7
Clostridia	Stomatobaculum	6	10	143	3	30	1	16.7	6	1	16.7	8	1	12.5	9	2	22.2	17	8	47.1	83	59	71.1	117	99	84.6
Clostridia	Urinicoccus	1	1	1	1	100	1	100	1	1	100	1	1	100	1	1	100	1	1	100	1	1	100	1	1	100
Clostridia	W11650	4	5	13	4	80	3	75	4	3	75	5	4	80	5	4	80	6	4	66.7	9	7	77.8	13	13	100
Clostridia	W5053	1	1	39	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	3	0	0	9	6	66.7
Negativicutes	AWVT01	3	3	35	1	33.3	1	33.3	3	1	33.3	3	1	33.3	3	1	33.3	3	1	33.3	3	1	33.3	11	7	63.6
Negativicutes	Allisonella	1	1	8	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
Negativicutes	Anaeroglobus	3	4	181	1	25	0	0	3	0	0	3	0	0	3	0	0	5	1	20	15	9	60	136	114	83.8
Negativicutes	Centipeda	28	35	243	15	42.9	11	39.3	29	11	37.9	30	11	36.7	31	11	35.5	53	33	62.3	110	84	76.4	181	147	81.2
Negativicutes	Dialister	4	5	56	0	0	0	0	5	0	0	5	0	0	5	0	0	5	0	0	12	7	58.3	43	38	88.4
Negativicutes	F0422	10	29	50	24	82.8	5	50	13	7	53.8	16	9	56.2	22	15	68.2	34	29	85.3	48	46	95.8	48	46	95.8
Negativicutes	Selenomonas	7	13	73	7	53.8	3	42.9	7	3	42.9	8	3	37.5	8	3	37.5	22	14	63.6	38	28	73.7	63	57	90.5
Negativicutes	Veillonella	14	98	635	80	81.6	4	28.6	21	8	38.1	30	16	53.3	60	41	68.3	176	144	81.8	360	283	78.6	520	445	85.6
Bacteroidia	Alloprevotella	12	34	388	15	44.1	1	8.3	13	1	7.7	14	1	7.1	21	5	23.8	126	97	77	312	262	84	357	333	93.3
Bacteroidia	Bacteroides	3	4	9	2	50	1	33.3	4	2	50	4	2	50	4	2	50	4	2	50	5	3	60	8	7	87.5
Bacteroidia	Capnocytophaga	21	47	673	21	44.7	3	14.3	22	3	13.6	22	3	13.6	25	5	20	195	122	62.6	376	263	69.9	515	423	82.1
Bacteroidia	F0058	3	6	154	2	33.3	0	0	3	0	0	4	0	0	4	0	0	10	4	40	65	36	55.4	113	93	82.3
Bacteroidia	Phocaeicola	2	4	44	2	50	0	0	3	2	66.7	4	2	50	4	2	50	4	2	50	4	2	50	5	3	60
Bacteroidia	Porphyromonas	18	80	875	51	63.7	3	16.7	20	3	15	23	7	30.4	39	20	51.3	351	238	67.8	507	385	75.9	635	515	81.1
Bacteroidia	Prevotella	66	142	2024	65	45.8	11	16.7	69	11	15.9	71	11	15.5	87	23	26.4	371	242	65.2	820	606	73.9	1583	1328	83.9
Bacteroidia	Tannerella	8	16	231	5	31.2	2	25	9	2	22.2	10	2	20	12	2	16.7	43	25	58.1	80	58	72.5	169	149	88.2
Campylobacteria	Campylobacter_A	21	294	569	232	78.9	6	28.6	27	6	22.2	61	30	49.2	170	114	67.1	397	320	80.6	467	402	86.1	507	464	91.5
Campylobacteria	Campylobacter_B	5	43	89	31	72.1	2	40	6	2	33.3	17	11	64.7	37	24	64.9	45	34	75.6	62	48	77.4	74	62	83.8
Campylobacteria	Helicobacter	1	21	59	13	61.9	0	0	1	0	0	2	0	0	5	2	40	44	34	77.3	49	42	85.7	49	42	85.7
Anaerolineae	Flexilinea	5	9	295	1	11.1	1	20	5	1	20	6	1	16.7	8	1	12.5	10	2	20	21	9	42.9	92	74	80.4
Desulfobulbia	Desulfobulbus	1	1	134	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	3	1	33.3	53	30	56.6
Desulfovibrionia	Desulfomicrobium	1	2	59	1	50	0	0	1	0	0	1	0	0	2	1	50	2	1	50	4	3	75	22	12	54.5
Fusobacteriia	Fusobacterium	23	34	353	19	55.9	11	47.8	24	13	54.2	26	13	50	28	14	50	64	42	65.6	182	140	76.9	313	280	89.5
Fusobacteriia	Fusobacterium_C	2	2	51	0	0	0	0	2	0	0	2	0	0	2	0	0	3	1	33.3	4	1	25	7	1	14.3
Fusobacteriia	JABCPH02	2	2	33	1	50	1	50	2	1	50	2	1	50	2	1	50	4	2	50	7	4	57.1	27	23	85.2
Fusobacteriia	Leptotrichia	13	15	128	6	40	5	38.5	13	5	38.5	13	5	38.5	14	5	35.7	26	12	46.2	58	37	63.8	104	85	81.7
Fusobacteriia	Leptotrichia_A	4	9	151	5	55.6	2	50	4	2	50	4	2	50	6	3	50	23	17	73.9	93	68	73.1	127	108	85
Fusobacteriia	Pseudoleptotrichia	3	3	17	0	0	0	0	3	0	0	3	0	0	3	0	0	3	0	0	4	0	0	11	7	63.6
JAEDAM01	HOT-345	7	44	134	29	65.9	1	14.3	8	1	12.5	9	2	22.2	10	2	20	73	56	76.7	101	84	83.2	118	104	88.1
Saccharimonadia	Nanosynbacter	22	295	418	231	78.3	8	36.4	44	13	29.5	104	56	53.8	227	160	70.5	330	279	84.5	353	316	89.5	369	341	92.4
Saccharimonadia	Nanosyncoccus	38	277	389	261	94.2	20	52.6	166	150	90.4	183	162	88.5	260	236	90.8	289	278	96.2	304	290	95.4	367	352	95.9
Saccharimonadia	SDRK01	1	2	19	1	50	0	0	1	0	0	1	0	0	2	1	50	4	3	75	14	11	78.6	18	17	94.4
