Bin	Base	mean_damage	Study	primary_cluster	SampleID	library_treatment	library_polymerase
ERS11702722.bin.r.1	0	0.0241306532663317	Velsko2022	1188	ERS11702722	Half	PfuTurbo Cx Hotstart DNA
ERS11702722.bin.r.1	1	0.00673701842546064	Velsko2022	1188	ERS11702722	Half	PfuTurbo Cx Hotstart DNA
ERS11702722.bin.r.1	2	0.00523283082077052	Velsko2022	1188	ERS11702722	Half	PfuTurbo Cx Hotstart DNA
ERS11702722.bin.r.1	3	0.00457788944723618	Velsko2022	1188	ERS11702722	Half	PfuTurbo Cx Hotstart DNA
ERS11702722.bin.r.1	4	0.00457621440536013	Velsko2022	1188	ERS11702722	Half	PfuTurbo Cx Hotstart DNA
ERS11702722.bin.r.1	5	0.00249748743718593	Velsko2022	1188	ERS11702722	Half	PfuTurbo Cx Hotstart DNA
ERS11702724.bin.r.1	0	0.0206439024390244	Velsko2022	1188	ERS11702724	Half	PfuTurbo Cx Hotstart DNA
ERS11702724.bin.r.1	1	0.00724227642276423	Velsko2022	1188	ERS11702724	Half	PfuTurbo Cx Hotstart DNA
ERS11702724.bin.r.1	2	0.00357886178861789	Velsko2022	1188	ERS11702724	Half	PfuTurbo Cx Hotstart DNA
ERS11702724.bin.r.1	3	0.00638861788617886	Velsko2022	1188	ERS11702724	Half	PfuTurbo Cx Hotstart DNA
ERS11702724.bin.r.1	4	0.00518048780487805	Velsko2022	1188	ERS11702724	Half	PfuTurbo Cx Hotstart DNA
ERS11702724.bin.r.1	5	0.00279349593495935	Velsko2022	1188	ERS11702724	Half	PfuTurbo Cx Hotstart DNA
ERS11702729.bin.r.3	0	0.0426274509803922	Velsko2022	1187	ERS11702729	Half	PfuTurbo Cx Hotstart DNA
ERS11702729.bin.r.3	1	0.00695098039215686	Velsko2022	1187	ERS11702729	Half	PfuTurbo Cx Hotstart DNA
ERS11702729.bin.r.3	2	0.00497058823529412	Velsko2022	1187	ERS11702729	Half	PfuTurbo Cx Hotstart DNA
