"Gene"	"KEGG module"	"Description"
"cofH"	"M00378"	"F420 biosynthesis, archaea"
"cofG"	"M00378"	"F420 biosynthesis, archaea"
"cofC"	"M00378"	"F420 biosynthesis, archaea"
"cofD"	"M00378"	"F420 biosynthesis, archaea"
"cofE"	"M00378"	"F420 biosynthesis, archaea"
"fbiD"	"M00378"	"F420 biosynthesis, archaea"
"fwdA"	"M00567"	"Methanogenesis, CO2 => methane"
"fmdA"	"M00567"	"Methanogenesis, CO2 => methane"
"fwdB"	"M00567"	"Methanogenesis, CO2 => methane"
"fmdB"	"M00567"	"Methanogenesis, CO2 => methane"
"fwdC"	"M00567"	"Methanogenesis, CO2 => methane"
"fmdC"	"M00567"	"Methanogenesis, CO2 => methane"
"fwdD"	"M00567"	"Methanogenesis, CO2 => methane"
"fmdD"	"M00567"	"Methanogenesis, CO2 => methane"
"fwdE"	"M00567"	"Methanogenesis, CO2 => methane"
"fmdE"	"M00567"	"Methanogenesis, CO2 => methane"
"fwdF"	"M00567"	"Methanogenesis, CO2 => methane"
"fmdF"	"M00567"	"Methanogenesis, CO2 => methane"
"fwdG"	"M00567"	"Methanogenesis, CO2 => methane"
"fwdH"	"M00567"	"Methanogenesis, CO2 => methane"
"ftr"	"M00567"	"Methanogenesis, CO2 => methane"
"mch"	"M00567"	"Methanogenesis, CO2 => methane"
"mtd"	"M00567"	"Methanogenesis, CO2 => methane"
"hmd"	"M00567"	"Methanogenesis, CO2 => methane"
"mer"	"M00567"	"Methanogenesis, CO2 => methane"
"mtrA"	"M00567"	"Methanogenesis, CO2 => methane"
"mtrB"	"M00567"	"Methanogenesis, CO2 => methane"
"mtrC"	"M00567"	"Methanogenesis, CO2 => methane"
"mtrD"	"M00567"	"Methanogenesis, CO2 => methane"
"mtrE"	"M00567"	"Methanogenesis, CO2 => methane"
"mtrF"	"M00567"	"Methanogenesis, CO2 => methane"
"mtrG"	"M00567"	"Methanogenesis, CO2 => methane"
"mtrH"	"M00567"	"Methanogenesis, CO2 => methane"
"mcrA"	"M00567"	"Methanogenesis, CO2 => methane"
"mcrB"	"M00567"	"Methanogenesis, CO2 => methane"
"mcrG"	"M00567"	"Methanogenesis, CO2 => methane"
"hdrA1"	"M00567"	"Methanogenesis, CO2 => methane"
"hdrB1"	"M00567"	"Methanogenesis, CO2 => methane"
"hdrC1"	"M00567"	"Methanogenesis, CO2 => methane"
"hdrA2"	"M00567"	"Methanogenesis, CO2 => methane"
"hdrB2"	"M00567"	"Methanogenesis, CO2 => methane"
"hdrC2"	"M00567"	"Methanogenesis, CO2 => methane"
"hdrD"	"M00567"	"Methanogenesis, CO2 => methane"
"hdrE"	"M00567"	"Methanogenesis, CO2 => methane"
"vhuA"	"M00567"	"Methanogenesis, CO2 => methane"
"vhcA"	"M00567"	"Methanogenesis, CO2 => methane"
"mvhG"	"M00567"	"Methanogenesis, CO2 => methane"
"vhuG"	"M00567"	"Methanogenesis, CO2 => methane"
"vhcG"	"M00567"	"Methanogenesis, CO2 => methane"
"mvhD"	"M00567"	"Methanogenesis, CO2 => methane"
"vhuD"	"M00567"	"Methanogenesis, CO2 => methane"
"vhcD"	"M00567"	"Methanogenesis, CO2 => methane"
"fdhA"	"M00567"	"Methanogenesis, CO2 => methane"
"fdhB"	"M00567"	"Methanogenesis, CO2 => methane"
"ackA"	"M00357"	"Methanogenesis, acetate => methane"
"pta"	"M00357"	"Methanogenesis, acetate => methane"
"ACSS1_2"	"M00357"	"Methanogenesis, acetate => methane"
"cdhC"	"M00357"	"Methanogenesis, acetate => methane"
"cdhE"	"M00357"	"Methanogenesis, acetate => methane"
"cdhD"	"M00357"	"Methanogenesis, acetate => methane"
"mtrA"	"M00357"	"Methanogenesis, acetate => methane"
"mtrB"	"M00357"	"Methanogenesis, acetate => methane"
"mtrC"	"M00357"	"Methanogenesis, acetate => methane"
"mtrD"	"M00357"	"Methanogenesis, acetate => methane"
