Bin	Base	mean_damage	Study	primary_cluster	SampleID	library_treatment	library_polymerase
ERS11702751.bin.r.2	0	0.0191506493506494	Velsko2022	3192	ERS11702751	Half	PfuTurbo Cx Hotstart DNA
ERS11702751.bin.r.2	1	0.00234285714285714	Velsko2022	3192	ERS11702751	Half	PfuTurbo Cx Hotstart DNA
ERS11702751.bin.r.2	2	0.000787012987012987	Velsko2022	3192	ERS11702751	Half	PfuTurbo Cx Hotstart DNA
ERS11702751.bin.r.2	3	0.00240779220779221	Velsko2022	3192	ERS11702751	Half	PfuTurbo Cx Hotstart DNA
ERS11702751.bin.r.2	4	0.000997402597402597	Velsko2022	3192	ERS11702751	Half	PfuTurbo Cx Hotstart DNA
ERS11702751.bin.r.2	5	0.000394805194805195	Velsko2022	3192	ERS11702751	Half	PfuTurbo Cx Hotstart DNA
ERS15409361.bin.r.1	0	0.0505688311688312	Velsko2024	3192	ERS15409361	Half	PfuTurbo Cx Hotstart DNA
ERS15409361.bin.r.1	1	0.00504415584415584	Velsko2024	3192	ERS15409361	Half	PfuTurbo Cx Hotstart DNA
ERS15409361.bin.r.1	2	0.0032	Velsko2024	3192	ERS15409361	Half	PfuTurbo Cx Hotstart DNA
ERS15409361.bin.r.1	3	0.00406493506493506	Velsko2024	3192	ERS15409361	Half	PfuTurbo Cx Hotstart DNA
ERS15409361.bin.r.1	4	0.00325454545454545	Velsko2024	3192	ERS15409361	Half	PfuTurbo Cx Hotstart DNA
ERS15409361.bin.r.1	5	0.00321558441558442	Velsko2024	3192	ERS15409361	Half	PfuTurbo Cx Hotstart DNA
ERS15409401.bin.r.2	0	0.0434835164835165	Velsko2024	3192	ERS15409401	Half	PfuTurbo Cx Hotstart DNA
ERS15409401.bin.r.2	1	0.00457142857142857	Velsko2024	3192	ERS15409401	Half	PfuTurbo Cx Hotstart DNA
ERS15409401.bin.r.2	2	0.00348351648351648	Velsko2024	3192	ERS15409401	Half	PfuTurbo Cx Hotstart DNA
ERS15409401.bin.r.2	3	0.00430769230769231	Velsko2024	3192	ERS15409401	Half	PfuTurbo Cx Hotstart DNA
ERS15409401.bin.r.2	4	0.00247252747252747	Velsko2024	3192	ERS15409401	Half	PfuTurbo Cx Hotstart DNA
ERS15409401.bin.r.2	5	0.00196703296703297	Velsko2024	3192	ERS15409401	Half	PfuTurbo Cx Hotstart DNA
ERS15409431.bin.r.8	0	0.0515434782608696	Velsko2024	3192	ERS15409431	Half	PfuTurbo Cx Hotstart DNA
ERS15409431.bin.r.8	1	0.00426086956521739	Velsko2024	3192	ERS15409431	Half	PfuTurbo Cx Hotstart DNA
ERS15409431.bin.r.8	2	0.00306521739130435	Velsko2024	3192	ERS15409431	Half	PfuTurbo Cx Hotstart DNA
ERS15409431.bin.r.8	3	0.00360869565217391	Velsko2024	3192	ERS15409431	Half	PfuTurbo Cx Hotstart DNA
ERS15409431.bin.r.8	4	0.00280434782608696	Velsko2024	3192	ERS15409431	Half	PfuTurbo Cx Hotstart DNA
ERS15409431.bin.r.8	5	0.00241304347826087	Velsko2024	3192	ERS15409431	Half	PfuTurbo Cx Hotstart DNA
ERS22873795.bin.r.41	0	0.0111555555555556	RIII2023	3192	ERS22873795	Mixed	
ERS22873795.bin.r.41	1	0.0111333333333333	RIII2023	3192	ERS22873795	Mixed	
ERS22873795.bin.r.41	2	0.0164740740740741	RIII2023	3192	ERS22873795	Mixed	
ERS22873795.bin.r.41	3	0.00732592592592593	RIII2023	3192	ERS22873795	Mixed	
ERS22873795.bin.r.41	4	0.00908148148148148	RIII2023	3192	ERS22873795	Mixed	
ERS22873795.bin.r.41	5	0.00665925925925926	RIII2023	3192	ERS22873795	Mixed	
ERS22873796.bin.r.42	0	0.00584134615384615	RIII2023	3192	ERS22873796	Mixed	
ERS22873796.bin.r.42	1	0.00432692307692308	RIII2023	3192	ERS22873796	Mixed	
ERS22873796.bin.r.42	2	0.00707211538461539	RIII2023	3192	ERS22873796	Mixed	
ERS22873796.bin.r.42	3	0.00359134615384615	RIII2023	3192	ERS22873796	Mixed	
ERS22873796.bin.r.42	4	0.00414423076923077	RIII2023	3192	ERS22873796	Mixed	
ERS22873796.bin.r.42	5	0.00248557692307692	RIII2023	3192	ERS22873796	Mixed	
ERS26854150.bin.r.3	0	0.427336283185841	""	3192	ERS26854150	None	
ERS26854150.bin.r.3	1	0.305407079646018	""	3192	ERS26854150	None	
ERS26854150.bin.r.3	2	0.244946902654867	""	3192	ERS26854150	None	
ERS26854150.bin.r.3	3	0.208327433628319	""	3192	ERS26854150	None	
ERS26854150.bin.r.3	4	0.179796460176991	""	3192	ERS26854150	None	
ERS26854150.bin.r.3	5	0.159495575221239	""	3192	ERS26854150	None	
