Sample	Query	checkv_quality	vOTU	Rank	Kingdom	Phylum	Class	Order	Family	Genus	Species
CMC001.B	phage_comp_142_cycle_1	Low-quality	vOTU_01424431	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_340_cycle_1	High-quality	vOTU_03401863	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_366_cycle_1	High-quality	vOTU_01941015	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_366_cycle_2	High-quality	vOTU_01941015	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_417_cycle_1	Medium-quality	vOTU_06836516	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_423_cycle_1	Low-quality	vOTU_01960352	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_474_cycle_1	Not-determined	vOTU_07705589	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_474_cycle_2	Not-determined	vOTU_07705589	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_476_cycle_1	Complete	vOTU_08603756	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_487_cycle_1	Not-determined	vOTU_00001096	r__Monodnaviria	k__Loebvirae	p__Hofneiviricota	c__Faserviricetes	o__Tubulavirales	f__Inoviridae	g__	s__
CMC001.B	phage_comp_495_cycle_1	Low-quality	vOTU_05088086	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_495_cycle_2	Low-quality	vOTU_01379385	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_509_cycle_1	Complete	vOTU_01674503	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_831_cycle_1	Complete	vOTU_07937550	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC001.B	phage_comp_860_cycle_1	Low-quality	vOTU_00233369	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC002.B	phage_comp_108_cycle_1	Complete	vOTU_01956541	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_104_cycle_1	Complete	vOTU_02383666	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_104_cycle_2	Complete	vOTU_02383666	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_104_cycle_3	Complete	vOTU_02383666	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_156_cycle_1	Complete	vOTU_07935657	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_183_cycle_1	Low-quality	vOTU_01426983	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_187_cycle_1	Complete	vOTU_01468707	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_191_cycle_1	Medium-quality	vOTU_05017699	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_250_cycle_1	Medium-quality	vOTU_00223002	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_266_cycle_1	Complete	vOTU_07954643	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_266_cycle_2	Complete	vOTU_07974634	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_437_cycle_1	Low-quality	vOTU_00271412	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_56_cycle_1	Not-determined	vOTU_02667696	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC003.B	phage_comp_98_cycle_1	Low-quality	vOTU_00218211	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
