Contig	MAG
NODE_8198_length_6838_cov_5.114628	CMC010.B-metaspades_067
NODE_8838_length_6528_cov_4.785150	CMC010.B-metaspades_067
NODE_9217_length_6346_cov_5.007178	CMC010.B-metaspades_067
NODE_9460_length_6250_cov_5.682812	CMC010.B-metaspades_067
NODE_9736_length_6148_cov_5.060451	CMC010.B-metaspades_067
NODE_10783_length_5783_cov_5.080091	CMC010.B-metaspades_067
NODE_10788_length_5782_cov_4.763891	CMC010.B-metaspades_067
NODE_11201_length_5645_cov_5.075790	CMC010.B-metaspades_067
NODE_12760_length_5209_cov_5.379969	CMC010.B-metaspades_067
NODE_13250_length_5092_cov_5.101496	CMC010.B-metaspades_067
NODE_13313_length_5072_cov_5.985986	CMC010.B-metaspades_067
NODE_14264_length_4867_cov_3.647808	CMC010.B-metaspades_067
NODE_14324_length_4852_cov_4.702827	CMC010.B-metaspades_067
NODE_14335_length_4849_cov_5.117142	CMC010.B-metaspades_067
NODE_14763_length_4764_cov_3.634094	CMC010.B-metaspades_067
NODE_14766_length_4763_cov_6.293854	CMC010.B-metaspades_067
NODE_14887_length_4737_cov_5.624249	CMC010.B-metaspades_067
NODE_15114_length_4696_cov_4.665512	CMC010.B-metaspades_067
NODE_15537_length_4617_cov_4.664317	CMC010.B-metaspades_067
NODE_15873_length_4558_cov_5.808525	CMC010.B-metaspades_067
NODE_16165_length_4507_cov_4.660045	CMC010.B-metaspades_067
NODE_17026_length_4356_cov_5.177612	CMC010.B-metaspades_067
NODE_17315_length_4312_cov_5.428808	CMC010.B-metaspades_067
NODE_17389_length_4300_cov_4.873076	CMC010.B-metaspades_067
NODE_17439_length_4292_cov_5.379122	CMC010.B-metaspades_067
NODE_17779_length_4241_cov_4.765610	CMC010.B-metaspades_067
NODE_17903_length_4222_cov_3.935344	CMC010.B-metaspades_067
NODE_18113_length_4190_cov_5.186725	CMC010.B-metaspades_067
NODE_18192_length_4178_cov_4.552792	CMC010.B-metaspades_067
NODE_18616_length_4118_cov_5.706261	CMC010.B-metaspades_067
NODE_18755_length_4097_cov_5.613184	CMC010.B-metaspades_067
NODE_18834_length_4087_cov_4.481047	CMC010.B-metaspades_067
NODE_19169_length_4043_cov_5.212557	CMC010.B-metaspades_067
NODE_19946_length_3936_cov_5.141487	CMC010.B-metaspades_067
NODE_20089_length_3913_cov_5.052398	CMC010.B-metaspades_067
NODE_20244_length_3893_cov_4.900419	CMC010.B-metaspades_067
NODE_20879_length_3810_cov_3.938119	CMC010.B-metaspades_067
NODE_21103_length_3781_cov_4.167657	CMC010.B-metaspades_067
NODE_21130_length_3778_cov_5.055120	CMC010.B-metaspades_067
NODE_21269_length_3760_cov_4.119468	CMC010.B-metaspades_067
NODE_21397_length_3747_cov_4.756131	CMC010.B-metaspades_067
NODE_21510_length_3734_cov_4.692644	CMC010.B-metaspades_067
NODE_21568_length_3726_cov_4.034256	CMC010.B-metaspades_067
NODE_21938_length_3687_cov_4.170914	CMC010.B-metaspades_067
NODE_22648_length_3613_cov_4.717760	CMC010.B-metaspades_067
NODE_22664_length_3612_cov_5.082603	CMC010.B-metaspades_067
NODE_22769_length_3601_cov_5.966515	CMC010.B-metaspades_067
NODE_22781_length_3600_cov_4.912291	CMC010.B-metaspades_067
NODE_22853_length_3592_cov_5.343954	CMC010.B-metaspades_067
NODE_22854_length_3592_cov_4.683073	CMC010.B-metaspades_067
NODE_23056_length_3572_cov_5.193133	CMC010.B-metaspades_067
NODE_23157_length_3562_cov_4.986227	CMC010.B-metaspades_067
NODE_23535_length_3524_cov_4.793734	CMC010.B-metaspades_067
NODE_23611_length_3515_cov_4.609657	CMC010.B-metaspades_067
NODE_25019_length_3381_cov_5.486985	CMC010.B-metaspades_067
NODE_25087_length_3375_cov_5.121286	CMC010.B-metaspades_067
NODE_25192_length_3365_cov_4.170012	CMC010.B-metaspades_067
NODE_25201_length_3364_cov_4.336781	CMC010.B-metaspades_067
NODE_25589_length_3332_cov_4.622734	CMC010.B-metaspades_067
NODE_25602_length_3331_cov_4.699447	CMC010.B-metaspades_067
NODE_25647_length_3327_cov_4.861538	CMC010.B-metaspades_067
NODE_25799_length_3313_cov_3.952101	CMC010.B-metaspades_067
NODE_25884_length_3306_cov_4.735832	CMC010.B-metaspades_067
NODE_26006_length_3294_cov_4.635685	CMC010.B-metaspades_067
NODE_26662_length_3236_cov_3.945552	CMC010.B-metaspades_067
NODE_27197_length_3189_cov_4.232005	CMC010.B-metaspades_067
NODE_27545_length_3163_cov_4.768308	CMC010.B-metaspades_067
NODE_27649_length_3156_cov_4.834362	CMC010.B-metaspades_067
NODE_27781_length_3144_cov_4.727747	CMC010.B-metaspades_067
