genome	accession	reference	gtdb_taxonomy	gtdb_genus	gtdb_species	ncbi_taxonomy	checkm2_completeness	checkm2_contamination	Host	Bin	Age_BP	Country	Continent	Industrialization	primary_cluster
GCA_902795935.1_Rumen_uncultured_genome_RUG14110_genomic	GCA_902795935.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	CADBMS01	CADBMS01 sp902795935	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	84.31	0.49	reference genome						
GCF_016282985.1_ASM1628298v1_genomic	GCF_016282985.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp016282985	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	95.5	0.32	reference genome						
GCA_902783085.1_Rumen_uncultured_genome_RUG12835_genomic	GCA_902783085.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902783085	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	82.7	0.59	reference genome						
GCA_902772665.1_Rumen_uncultured_genome_RUG11794_genomic	GCA_902772665.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902772665	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	82.63	3.37	reference genome						
GCA_902782595.1_Rumen_uncultured_genome_RUG12789_genomic	GCA_902782595.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902782595	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	82.86	0.76	reference genome						
GCA_017459665.1_ASM1745966v1_genomic	GCA_017459665.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017459665	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	81.23	1.2	reference genome						
GCA_964583995.1_SRP278969_co1_358_genomic	GCA_964583995.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp964583995	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	83.96	4.21	reference genome						
GCF_045611865.1_ASM4561186v1_genomic	GCF_045611865.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045611865	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	94.65	2.23	reference genome						
GCF_902788255.1_Rumen_uncultured_genome_RUG13354_genomic	GCF_902788255.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902788255	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.93	2.23	reference genome						
GCA_946408925.1_SRR12081294_bin.36_metaWRAP_v1.3_MAG_genomic	GCA_946408925.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp946408925	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	87.78	1.43	reference genome						
GCF_902774605.1_Rumen_uncultured_genome_RUG11987_genomic	GCF_902774605.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902774605	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	96.12	0.69	reference genome						
GCA_030539985.1_ASM3053998v1_genomic	GCA_030539985.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp030539985	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	81.19	5.32	reference genome						
GCA_015062805.1_ASM1506280v1_genomic	GCA_015062805.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae_C	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera stadtmanae	99.92	0.75	reference genome						
GCF_045120835.1_ASM4512083v1_genomic	GCF_045120835.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045120835	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	92.48	1.72	reference genome						
