out_type	Class	Industry	Bin	Type	Sub_type	Alt_sub_type	Full_type	GC_pct	completeness	contamination	checkM2.completeness	checkM2.contamination	primary_cluster	secondary_cluster	length	N50	gtdb_taxonomy	MAG_source	fBAPS_l1	fBAPS_l2	Study	Age_BP	Continent	Country	sample_host	Host	GUNC.n_contigs	checkM.N50_contigs	QUAL	Secondary_sample_accession	latitude	longitude	Present
known	2	ancient	ERS11702722.bin.r.2	II	D		II-D	42.7	93.19	0	97.37	0.38	211	211_1	1525491	44017	g__RGIG7111;s__	Ancient	6	18	Velsko2022	200	Europe	Spain	Homo	Human	72	44017	High_w_GUNC	ERS11702722	43.182	-2.573	Yes
known	2	ancient	ERS11702722.bin.r.2	II	A		II-A	42.7	93.19	0	97.37	0.38	211	211_1	1525491	44017	g__RGIG7111;s__	Ancient	6	18	Velsko2022	200	Europe	Spain	Homo	Human	72	44017	High_w_GUNC	ERS11702722	43.182	-2.573	Yes
known	1	ancient	ERS11702723.bin.r.4	I	E		I-E	42.5	94.33	5.2	98.05	9.33	211	211_1	1644836	82990	g__RGIG7111;s__	Ancient	6	19	Velsko2022	200	Europe	Spain	Homo	Human	58	82990	Med_w_GUNC	ERS11702723	43.182	-2.573	Yes
known	2	ancient	ERS11702723.bin.r.4	II	D		II-D	42.5	94.33	5.2	98.05	9.33	211	211_1	1644836	82990	g__RGIG7111;s__	Ancient	6	19	Velsko2022	200	Europe	Spain	Homo	Human	58	82990	Med_w_GUNC	ERS11702723	43.182	-2.573	Yes
known	2	ancient	ERS11702724.bin.r.3	II	D		II-D	42.5	87.23	0	83.79	0.15	211	211_1	1264540	100690	g__RGIG7111;s__	Ancient	6	19	Velsko2022	200	Europe	Spain	Homo	Human	41	100690	Med_w_GUNC	ERS11702724	43.182	-2.573	Yes
known	1	ancient	ERS11702724.bin.r.3	I	E		I-E	42.5	87.23	0	83.79	0.15	211	211_1	1264540	100690	g__RGIG7111;s__	Ancient	6	19	Velsko2022	200	Europe	Spain	Homo	Human	41	100690	Med_w_GUNC	ERS11702724	43.182	-2.573	Yes
known	2	ancient	ERS11702727.bin.r.3	II	D		II-D	42.3	92.2	0	95.13	0.18	211	211_1	1480304	40798	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	Spain	Homo	Human	92	40798	High_w_GUNC	ERS11702727	43.182	-2.573	Yes
known	2	ancient	ERS11702729.bin.r.1	II	D		II-D	42.5	94.33	0	97.96	0.17	211	211_1	1523531	106350	g__RGIG7111;s__	Ancient	6	19	Velsko2022	500	Europe	Spain	Homo	Human	40	106350	High_w_GUNC	ERS11702729	38.247	-0.808	Yes
known	1	ancient	ERS11702729.bin.r.1	I	E		I-E	42.5	94.33	0	97.96	0.17	211	211_1	1523531	106350	g__RGIG7111;s__	Ancient	6	19	Velsko2022	500	Europe	Spain	Homo	Human	40	106350	High_w_GUNC	ERS11702729	38.247	-0.808	Yes
known	2	ancient	ERS11702731.bin.r.10	II	D		II-D	42.5	94.33	0	100	0.32	211	211_1	1472495	26752	g__RGIG7111;s__	Ancient	3	7	Velsko2022	500	Europe	Spain	Homo	Human	103	26752	High_w_GUNC	ERS11702731	38.247	-0.808	Yes
