genome,completeness,contamination,length,N50
GCA_000161975.1_ASM16197v1_genomic.fna,88.42,0.71,1084901,1084901
GCA_000242675.1_Euba_infi_F0142_V1_genomic.fna,100.0,0.0,1910927,1413062
GCA_000435615.1_MGS238_genomic.fna,95.39,0.78,2118260,36287
GCA_000435715.1_MGS145_genomic.fna,97.61,0.71,2066053,257712
GCA_000488855.1_ASM48885v1_genomic.fna,96.1,0.0,1544525,378227
GCA_000510425.1_EnATCC33099v1.0_genomic.fna,98.94,0.0,1829558,129203
GCA_000526055.1_EsuATCC35585v1.0_genomic.fna,100.0,0.71,1728669,236697
GCA_000758905.1_04_NF_x40_HMP1635v01_genomic.fna,96.45,0.0,1531433,137136
GCA_001189495.1_ASM118949v1_genomic.fna,100.0,0.71,1739380,1739380
GCA_001513255.1_ASM151325v1_genomic.fna,89.72,5.79,1512138,13120
GCA_002299625.1_ASM229962v1_genomic.fna,89.65,0.24,1473857,10166
GCA_002304835.1_ASM230483v1_genomic.fna,83.6,0.0,1455888,90566
GCA_002310095.1_ASM231009v1_genomic.fna,86.02,0.71,1447595,76567
GCA_002315335.1_ASM231533v1_genomic.fna,87.61,0.71,1526116,24870
GCA_002315385.1_ASM231538v1_genomic.fna,90.78,0.95,1633413,65392
GCA_002315535.1_ASM231553v1_genomic.fna,80.0,1.42,1481509,29358
GCA_002320005.1_ASM232000v1_genomic.fna,99.29,0.0,2125765,81175
GCA_002329565.1_ASM232956v1_genomic.fna,95.27,1.68,1480088,39190
GCA_002329675.1_ASM232967v1_genomic.fna,81.74,0.71,2228566,12589
GCA_002350505.1_ASM235050v1_genomic.fna,81.54,2.84,1977289,19851
GCA_002372505.1_ASM237250v1_genomic.fna,92.53,0.71,2025041,22457
GCA_002385825.1_ASM238582v1_genomic.fna,80.56,2.48,1795772,14865
GCA_002392265.1_ASM239226v1_genomic.fna,56.38,0.86,1479472,10120
GCA_002418625.1_ASM241862v1_genomic.fna,96.45,1.65,2535298,51680
GCA_002425705.1_ASM242570v1_genomic.fna,86.29,1.42,1941859,74316
GCA_002427305.1_ASM242730v1_genomic.fna,71.82,0.78,1678059,15081
GCA_002431245.1_ASM243124v1_genomic.fna,89.42,1.95,2041950,13166
GCA_002439735.1_ASM243973v1_genomic.fna,92.34,1.06,2296692,21371
GCA_002455605.1_ASM245560v1_genomic.fna,90.39,0.71,2687481,11266
GCA_002472145.1_ASM247214v1_genomic.fna,96.34,0.71,1513323,82575
GCA_002472335.1_ASM247233v1_genomic.fna,93.48,3.19,1472100,30585
GCA_002482405.1_ASM248240v1_genomic.fna,76.2,1.77,3231393,10572
GCA_002840285.1_ASM284028v1_genomic.fna,93.97,1.42,1929503,62866
GCA_003150015.1_ASM315001v1_genomic.fna,67.02,2.13,2323772,566901
GCA_003343965.1_ASM334396v1_genomic.fna,85.39,12.77,1830559,24850
GCA_003433295.1_ASM343329v1_genomic.fna,96.81,0.6,1906764,1903428
GCA_003445605.1_ASM344560v1_genomic.fna,55.57,0.12,1197565,7524
GCA_003483725.1_ASM348372v1_genomic.fna,77.2,0.71,1607700,9943
GCA_003542355.1_ASM354235v1_genomic.fna,76.15,0.95,1416677,8008
GCA_004554935.1_ASM455493v1_genomic.fna,96.12,3.55,1794056,29179
GCA_004555725.1_ASM455572v1_genomic.fna,97.52,0.95,2096058,94653
GCA_004556375.1_ASM455637v1_genomic.fna,96.1,0.63,2513023,43094
GCA_009776955.1_ASM977695v1_genomic.fna,85.11,0.71,2034464,192919
GCA_009778415.1_ASM977841v1_genomic.fna,81.07,2.01,2522419,9283
GCA_009778945.1_ASM977894v1_genomic.fna,82.24,1.95,1709787,9666
GCA_009782285.1_ASM978228v1_genomic.fna,85.22,1.3,3105003,22878
GCA_009785435.1_ASM978543v1_genomic.fna,53.86,0.71,999146,5401
GCA_009911365.1_ASM991136v1_genomic.fna,97.16,0.71,3959417,172643
GCA_012510935.1_ASM1251093v1_genomic.fna,90.53,5.92,1404275,7781
GCA_012511395.1_ASM1251139v1_genomic.fna,80.43,0.71,1181493,10873
GCA_012513435.1_ASM1251343v1_genomic.fna,98.28,8.15,2284303,80555
GCA_012515135.1_ASM1251513v1_genomic.fna,82.13,1.42,1241614,5743
GCA_012521055.1_ASM1252105v1_genomic.fna,95.74,1.06,1938821,14879
GCA_012523915.1_ASM1252391v1_genomic.fna,94.68,0.5,1984375,11504
GCA_012719215.1_ASM1271921v1_genomic.fna,90.98,2.91,2430788,5684
GCA_012729355.1_ASM1272935v1_genomic.fna,93.74,0.65,1701198,13237
GCA_012735145.1_ASM1273514v1_genomic.fna,92.55,0.71,1126970,21380
GCA_012735285.1_ASM1273528v1_genomic.fna,92.11,0.71,1981628,7796
GCA_012744355.1_ASM1274435v1_genomic.fna,96.81,2.13,1881631,16773
GCA_012799165.1_ASM1279916v1_genomic.fna,86.12,0.21,1385808,6325
GCA_012838265.1_ASM1283826v1_genomic.fna,93.57,0.95,2153015,13501
GCA_012840975.1_ASM1284097v1_genomic.fna,89.36,1.42,1444253,68730
GCA_012841165.1_ASM1284116v1_genomic.fna,87.35,1.06,1297038,28016
GCA_012841925.1_ASM1284192v1_genomic.fna,89.05,0.0,1610658,30642
