,S. thermophilus,CMC024.B.bin.r.44,CMC025.B.bin.r.30,CMC027.B.bin.r.16,CMC026.B.bin.r.18,CMC042.B.bin.r.11,ERS3774419.bin.r.15,ERS3774422.bin.r.23,SRS4625234.bin.r.7,SRS4625241.bin.r.3,ERS3774421.bin.r.2,ERS6205396.bin.r.8,SRS4625240.bin.r.4,ERS3774425.bin.r.5
S. thermophilus,,10.757,10.395,2.953,13.179,11.938,13.891,13.891,13.891,13.891,13.891,13.283,8.189,9.730
CMC024.B.bin.r.44,10.757,,99.824,41.191,39.381,39.109,39.872,39.872,39.872,39.872,39.823,36.199,1.974,32.611
CMC025.B.bin.r.30,10.395,99.824,,47.221,38.071,39.028,38.466,38.466,38.466,38.466,38.409,36.199,2.184,32.611
CMC027.B.bin.r.16,2.953,41.191,47.221,,13.718,21.429,13.903,13.903,13.853,13.853,13.853,16.710,4.094,32.357
CMC026.B.bin.r.18,13.179,39.381,38.071,13.718,,98.436,85.084,85.084,85.134,85.134,85.033,79.181,2.222,77.493
CMC042.B.bin.r.11,11.938,39.109,39.028,21.429,98.436,,83.210,83.210,83.292,83.292,83.128,77.613,3.212,77.713
ERS3774419.bin.r.15,13.891,39.872,38.466,13.903,85.084,83.210,,100.000,99.695,99.695,99.949,80.860,2.503,95.245
ERS3774422.bin.r.23,13.891,39.872,38.466,13.903,85.084,83.210,100.000,,99.695,99.695,99.949,80.860,2.503,95.245
SRS4625234.bin.r.7,13.891,39.872,38.466,13.853,85.134,83.292,99.695,99.695,,100.000,99.644,80.725,2.457,95.245
SRS4625241.bin.r.3,13.891,39.872,38.466,13.853,85.134,83.292,99.695,99.695,100.000,,99.644,80.725,2.457,95.245
ERS3774421.bin.r.2,13.891,39.823,38.409,13.853,85.033,83.128,99.949,99.949,99.644,99.644,,80.792,2.550,95.109
ERS6205396.bin.r.8,13.283,36.199,36.199,16.710,79.181,77.613,80.860,80.860,80.725,80.725,80.792,,3.036,73.989
SRS4625240.bin.r.4,8.189,1.974,2.184,4.094,2.222,3.212,2.503,2.503,2.457,2.457,2.550,3.036,,5.603
ERS3774425.bin.r.5,9.730,32.611,32.611,32.357,77.493,77.713,95.245,95.245,95.245,95.245,95.109,73.989,5.603,
