Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_42_length_21916_cov_5.81552	NODE_42_length_21916_cov_5.81552@1	8673	21464	I-C	100%	100%	I-C	21	['Cas3_1_CAS-I', 'Cas5_1_CAS-I-C', 'Cas8c_1_CAS-I-C', 'Cas7_1_CAS-I-C', 'Cas4_0_I-II', 'Cas1_0_IC', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[9, 13, 14, 15, 16, 18, 19]	['2.30e-60', '1.00e-87', '2.30e-187', '5.70e-118', '9.20e-43', '3.50e-148', '1.50e-25']	[0.436, 0.938, 0.976, 0.969, 0.818, 0.988, 0.847]	[0.471, 1.0, 0.998, 0.996, 1.0, 1.0, 0.987]	1	1	buccal_mucosa	industrial	HMP_2012__SRS011090__bin.2	known
NODE_291_length_3674_cov_3.67919	NODE_291_length_3674_cov_3.67919@1	543	3673	I-C	25%	67%	I-C	9	['Cas7_0_IC', 'Cas4_0_I-II', 'Cas1_0_IC']	[2, 3, 5]	['4.90e-90', '5.00e-43', '3.90e-50']	[0.909, 0.829, 0.977]	[0.887, 1.0, 0.374]	1	1	buccal_mucosa	industrial	HMP_2012__SRS011144__bin.2	known
NODE_1429_length_4546_cov_4.46827	NODE_1429_length_4546_cov_4.46827@1	956	3377	II-A	0%	100%	II-A	7	['Csn2_2_CAS-II-A', 'Csn2_2_CAS-II-A', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI']	[2, 3, 4, 5]	['2.80e-48', '2.80e-88', '1.50e-31', '4.50e-98']	[0.958, 0.99, 0.954, 0.775]	[0.397, 0.595, 0.888, 0.996]		-1	buccal_mucosa	industrial	HMP_2012__SRS011247__bin.12	known
NODE_13_length_56681_cov_6.6001	NODE_13_length_56681_cov_6.6001@1	11155	19305	I-C	100%	100%	I-C	21	['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IC', 'Cas4_0_I-II', 'Cas7_1_CAS-I-C', 'Cas8c_0_IC', 'Cas5_0_CAS-I-C', 'Cas3_1_CAS-I']	[10, 11, 12, 13, 14, 15, 16]	['5.00e-28', '2.30e-134', '9.90e-39', '3.20e-118', '1.90e-136', '1.80e-77', '9.60e-64']	[0.845, 0.985, 0.87, 0.958, 0.98, 0.917, 0.553]	[0.975, 0.997, 0.989, 0.993, 0.998, 0.995, 0.576]	-1	-1	buccal_mucosa	industrial	HMP_2012__SRS011247__bin.7	known
NODE_134_length_27535_cov_4.35131	NODE_134_length_27535_cov_4.35131@1	11277	17075	II-A	100%	100%	II-A	9	['Cas9_0_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Csn2_2_CAS-II-A']	[12, 13, 14, 15]	['3.30e-179', '1.00e-91', '4.80e-28', '6.20e-87']	[0.698, 0.899, 0.935, 0.989]	[0.983, 1.0, 0.871, 0.997]	1	1	buccal_mucosa	industrial	HMP_2012__SRS011310__bin.11	known
NODE_97_length_35009_cov_8.77622	NODE_97_length_35009_cov_8.77622@1	492	13813	IV-D	40%		IV-D	6	['Cas6_15_CAS-I-II-III-IV-V-VI', 'WYL_3_CAS-I-II-III-IV-V-VI', 'CasR_4_CAS-III-D', 'Csx1_7_CAS-III', 'RecD_0_IVD']	[1, 2, 3, 4, 5]	['4.00e-14', '2.10e-09', '2.00e-16', '5.80e-10', '7.60e-27']	[0.421, 0.363, 0.431, 0.406, 0.478]	[0.991, 0.965, 0.534, 0.583, 0.54]	1		buccal_mucosa	industrial	HMP_2012__SRS011310__bin.16	known
NODE_97_length_35009_cov_8.77622	NODE_97_length_35009_cov_8.77622@2	19646	30066	III-D	67%		III-D	17	['Cas2_11_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI', 'Csx20_1_CAS-I-III', 'Cas10_7_CAS-III', 'Csm3gr7_11_CAS-III-A-III-D', 'Csx10_0_IIID', 'Csm3gr7_2_CAS-III-A-III-D', 'Csx19_1_CAS-III-D', 'Csm3_0_IIIAD', 'Cas6_15_CAS-I-II-III-IV-V-VI']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	['1.20e-17', '5.60e-77', '4.80e-58', '9.40e-83', '5.60e-33', '1.20e-12', '4.10e-33', '2.00e-53', '1.80e-155', '7.10e-15']	[0.902, 0.846, 0.992, 0.783, 0.902, 0.488, 0.665, 0.989, 0.909, 0.425]	[0.972, 0.996, 1.0, 0.99, 0.833, 0.619, 0.994, 0.985, 0.969, 0.982]	1		buccal_mucosa	industrial	HMP_2012__SRS011310__bin.16	known
NODE_290_length_16676_cov_7.98261	NODE_290_length_16676_cov_7.98261@1	1952	8066	II-A	100%	100%	II-A	9	['Csn2_0_CAS-II-A', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas9_0_II']	[1, 2, 3, 4]	['7.20e-66', '1.10e-32', '1.30e-89', '2.90e-185']	[0.996, 0.99, 0.9, 0.746]	[1.0, 1.0, 0.996, 0.986]	-1	-1	buccal_mucosa	industrial	HMP_2012__SRS011310__bin.16	known
NODE_287_length_16821_cov_4.79083	NODE_287_length_16821_cov_4.79083@1	8000	16140	I-C	100%	100%	I-C	21	['Cas3_1_CAS-I', 'Cas5_0_CAS-I-C', 'Cas8c_3_CAS-I-C', 'Cas7_1_CAS-I-C', 'Cas4_0_I-II', 'Cas1_0_IC', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[7, 8, 9, 10, 11, 12, 13]	['1.90e-65', '1.70e-77', '4.00e-123', '3.50e-118', '5.40e-39', '1.20e-134', '4.80e-28']	[0.683, 0.917, 0.963, 0.958, 0.894, 0.985, 0.845]	[0.733, 0.995, 0.996, 0.993, 0.989, 0.997, 0.975]	1	1	buccal_mucosa	industrial	HMP_2012__SRS011310__bin.7	known
NODE_55_length_43361_cov_12.4665	NODE_55_length_43361_cov_12.4665@1	5641	16462	I-C	100%	100%	I-C	21	['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IC', 'Cas4_0_I-II', 'Cas7_1_CAS-I-C', 'Cas8c_1_CAS-I-C', 'Cas5_1_CAS-I-C', 'Cas3_1_CAS-I']	[8, 9, 11, 12, 13, 14, 17]	['6.60e-26', '3.00e-148', '1.40e-40', '2.70e-118', '1.10e-187', '1.90e-72', '2.80e-47']	[0.847, 0.988, 0.829, 0.969, 0.976, 0.946, 0.554]	[0.987, 1.0, 1.0, 0.996, 0.998, 0.904, 0.438]	-1	-1	buccal_mucosa	industrial	HMP_2012__SRS013239__bin.4	known
