sample_binID	binner	pass.MIMAG_medium	pass.MIMAG_high	pass.GUNC	pass.Polyrate	GTDBlineage	SGBtype	SGBlineage	checkM.genome_size	checkM.GC	GUNC.n_contigs	checkM.N50_contigs	checkM.coding_density	meanCov	breadth	checkM.lineage	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	checkM2.completeness	checkM2.contamination	GUNC.divergence_level	GUNC.CSS	GUNC.contamination_portion	polyrate
CMC007.B-metaspades_001	binsAC	True	True	True	True	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_F;s__Olsenella_F sp001189515	kSGB_14348	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_oral_taxon_807|t__SGB14348	2418973	61.5000	304	12414	84.3400	187.9623	0.9985	p__Actinobacteria (UID2112)	97.1100	0.4800	25.0000	86.7500	0.5300	phylum	0.2500	0.0200	0.0041
CMC007.B-metaspades_002	binsC	True	True	True	True	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella rimae	kSGB_985	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae|t__SGB985	1382542	50.0000	296	6000	90.2800	8.3095	0.9957	p__Actinobacteria (UID2112)	91.6000	3.2300	100.0000	86.0700	1.3200	kingdom	0.0000	0.0000	0.0026
CMC007.B-metaspades_003	binsAC	True	False	True	True	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__Cardiobacterium sp916618745	uSGB_9415	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium|s__Cardiobacterium_SGB9415|t__SGB9415	2408017	58.8000	94	37215	88.3800	24.4957	0.9994	k__Bacteria (UID203)	81.0300	0.0000	0.0000	96.6200	0.5800	class	0.1300	0.0600	0.0010
CMC007.B-metaspades_004	binsAB	True	False	True	True	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae	kSGB_15874	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_gerencseriae|t__SGB15874	1578842	70.7000	282	6387	87.4700	145.2457	0.9986	k__Bacteria (UID203)	50.0000	0.0000	0.0000	49.0500	0.4600	kingdom	0.0000	0.0000	0.0035
CMC007.B-metaspades_005	binsC	True	False	True	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella oulorum	kSGB_1520	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oulorum|t__SGB1520	2213287	47.7000	297	7767	87.6800	65.0862	0.9976	g__Prevotella (UID2724)	89.2700	4.1700	95.2400	84.5900	2.3900	kingdom	0.0000	0.0000	0.0042
CMC007.B-metaspades_006	binsA	True	False	True	True	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D buccale	uSGB_3585	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3585|t__SGB3585	2266027	50.0000	318	14439	90.2400	34.5824	0.9993	f__Spirochaetaceae (UID2535)	86.1200	1.1200	100.0000	88.7300	1.2800	kingdom	0.0000	0.0000	0.0022
CMC007.B-metaspades_007	binsBC	True	False	True	True	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__Leptotrichia sp002240055	kSGB_6053	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp_oral_taxon_498|t__SGB6053	999769	29.6000	293	3672	90.0200	131.8218	0.9987	k__Bacteria (UID2329)	63.3700	0.5600	0.0000	56.0400	0.0400	kingdom	0.0000	0.0000	0.0033
CMC007.B-metaspades_008	binsC	True	True	True	True	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium matruchotii	kSGB_17007	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii|t__SGB17007	3359413	56.3000	536	8275	86.6900	1109.7302	0.9993	o__Actinomycetales (UID1812)	98.1200	4.5700	90.0000	99.9900	3.8100	kingdom	0.0000	0.0000	0.0042
CMC007.B-metaspades_009	binsB	True	False	True	True	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_C;s__Treponema_C maltophilum	kSGB_3589	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_maltophilum|t__SGB3589	1582021	49.4000	439	3992	93.9800	6.1506	0.9962	f__Spirochaetaceae (UID2535)	69.8800	0.0700	50.0000	65.5000	1.1900	kingdom	0.0000	0.0000	0.0011
CMC007.B-metaspades_010	binsABC	True	True	True	True	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;s__	uSGB_15893	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB15893|t__SGB15893	2370732	60.0000	92	41199	85.8600	32.9413	0.9990	p__Actinobacteria (UID1454)	92.5000	0.8300	0.0000	92.8300	0.3200	genus	0.0400	0.0500	0.0011
