Contig,Operon,Start,End,Prediction,Complete_Interference,Complete_Adaptation,Best_type,Best_score,Genes,Positions,E-values,CoverageSeq,CoverageHMM,Strand_Interference,Strand_Adaptation,sampleID,out_type,length,completeness,contamination,Secondary_sample_accession,MAG_source,Study,Oral_site,Age_BP,Country,Continent,Industrialization,sample_host,Sample,primary_cluster,log_age
NODE_235_length_7387_cov_44.3,NODE_235_length_7387_cov_44.3@1,267,7386,I-B,80%,100%,I-B,20,"['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas3_1_CAS-I', 'Cas5_7_CAS-I-B', 'Cas7_2_IB', 'Cas8b1_3_CAS-I-B']","[1, 2, 3, 4, 5, 6, 7]","['4.00e-28', '2.70e-132', '3.40e-48', '5.40e-50', '2.30e-48', '2.20e-89', '3.60e-89']","[0.874, 0.958, 0.952, 0.666, 0.975, 0.919, 0.967]","[0.987, 0.997, 0.994, 0.652, 0.975, 0.997, 0.721]",-1,-1,ERS11702729.bin.r.3,known,2053111,99.2,0,ERS11702729,Ancient,Velsko2022,anc_calculus,500,Spain,Europe,Ancient,Homo sapiens,ERS11702729-megahit_003,24,
NODE_976_length_4299_cov_14.0,NODE_976_length_4299_cov_14.0@1,134,4297,III-A,80%,"",III-A,13,"['Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5gr7_1_CAS-III-A-III-D', 'Csx1_9_CAS-III']","[1, 2, 3, 4, 5]","['1.50e-24', '3.00e-75', '8.30e-50', '3.80e-41', '8.60e-55']","[0.687, 0.888, 0.965, 0.989, 0.955]","[0.927, 0.991, 0.99, 0.995, 0.738]",1,,ERS11702732.bin.r.6,known,1749533,90.87,0,ERS11702732,Ancient,Velsko2022,anc_calculus,500,Spain,Europe,Ancient,Homo sapiens,ERS11702732-megahit_006,24,
NODE_142_length_8659_cov_33.8,NODE_142_length_8659_cov_33.8@1,2,8225,I-B,100%,100%,I-B,19,"['Cas6_3_CAS-I-II-III-IV-V-VI', 'Cas8b1_12_CAS-I-B', 'Cas7_0_CAS-I-B', 'Cas5_0_CAS-I', 'Cas3_0_I', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4, 5, 6, 7, 8]","['1.90e-84', '2.20e-148', '9.20e-37', '8.20e-15', '3.10e-100', '2.30e-50', '2.60e-140', '2.40e-30']","[0.892, 0.976, 0.879, 0.659, 0.477, 0.947, 0.972, 0.924]","[0.992, 0.99, 0.922, 0.726, 0.989, 0.994, 0.997, 0.978]",1,1,ERS11702742.bin.r.1,known,1892145,99.84,0,ERS11702742,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702742-megahit_001,25,
NODE_119_length_9483_cov_38.0,NODE_119_length_9483_cov_38.0@1,239,9162,III-A,100%,"",III-A,18,"['Cas10_1_CAS-III', 'Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5gr7_1_CAS-III-A-III-D', 'Csx1_20_CAS-III', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4, 5, 6, 7, 8, 9]","['1.10e-142', '2.10e-22', '7.10e-71', '6.90e-51', '6.00e-40', '1.10e-68', '1.70e-74', '3.40e-16', '4.90e-82']","[0.83, 0.761, 0.888, 0.92, 0.997, 0.916, 0.977, 0.771, 0.854]","[1.0, 0.754, 0.991, 0.954, 1.0, 0.995, 0.991, 0.831, 0.989]",1,,ERS11702742.bin.r.1,known,1892145,99.84,0,ERS11702742,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702742-megahit_001,25,
NODE_75_length_14450_cov_25.8,NODE_75_length_14450_cov_25.8@1,2097,14271,I-B,100%,100%,I-B,22,"['Cas3_0_CAS-I', 'Cas6_7_CAS-I-II-III-IV-V-VI', 'Cas8b1_13_CAS-I-B', 'Cas7_2_IB', 'Cas5_7_CAS-I-B', 'Cas3_1_CAS-I', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']","[3, 6, 7, 8, 9, 10, 11, 12, 13]","['4.00e-22', '1.60e-40', '1.10e-108', '2.90e-89', '4.90e-47', '7.60e-53', '1.70e-46', '8.20e-133', '4.00e-27']","[0.421, 0.939, 0.973, 0.919, 0.987, 0.764, 0.987, 0.975, 0.874]","[0.907, 0.975, 0.997, 0.997, 0.979, 0.757, 0.975, 0.997, 0.987]",1,1,ERS11702746.bin.r.1,known,1772579,97.6,1.6,ERS11702746,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702746-megahit_001,25,
NODE_299_length_5345_cov_30.5,NODE_299_length_5345_cov_30.5@1,2,5241,III-A,100%,"",III-A,14,"['Csm5gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_2_CAS-III-A', 'Cas10_1_CAS-III']","[1, 2, 3, 4, 5]","['8.00e-24', '6.80e-51', '6.90e-71', '2.00e-22', '1.10e-142']","[0.996, 0.92, 0.888, 0.761, 0.83]","[0.621, 0.954, 0.991, 0.754, 1.0]",-1,,ERS11702747.bin.r.1,known,1759596,92.74,0.27,ERS11702747,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702747-megahit_001,25,
NODE_376_length_4138_cov_18.6,NODE_376_length_4138_cov_18.6@1,1,4136,III-A,80%,"",III-A,13,"['Csx1_20_CAS-III', 'Csm5gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_2_CAS-III-A']","[1, 2, 3, 4, 5]","['5.10e-50', '2.10e-38', '1.80e-56', '2.10e-73', '2.10e-27']","[0.948, 0.979, 0.968, 0.885, 0.908]","[0.728, 0.997, 0.99, 0.991, 0.831]",-1,,ERS11702748.bin.r.1,known,1639957,92.18,1.6,ERS11702748,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702748-megahit_001,25,
NODE_33_length_31089_cov_63.9,NODE_33_length_31089_cov_63.9@2,18427,30533,I-B,100%,100%,I-B,22,"['Cas3_0_CAS-I', 'Cas6_7_CAS-I-II-III-IV-V-VI', 'Cas8b1_13_CAS-I-B', 'Cas7_2_IB', 'Cas5_7_CAS-I-B', 'Cas3_1_CAS-I', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']","[16, 19, 20, 21, 22, 23, 24, 25, 26]","['3.90e-22', '1.30e-40', '1.20e-108', '2.80e-89', '9.60e-47', '5.00e-53', '9.10e-48', '8.40e-133', '1.30e-26']","[0.421, 0.939, 0.973, 0.919, 0.987, 0.802, 0.952, 0.975, 0.874]","[0.907, 0.975, 0.997, 0.997, 0.979, 0.768, 0.994, 0.997, 0.987]",1,1,ERS11702749.bin.r.3,known,1839160,100,0,ERS11702749,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702749-megahit_003,25,
NODE_216_length_6350_cov_55.8,NODE_216_length_6350_cov_55.8@1,1,6282,I-B,100%,0%,I-B,14,"['Cas3_1_CAS-I', 'Cas5_7_CAS-I-B', 'Cas7b_0_CAS-I-B-I-C', 'Cas8b1_4_CAS-I-B', 'Cas6_3_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4, 5]","['5.80e-27', '7.90e-19', '8.20e-39', '7.60e-204', '2.30e-83']","[0.578, 0.539, 0.76, 0.988, 0.98]","[0.416, 0.64, 0.941, 0.994, 0.992]",-1,,ERS11702749.bin.r.3,known,1839160,100,0,ERS11702749,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702749-megahit_003,25,
NODE_298_length_5042_cov_18.5,NODE_298_length_5042_cov_18.5@1,3,4979,I-B,80%,0%,I-B,12,"['Cas8b1_4_CAS-I-B', 'Cas7b_0_CAS-I-B-I-C', 'Cas5_7_CAS-I-B', 'Cas3_1_CAS-I']","[1, 2, 3, 4]","['8.40e-170', '9.40e-39', '9.00e-19', '2.20e-29']","[0.984, 0.76, 0.539, 0.619]","[0.744, 0.941, 0.64, 0.43]",1,,ERS11702750.bin.r.1,known,1971784,100,0,ERS11702750,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702750-megahit_001,25,
