Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_748_length_14307_cov_6.969969	NODE_748_length_14307_cov_6.969969@1	1	6036	I-C	100%	0%	I-C	14	['Cas7_0_IC', 'Cas8c_1_CAS-I-C', 'Cas5_1_CAS-I-C', 'Cas3_1_CAS-I']	[1, 2, 3, 6]	['2.20e-83', '2.60e-166', '1.70e-87', '5.60e-56']	[0.969, 0.979, 0.942, 0.435]	[0.68, 1.0, 1.0, 0.46]	-1		modern_calculus	industrial	ERS3395764.bin.r.1	known
NODE_886_length_12013_cov_7.472236	NODE_886_length_12013_cov_7.472236@1	1038	12011	III-A	100%		III-A	19	['Cas2_11_CAS-I-II-III-IV-V-VI', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Can2_Card1_17_CAS-III', 'Csx16_3_CAS-I-III', 'Cas6_10_CAS-I-II-III-IV-V-VI', 'Csm5gr7_3_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A-III-D', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A', 'Cas10_0_IIIA']	[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]	['8.10e-15', '2.30e-69', '3.10e-15', '1.70e-75', '9.90e-29', '5.70e-88', '8.30e-25', '8.60e-108', '3.70e-69', '1.80e-16', '3.30e-134']	[0.782, 0.913, 0.723, 0.984, 0.929, 0.965, 0.401, 0.965, 0.925, 0.699, 0.802]	[0.958, 0.991, 0.861, 0.997, 0.989, 0.978, 0.512, 0.987, 0.972, 0.909, 0.865]	-1		modern_calculus	industrial	ERS3395764.bin.r.1	known
NODE_252_length_35352_cov_125.950307	NODE_252_length_35352_cov_125.950307@2	28661	35284	I-C	100%	33%	I-C	15	['Cas3_1_CAS-I', 'Cas5_1_CAS-I-C', 'Cas8c_0_IC', 'Cas7_1_CAS-I-C', 'Cas4_0_I-II']	[29, 30, 31, 32, 33]	['9.40e-54', '7.80e-80', '2.60e-150', '6.80e-117', '1.50e-40']	[0.473, 0.935, 0.977, 0.944, 0.789]	[0.554, 0.99, 0.995, 0.968, 1.0]	1	1	modern_calculus	industrial	ERS3395764.bin.r.10	known
NODE_10_length_297253_cov_46.124442	NODE_10_length_297253_cov_46.124442@3	251442	260625	I-E	100%	100%	I-E	26	['Cas2_1_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas5_0_IE', 'Cas7_1_CAS-I-E', 'Cse2gr11_7_CAS-I-E', 'Cas8e_1_CAS-I-E', 'Cas3_1_CAS-I']	[223, 224, 225, 226, 227, 228, 229, 231]	['2.90e-28', '8.30e-117', '1.70e-45', '5.90e-52', '8.30e-103', '2.90e-16', '6.80e-110', '1.90e-77']	[0.904, 0.885, 0.974, 0.698, 0.933, 0.767, 0.896, 0.47]	[0.828, 0.974, 1.0, 0.778, 0.922, 0.458, 1.0, 0.528]	-1	-1	modern_calculus	industrial	ERS3395764.bin.r.14	known
NODE_141_length_52947_cov_109.989961	NODE_141_length_52947_cov_109.989961@1	49301	52945	I-C	25%	100%	I-C	11	['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IC', 'Cas4_0_I-II', 'Cas7_1_CAS-I-C']	[42, 43, 45, 46]	['1.30e-26', '7.30e-150', '4.90e-42', '3.40e-90']	[0.847, 0.988, 0.829, 0.988]	[0.987, 1.0, 1.0, 0.842]	-1	-1	modern_calculus	industrial	ERS3395764.bin.r.15	known
NODE_111_length_58904_cov_108.454417	NODE_111_length_58904_cov_108.454417@3	52470	58903	I-C	75%	0%	I-C	10	['Cas3_1_CAS-I', 'Cas5_1_CAS-I-C', 'Cas8c_1_CAS-I-C']	[38, 42, 43]	['1.60e-60', '1.80e-87', '1.50e-131']	[0.449, 0.942, 0.996]	[0.485, 1.0, 0.802]	1		modern_calculus	industrial	ERS3395764.bin.r.15	known
NODE_5666_length_2420_cov_1.785624	NODE_5666_length_2420_cov_1.785624@1	1	2420	III-D	33%		III-D	6	['Cas11_0_CAS-III-D', 'Csm3gr7_12_CAS-III-A-III-D', 'Cmr3gr5_4_CAS-III-B-III-C']	[1, 2, 3]	['6.70e-13', '3.80e-21', '1.00e-08']	[0.899, 0.662, 0.608]	[0.49, 1.0, 0.5]	-1		modern_calculus	industrial	ERS3395764.bin.r.16	known
NODE_1698_length_6668_cov_2.802510	NODE_1698_length_6668_cov_2.802510@1	3	6666	I-F	60%	100%	I-F	12.1	['Csy2_0_IF', 'Cas8f_7_CAS-I-F', 'Cas3-Cas2_0_CAS-I-F', 'Cas1_0_IF']	[1, 2, 3, 4]	['1.40e-96', '1.50e-112', '0.00e+00', '8.90e-139']	[0.946, 0.836, 0.993, 0.961]	[0.997, 1.0, 0.999, 0.993]	-1	-1	modern_calculus	industrial	ERS3395764.bin.r.18	known
NODE_75_length_73206_cov_6.512160	NODE_75_length_73206_cov_6.512160@3	34758	43797	I-E	100%	100%	I-E	26	['Cas3_1_CAS-I', 'Cas8e_4_CAS-I-E', 'Cse2gr11_5_CAS-I-E', 'Cas7_1_CAS-I-E', 'Cas5_1_CAS-I-E', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas2_10_CAS-I-II-III-IV-V-VI']	[25, 26, 27, 28, 29, 30, 31, 32]	['1.90e-61', '6.00e-108', '2.70e-40', '4.80e-125', '2.80e-44', '9.30e-55', '1.60e-103', '5.10e-30']	[0.42, 0.87, 0.908, 0.94, 0.662, 0.973, 0.831, 0.746]	[0.472, 0.996, 0.91, 0.997, 0.994, 1.0, 0.985, 0.988]	1	1	modern_calculus	industrial	ERS3395764.bin.r.19	known
NODE_2864_length_4184_cov_3.055461	NODE_2864_length_4184_cov_3.055461@1	1	4184	III-D	33%		III-D	8	['Csm3gr7_2_CAS-III-A-III-D', 'Cas10_0_III', 'Mem_04_0_CAS-III-D', 'Cas6_0_CAS-III-D']	[1, 2, 3, 4]	['2.40e-06', '2.10e-95', '3.90e-61', '7.20e-97']	[0.542, 0.759, 0.851, 0.994]	[0.856, 0.993, 0.826, 0.649]	-1		modern_calculus	industrial	ERS3395764.bin.r.20	known
