sample_binID	binner	pass.MIMAG_medium	pass.MIMAG_high	pass.GUNC	pass.Polyrate	GTDBlineage	SGBtype	SGBlineage	checkM.genome_size	checkM.GC	GUNC.n_contigs	checkM.N50_contigs	checkM.coding_density	meanCov	breadth	checkM.lineage	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	checkM2.completeness	checkM2.contamination	GUNC.divergence_level	GUNC.CSS	GUNC.contamination_portion	polyrate
ERS11702721-megahit_001	binsA	False	False	False	False	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__	uSGB_17523	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17523|t__SGB17523	709698	63.8	421	1648	87.69	12.3177	0.9976	k__Bacteria (UID209)	35.98	0.31	0.0	27.52	1.38	order	0.56	0.19	0.0089
ERS11702721-megahit_002	binsBC	True	False	False	True	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	kSGB_8831	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis|t__SGB8831	1678256	61.6	543	3316	88.76	13.1467	0.9985	c__Deltaproteobacteria (UID3217)	79.85	3.66	25.0	66.35	0.55	family	0.66	0.15	0.0002
ERS11702721-megahit_003	binsABC	True	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAJPNN01;s__CAJPNN01 sp905372035	uSGB_3946	k__Bacteria|p__Firmicutes|c__CFGB1207|o__OFGB1207|f__FGB1207|g__GGB2964|s__GGB2964_SGB3946|t__SGB3946	830468	38.7	323	2636	90.36	9.0734	0.9982	o__Clostridiales (UID1120)	50.39	1.42	0.0	52.14	0.04	family	0.19	0.43	0.0005
ERS11702722-megahit_001	binsA	True	False	True	True	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A oralis	kSGB_720	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis|t__SGB720	1336293	29.3	595	2473	92.24	8.3379	0.9982	p__Euryarchaeota (UID3)	83.39	2.0	0.0	77.27	0.34	kingdom	0.0	0.0	0.0003
ERS11702722-megahit_002	binsA	True	True	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__	kSGB_24947	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_500|t__SGB24947	1525491	42.7	72	44017	87.28	31.5458	0.9994	o__Clostridiales (UID1120)	93.19	0.0	0.0	97.37	0.38	class	0.11	0.08	0.0001
ERS11702722-megahit_003	binsC	False	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA3738;s__	kSGB_6627	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_nodatum|t__SGB6627	647969	41.5	385	1717	89.61	7.6439	0.9978	o__Clostridiales (UID1120)	48.83	1.0	25.0	54.13	0.12	genus	0.12	0.66	0.0004
ERS11702722-megahit_004	binsAC	True	False	True	True	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__	uSGB_17523	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17523|t__SGB17523	1135309	58.0	348	4016	91.28	9.3051	0.9988	k__Bacteria (UID209)	58.47	0.0	0.0	56.26	0.33	order	0.28	0.05	0.0002
ERS11702723-megahit_001	binsA	True	False	True	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea;s__Flexilinea sp001717545	kSGB_17621	k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified|s__Anaerolineaceae_bacterium_oral_taxon_439|t__SGB17621	1766632	57.3	858	2229	91.41	7.0351	0.9968	k__Bacteria (UID1452)	63.14	4.55	20.0	77.87	1.41	kingdom	0.0	0.0	0.0017
ERS11702723-megahit_002	binsC	False	False	True	True	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis	kSGB_15877	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis|t__SGB15877	1460286	71.0	867	1709	87.34	13.327	0.997	f__Actinomycetaceae (UID1531)	44.97	0.73	40.0	44.53	0.49	kingdom	0.0	0.0	0.0042
ERS11702723-megahit_003	binsBC	True	True	True	True	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium orale	kSGB_22210	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfomicrobiaceae|g__Desulfomicrobium|s__Desulfomicrobium_orale|t__SGB22210	2426996	60.2	151	23929	90.32	23.6205	0.9997	c__Deltaproteobacteria (UID3217)	96.73	1.26	0.0	98.56	0.63	kingdom	0.0	0.0	0.0001
ERS11702723-megahit_004	binsA	True	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__	kSGB_6631	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella|s__Johnsonella_ignava|t__SGB6631	1644836	42.5	58	82990	87.01	30.755	0.9992	o__Clostridiales (UID1120)	94.33	5.2	100.0	98.05	9.33	family	0.07	0.64	0.0001
ERS11702723-megahit_005	binsABC	True	False	True	True	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__	uSGB_17524	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17524|t__SGB17524	1155816	58.0	138	10078	90.9	13.492	0.999	k__Bacteria (UID209)	66.1	0.0	0.0	56.19	0.02	order	0.12	0.06	0.0001
ERS11702723-megahit_006	binsAC	True	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	kSGB_6627	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_nodatum|t__SGB6627	898292	40.6	430	2263	89.46	8.4752	0.9979	o__Clostridiales (UID1120)	73.69	1.09	33.33	81.71	2.53	family	0.1	0.51	0.0004
ERS11702724-megahit_001	binsC	True	False	True	True	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A oralis	kSGB_720	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis|t__SGB720	1077684	29.6	615	1829	93.01	7.0571	0.9975	p__Euryarchaeota (UID3)	64.49	0.8	0.0	61.16	0.12	kingdom	0.0	0.0	0.0006
ERS11702724-megahit_003	binsA	True	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__	kSGB_24947	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_500|t__SGB24947	1264540	42.5	41	100690	87.01	45.55	0.9996	o__Clostridiales (UID1120)	87.23	0.0	0.0	83.79	0.15	family	0.04	0.61	0.0001
ERS11702724-megahit_004	binsAC	True	False	True	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea;s__Flexilinea sp001717545	kSGB_17621	k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified|s__Anaerolineaceae_bacterium_oral_taxon_439|t__SGB17621	2155792	56.9	808	3176	91.35	7.4429	0.9964	k__Bacteria (UID1452)	77.42	4.55	20.0	81.58	3.01	kingdom	0.0	0.0	0.0
ERS11702724-megahit_005	binsC	True	False	True	True	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__	uSGB_26545	k__Bacteria|p__Synergistetes|c__CFGB6188|o__OFGB6188|f__FGB6188|g__GGB17919|s__GGB17919_SGB26545|t__SGB26545	1192956	57.5	265	6350	90.27	11.3072	0.9989	k__Bacteria (UID209)	66.02	0.15	100.0	46.37	0.41	order	0.18	0.07	0.0001
ERS11702724-megahit_006	binsC	True	True	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	kSGB_6627	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_nodatum|t__SGB6627	1326647	39.6	217	8728	87.61	14.5009	0.999	o__Clostridiales (UID1120)	97.16	0.71	0.0	94.59	0.39	class	0.11	0.07	0.0002
ERS11702724-megahit_007	binsB	True	False	True	True	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium orale	kSGB_22210	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfomicrobiaceae|g__Desulfomicrobium|s__Desulfomicrobium_orale|t__SGB22210	2219773	60.6	482	5469	90.35	14.5477	0.999	c__Deltaproteobacteria (UID3217)	87.28	1.49	66.67	82.37	1.32	kingdom	0.0	0.0	0.0001
ERS11702725-megahit_001	binsAC	True	False	True	True	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__	uSGB_17523	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17523|t__SGB17523	1627806	63.7	239	9555	87.99	17.0105	0.9991	k__Bacteria (UID209)	82.13	0.0	0.0	75.29	0.17	order	0.32	0.17	0.0025
ERS11702725-megahit_002	binsAC	True	False	True	True	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosynbacteraceae;g__Nanosynbacter;s__	uSGB_19909	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__GGB12798|s__GGB12798_SGB19909|t__SGB19909	932725	47.6	79	20887	91.52	14.3181	0.9994	k__Bacteria (UID1453)	62.82	1.71	0.0	95.86	1.66	order	0.39	0.06	0.0001
ERS11702725-megahit_003	binsAB	True	True	False	True	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	kSGB_8831	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis|t__SGB8831	2203466	61.2	231	13926	88.58	14.9776	0.9993	c__Deltaproteobacteria (UID3217)	92.52	1.79	50.0	89.9	0.2	family	0.49	0.15	0.0001
ERS11702725-megahit_004	binsB	True	False	True	True	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp001262075	kSGB_12664	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ottowia|s__Ottowia_sp_Marseille_P4747|t__SGB12664	2060245	64.1	605	3688	82.62	12.685	0.9985	o__Burkholderiales (UID4000)	79.4	1.7	33.33	80.41	0.41	kingdom	0.0	0.0	0.0019
ERS11702725-megahit_005	binsAC	True	False	True	True	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brooklawnia;s__	uSGB_61425	k__Bacteria|p__Actinobacteria|c__CFGB23278|o__OFGB23278|f__FGB23278|g__GGB44048|s__GGB44048_SGB61425|t__SGB61425	1257925	65.3	716	1791	89.65	6.6489	0.9972	o__Actinomycetales (UID1530)	55.29	0.61	0.0	49.27	1.64	order	0.27	0.14	0.0002
ERS11702726-megahit_001	binsA	True	False	True	True	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp905372095	kSGB_19883	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified|s__Candidatus_Saccharibacteria_bacterium_TM7_ANC_38_39_G1_1|t__SGB19883	781293	48.3	255	4088	91.52	21.7852	0.9984	k__Bacteria (UID1453)	51.25	5.89	83.33	82.82	9.11	order	0.27	0.05	0.0026
ERS11702726-megahit_002	binsA	True	False	True	True	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__DUUL01;g__DUUL01;s__	uSGB_65541	k__Bacteria|p__Firmicutes|c__CFGB42858|o__OFGB42858|f__FGB42858|g__GGB47576|s__GGB47576_SGB65541|t__SGB65541	778939	36.1	50	22985	88.92	23.1294	0.9997	k__Bacteria (UID1452)	65.74	0.0	0.0	96.43	0.0	phylum	0.01	0.24	0.0
ERS11702726-megahit_003	binsC	True	True	False	True	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	kSGB_8831	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis|t__SGB8831	2301594	61.0	362	8851	88.2	15.6877	0.9988	c__Deltaproteobacteria (UID3217)	94.23	2.48	57.14	93.59	0.91	family	0.55	0.16	0.0001
ERS11702726-megahit_004	binsAC	True	True	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Hornefia;s__Hornefia minuta	kSGB_3932	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_minutum|t__SGB3932	1653093	46.1	87	31563	88.92	19.7391	0.9997	o__Clostridiales (UID1120)	93.97	0.35	0.0	89.39	0.11	genus	0.2	0.25	0.0001
ERS11702726-megahit_005	binsBC	True	False	False	False	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__	uSGB_17523	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17523|t__SGB17523	968445	64.1	320	3194	89.27	15.9598	0.9986	k__Bacteria (UID209)	58.91	1.0	50.0	46.7	0.24	order	0.46	0.16	0.0069
ERS11702726-megahit_006	binsAC	True	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__;s__	uSGB_59340	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia_SGB59340|t__SGB59340	747909	32.4	227	4021	93.54	9.7167	0.9989	o__Clostridiales (UID1125)	67.66	0.11	50.0	71.84	0.17	class	0.24	0.49	0.0003
ERS11702727-megahit_001	binsA	True	True	False	True	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	kSGB_8831	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis|t__SGB8831	2262071	61.8	356	9186	88.89	16.0252	0.999	c__Deltaproteobacteria (UID3217)	96.03	0.07	0.0	99.88	0.76	family	0.58	0.16	0.0028
ERS11702727-megahit_003	binsAC	True	True	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__	kSGB_3932	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_minutum|t__SGB3932	1480304	42.3	92	40798	87.6	22.7054	0.9996	o__Clostridiales (UID1120)	92.2	0.0	0.0	95.13	0.18	class	0.14	0.1	0.0002
