Bin	Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools	Oral_site
ERS11702722.bin.r.1	CCPECK_00435	-	GT2(5-144)	GT2	GT2	N	3	AC
ERS11702722.bin.r.1	CCPECK_00460	-	AA3(2-400)	-	-	N	1	AC
ERS11702722.bin.r.1	CCPECK_00800	-	GT2(5-137)	GT2	-	N	2	AC
ERS11702722.bin.r.1	CCPECK_01385	-|-	GT2(4-102)	GT2+GT1_e585	GT1+GT2	N	3	AC
ERS11702722.bin.r.1	CCPECK_02045	-	CE1(11-257)	-	-	N	1	AC
ERS11702722.bin.r.1	CCPECK_02495	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702722.bin.r.1	CCPECK_02620	-	GT2(19-149)	GT2	GT2	N	3	AC
ERS11702722.bin.r.1	CCPECK_02740	-	GH154(27-379)	GH154_e17	GH154	N	3	AC
ERS11702722.bin.r.1	CCPECK_04695	-	GT83(11-350)	-	-	N	1	AC
ERS11702722.bin.r.1	CCPECK_01695	-	-	GT28_e129	GT28	N	2	AC
ERS11702722.bin.r.1	CCPECK_00010	-	-	-	GH130	N	1	AC
ERS11702722.bin.r.1	CCPECK_02035	-	-	-	CBM50	N	1	AC
ERS11702722.bin.r.1	CCPECK_02350	-	-	-	GT4	N	1	AC
ERS11702722.bin.r.1	CCPECK_03660	-	-	-	GT2	N	1	AC
ERS11702722.bin.r.1	CCPECK_05105	-	-	-	GT2	N	1	AC
ERS11702722.bin.r.1	CCPECK_05150	-	-	-	GT2	N	1	AC
ERS11702722.bin.r.1	CCPECK_05885	-	-	-	GT66	N	1	AC
ERS11702724.bin.r.1	MFJEOL_00475	-	GT2(10-153)	GT2	GT2	N	3	AC
ERS11702724.bin.r.1	MFJEOL_00960	-	CE1(11-257)	-	-	N	1	AC
ERS11702724.bin.r.1	MFJEOL_02665	-	GH154(17-146)	GH154_e17	-	N	2	AC
ERS11702724.bin.r.1	MFJEOL_03465	-	GT2(19-149)	GT2	GT2	N	3	AC
ERS11702724.bin.r.1	MFJEOL_04045	-	AA3(2-400)	-	-	N	1	AC
ERS11702724.bin.r.1	MFJEOL_05010	-	GT2(5-168)	GT2	GT2	N	3	AC
ERS11702724.bin.r.1	MFJEOL_01225	-	-	GT28_e129	GT28	N	2	AC
ERS11702724.bin.r.1	MFJEOL_00755	-	-	-	CBM50	N	1	AC
ERS11702724.bin.r.1	MFJEOL_00815	-	-	-	GT0	N	1	AC
ERS11702724.bin.r.1	MFJEOL_01080	-	-	-	GT4	N	1	AC
ERS11702724.bin.r.1	MFJEOL_01245	-	-	-	GT2	N	1	AC
ERS11702724.bin.r.1	MFJEOL_01255	-	-	-	GT2	N	1	AC
ERS11702724.bin.r.1	MFJEOL_04105	-	-	-	GT2	N	1	AC
ERS11702724.bin.r.1	MFJEOL_04540	-	-	-	GT2	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_01630	-	GT2(6-151)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_01820	-	GT4(213-333)	GT4_e2886	GT4	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02045	-	GT66(41-770)	GT66_e12	GT66	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02185	-	AA3(2-400)	-	-	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_02375	-	GT2(2-230)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02380	-	GT2(4-176)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02385	-	GT2(7-106)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02440	-	GH154(28-382)	GH154_e17	GH154	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02475	-	GT81(19-243)	GT81_e6	GT81	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02535	-	GT2(5-123)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02610	-	GT2(15-145)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_02730	-	CE1(11-256)	-	-	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_03060	-	GT4(631-766)	GT4_e2504	GT4	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_03090	-	GT2(8-135)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_03100	-	GT2(25-147)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_03105	2.4.1.-:1	GT2(6-133)	GT2	-	N	2	AC
ERS11702729.bin.r.3	ELLGCJ_04770	-	GT4(206-359)	GT4_e1609	GT4	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_05045	-	GT2(5-168)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_05170	-|-	GT2(4-110)	GT2+GT1_e585	GT1+GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_06175	-	GT4(189-335)	GT4_e796	GT4	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_06705	-	GT2(7-132)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_06710	-	GT2(4-176)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_06715	-	GT2(2-230)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_07470	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702729.bin.r.3	ELLGCJ_08005	-	GT2(5-144)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_08015	-	GT2(10-172)	GT2	-	N	2	AC
ERS11702729.bin.r.3	ELLGCJ_09195	-	GT2(10-139)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_09930	-	GT2(5-124)	GT2	GT2	N	3	AC
ERS11702729.bin.r.3	ELLGCJ_04785	-	-	GT4_e540	GT4	N	2	AC
ERS11702729.bin.r.3	ELLGCJ_06365	-	-	GT28_e129	GT28	N	2	AC
ERS11702729.bin.r.3	ELLGCJ_00230	-	-	-	GT4	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_00960	-	-	-	GT7	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_01020	-	-	-	CBM50	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_02075	-	-	-	GH0	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_02405	-	-	-	GT2	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_02415	-	-	-	GT2	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_03075	-	-	-	GT2	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_03115	-	-	-	CBM50	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_03520	-	-	-	CBM50	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_04570	-	-	-	GT4	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_04740	-	-	-	GT0	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_04750	-	-	-	GT97	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_05230	-	-	-	GH130	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_08010	-	-	-	GT2	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_08145	-	-	-	GT2	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_09190	-	-	-	GT2	N	1	AC
ERS11702729.bin.r.3	ELLGCJ_09715	-	-	-	GT2	N	1	AC
ERS11702731.bin.r.1	FINDPP_00115	-	GH154(28-382)	GH154_e17	GH154	N	3	AC
ERS11702731.bin.r.1	FINDPP_00880	-	AA3(9-407)	-	-	N	1	AC
ERS11702731.bin.r.1	FINDPP_00955	-	GT4(189-335)	GT4_e796	GT4	N	3	AC
ERS11702731.bin.r.1	FINDPP_02150	-	CE1(11-256)	-	-	N	1	AC
ERS11702731.bin.r.1	FINDPP_02340	-	GT66(41-770)	GT66_e12	GT66	N	3	AC
ERS11702731.bin.r.1	FINDPP_02475	-	GT2(5-123)	GT2	GT2	N	3	AC
ERS11702731.bin.r.1	FINDPP_04210	-	GT2(2-230)	GT2	GT2	N	3	AC
ERS11702731.bin.r.1	FINDPP_04655	-	GT83(14-349)	-	-	N	1	AC
ERS11702731.bin.r.1	FINDPP_05470	-	GT4(213-333)	GT4_e2886	GT4	N	3	AC
ERS11702731.bin.r.1	FINDPP_06025	-	GT2(5-124)	GT2	GT2	N	3	AC
ERS11702731.bin.r.1	FINDPP_05595	-	-	GT28_e129	GT28	N	2	AC
ERS11702731.bin.r.1	FINDPP_00145	-	-	-	GT81	N	1	AC
ERS11702731.bin.r.1	FINDPP_00375	-	-	-	GT7	N	1	AC
ERS11702731.bin.r.1	FINDPP_00835	-	-	-	GT4	N	1	AC
ERS11702731.bin.r.1	FINDPP_02470	-	-	-	CBM50	N	1	AC
ERS11702731.bin.r.1	FINDPP_05265	-	-	-	GT2	N	1	AC
ERS11702732.bin.r.6	HJCKGP_00810	-	GH154(28-382)	GH154_e17	GH154	N	3	AC
ERS11702732.bin.r.6	HJCKGP_00845	-	GT81(19-243)	GT81_e6	GT81	N	3	AC
ERS11702732.bin.r.6	HJCKGP_02815	-	AA3(9-407)	-	-	N	1	AC
ERS11702732.bin.r.6	HJCKGP_03075	-	GT4(189-335)	GT4_e796	GT4	N	3	AC
ERS11702732.bin.r.6	HJCKGP_03905	-	GT2(5-123)	GT2	GT2	N	3	AC
ERS11702732.bin.r.6	HJCKGP_04315	-	GT2(15-145)	GT2	GT2	N	3	AC
ERS11702732.bin.r.6	HJCKGP_04370	-	GT2(2-113)	GT2	GT2	N	3	AC
ERS11702732.bin.r.6	HJCKGP_04415	-	GT2(7-106)	GT2	GT2	N	3	AC
ERS11702732.bin.r.6	HJCKGP_04445	-	GT4(631-756)	GT4_e2504	GT4	N	3	AC
ERS11702732.bin.r.6	HJCKGP_05660	-	GT66(1-715)	GT66_e12	GT66	N	3	AC
ERS11702732.bin.r.6	HJCKGP_05845	-	GT2(2-230)	GT2	GT2	N	3	AC
ERS11702732.bin.r.6	HJCKGP_05965	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702732.bin.r.6	HJCKGP_06700	2.4.1.-:1	GT2(6-133)	GT2	-	N	2	AC
ERS11702732.bin.r.6	HJCKGP_08120	-	GT2(4-147)	GT2	-	N	2	AC
ERS11702732.bin.r.6	HJCKGP_08300	-	GT4(213-333)	GT4_e2886	GT4	N	3	AC
ERS11702732.bin.r.6	HJCKGP_02785	-|-	-	GT2+GT1_e585	GT1+GT2	N	2	AC
ERS11702732.bin.r.6	HJCKGP_04595	-	-	GT28_e129	GT28	N	2	AC
ERS11702732.bin.r.6	HJCKGP_06655	-	-	GT4_e540	GT4	N	2	AC
ERS11702732.bin.r.6	HJCKGP_00505	-	-	-	GT7	N	1	AC
ERS11702732.bin.r.6	HJCKGP_00590	-	-	-	CBM50	N	1	AC
ERS11702732.bin.r.6	HJCKGP_01505	-	-	-	GT2	N	1	AC
ERS11702732.bin.r.6	HJCKGP_02210	-	-	-	GT4	N	1	AC
ERS11702732.bin.r.6	HJCKGP_02875	-	-	-	GH0	N	1	AC
ERS11702732.bin.r.6	HJCKGP_03280	-	-	-	GT2	N	1	AC
ERS11702732.bin.r.6	HJCKGP_03380	-	-	-	GT2	N	1	AC
ERS11702732.bin.r.6	HJCKGP_03390	-	-	-	GT2	N	1	AC
ERS11702732.bin.r.6	HJCKGP_03845	-	-	-	GT4	N	1	AC
ERS11702732.bin.r.6	HJCKGP_04115	-	-	-	GT0	N	1	AC
ERS11702732.bin.r.6	HJCKGP_04830	-	-	-	CBM50	N	1	AC
ERS11702732.bin.r.6	HJCKGP_06695	-	-	-	GT2	N	1	AC
ERS11702732.bin.r.6	HJCKGP_06915	-	-	-	GT2	N	1	AC
ERS11702732.bin.r.6	HJCKGP_07715	-	-	-	GT2	N	1	AC
ERS11702739.bin.r.1	EGPCLH_00805	-	GT66(11-715)	GT66_e12	GT66	N	3	AC
ERS11702739.bin.r.1	EGPCLH_00855	-	GH154(27-379)	GH154_e17	GH154	N	3	AC
ERS11702739.bin.r.1	EGPCLH_01035	-	GT4(184-331)	GT4_e796	GT4	N	3	AC
ERS11702739.bin.r.1	EGPCLH_01925	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702739.bin.r.1	EGPCLH_02320	-	GT2(6-136)	GT2	GT2	N	3	AC
ERS11702739.bin.r.1	EGPCLH_03880	-	GT2(4-176)	GT2	GT2	N	3	AC
ERS11702739.bin.r.1	EGPCLH_01395	-	-	GT28_e129	GT28	N	2	AC
ERS11702739.bin.r.1	EGPCLH_03015	-	-	GT1_e585	GT1+GT2	N	2	AC
ERS11702739.bin.r.1	EGPCLH_02200	-	-	-	GH130	N	1	AC
ERS11702739.bin.r.1	EGPCLH_02370	-	-	-	GT0	N	1	AC
ERS11702739.bin.r.1	EGPCLH_04040	-	-	-	GT2	N	1	AC
ERS11702742.bin.r.1	PGOJNC_01845	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702742.bin.r.1	PGOJNC_01935	-|-	GT2(4-102)	GT2+GT1_e585	GT1+GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_02275	-	CE1(11-257)	-	-	N	1	AC
ERS11702742.bin.r.1	PGOJNC_02820	-	GT2(19-149)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_03775	-	GT4(184-331)	GT4_e796	GT4	N	3	AC
ERS11702742.bin.r.1	PGOJNC_04040	-	GT81(18-243)	GT81_e6	GT81	N	3	AC
ERS11702742.bin.r.1	PGOJNC_04310	-	GT2(4-126)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_04315	-	GT2(4-176)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_04320	-	GT2(7-124)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_04710	-	GT2(5-137)	GT2	-	N	2	AC
ERS11702742.bin.r.1	PGOJNC_04725	-	GT2(7-164)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_04740	-	GT2(5-144)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_05660	-	GT2(5-149)	GT2	-	N	2	AC
ERS11702742.bin.r.1	PGOJNC_05675	-	GT2(5-132)	GT2	-	N	2	AC
ERS11702742.bin.r.1	PGOJNC_05680	-	GT2(5-134)	GT2	-	N	2	AC
ERS11702742.bin.r.1	PGOJNC_05685	-	GT2(5-156)	GT2	-	N	2	AC
ERS11702742.bin.r.1	PGOJNC_05690	-	GT2(5-157)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_05700	-	GT2(2-99)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_06460	-	AA3(2-400)	-	-	N	1	AC
ERS11702742.bin.r.1	PGOJNC_06850	-	GT83(65-424)	-	-	N	1	AC
ERS11702742.bin.r.1	PGOJNC_07025	-	GT2(5-124)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_07030	-	GT2(19-142)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_07160	-	GH154(27-379)	GH154_e17	GH154	N	3	AC
ERS11702742.bin.r.1	PGOJNC_07770	-	GT2(18-152)	GT2	-	N	2	AC
ERS11702742.bin.r.1	PGOJNC_08125	-	GT66(22-794)	GT66_e12	GT66	N	3	AC
ERS11702742.bin.r.1	PGOJNC_08145	-	GT2(6-136)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_08445	-	GT2(7-144)	GT2	GT2	N	3	AC
