Bin	total_snps	Cluster
CMC018.B.bin.r.92	457	4
CMC022.B.bin.r.58	431	4
ERS11702722-megahit_001	592	9
ERS11702724-megahit_001	401	9
ERS11702739-megahit_001	610	9
ERS11702742-megahit_001	623	7
ERS11702746-megahit_001	589	8
ERS11702747-megahit_001	617	7
ERS11702748-megahit_001	610	8
ERS11702749-megahit_003	667	8
ERS11702750-megahit_001	653	8
ERS11702751-megahit_004	756	9
ERS11702754-megahit_001	637	7
ERS11702757-megahit_001	1196	2
ERS11702758-megahit_001	618	7
ERS11702760-megahit_001	395	7
ERS11702762-megahit_004	709	8
ERS11702763-megahit_001	717	8
ERS11702765-megahit_003	463	8
ERS11702766-megahit_002	502	8
ERS11702767-megahit_004	614	7
ERS11702769-megahit_005	774	9
ERS11702770-megahit_001	615	7
ERS11702772-megahit_001	708	9
ERS11702774-megahit_009	686	9
ERS11702775-megahit_001	632	7
ERS11702777-megahit_001	608	7
ERS11702779-megahit_001	640	7
ERS11702780-megahit_009	647	8
ERS11702781-megahit_004	619	7
ERS11702782-megahit_002	447	7
ERS11702783-megahit_006	437	7
ERS11702787-megahit_004	510	7
ERS11702789-megahit_003	605	7
ERS11702790-megahit_002	668	8
ERS11702792-megahit_004	292	8
ERS11702793-megahit_001	594	7
ERS11702795-megahit_002	573	8
ERS11702798-megahit_004	572	7
ERS11702799-megahit_002	354	7
ERS11702801-megahit_002	613	7
ERS11702805-megahit_004	1202	2
ERS11702806-megahit_001	616	7
ERS11702808-megahit_003	627	7
ERS11702809_25.0.refbinned	483	7
ERS11702810-megahit_008	615	7
ERS11702811-megahit_001	497	7
ERS11702812-megahit_007	647	8
ERS11702814-megahit_003	633	7
ERS2985743-megahit_006	668	7
ERS2985744-megahit_003	756	9
ERS2985748-megahit_012	683	4
ERS2985750-megahit_019	742	9
ERS2985751-megahit_004	622	7
ERS2985752-megahit_004	428	7
ERS2985756-megahit_007	751	9
ERS2985759-megahit_006	753	9
ERS2985761-megahit_001	687	8
ERS2985765-megahit_001	320	4
ERS2985766-megahit_003	652	7
ERS2985769-megahit_011	716	8
ERS2985770-megahit_006	627	7
ERS2985773-megahit_005	637	9
ERS2985774-megahit_002	542	9
ERS2985775-megahit_005	643	7
ERS2985776-megahit_006	655	9
ERS2985777-megahit_004	684	4
ERS2985779-megahit_003	685	4
ERS2985780-megahit_001	749	9
ERS2985784-megahit_016	639	9
ERS3774422-megahit_018	881	1
ERS3774474-megahit_002	510	4
ERS6205401-megahit_002	722	1
ERS6256688-megahit_005	859	1
ERSX0004003-megahit_004	1187	2
ERSX0004004-megahit_009	1204	2
ERSX0004007-megahit_002	1189	2
ERSX0004014-megahit_001	1183	2
ERSX0004018-megahit_006	1017	5
ERSX0004024-megahit_003	1107	2
ERSX0004066-megahit_005	649	5
ERSX0004072-megahit_007	867	5
ERSX0004083-megahit_001	875	5
ERSX0004084-megahit_001	836	5
ERSX0004085-megahit_001	865	5
ERSX0004102-megahit_004	858	5
ERSX0004103-megahit_004	868	5
GCF_001639275.1_ASM163927v1_genomic	848	9
SRS15300786-megahit_007	626	6
SRS15300787-megahit_005	711	6
SRS15300788-megahit_004	1031	6
SRS15300790-megahit_001	592	6
SRS15300793-megahit_002	1293	6
SRS15300794-megahit_001	767	3
SRS15300795-megahit_010	784	3
SRS15300800-megahit_005	752	3
SRS15300801-megahit_008	808	3
SRS15300802-megahit_012	1135	6
SRS15300805-megahit_015	983	6
SRS15300807-megahit_006	337	9
SRS15300808-megahit_003	789	3
SRS15300811-megahit_016	1199	6
SRS3078091-megahit_001	716	1
SRS3078158-megahit_001	709	1
SRS3078160-megahit_007	460	7
SRS3078200-megahit_001	644	8
SRS4625245-megahit_024	612	4
SRS6212650-megahit_004	649	1
SRS6212652-megahit_006	860	1
SRS6212654-megahit_005	886	1
SRS6212660_25.0.refbinned	726	1
SRS6212661-megahit_005	876	1
SRS7212790-megahit_001	650	9
SRS7212792-megahit_004	564	9
