Bin	secondary_cluster	primary_cluster	length	completeness	contamination	Secondary_sample_accession	MAG_source	Study	Oral_site	Age_BP	Country	Continent	R1_depth	Paired	Direction	Industrialization	sample_host
ERSX0004093.bin.r.6	1_0	1	1355879	86.59	5.18	ERSX0004093	Ancient	PacificCalculus	anc_calc	1500	Viti_Levu	Oceania	11965933	Yes	Ancient	Ancient	Homo sapiens
ERSX0004094.bin.r.4	2_0	2	1397218	96.12	2.43	ERSX0004094	Ancient	PacificCalculus	anc_calc	1500	Viti_Levu	Oceania	12416490	Yes	Ancient	Ancient	Homo sapiens
SRS11653560.bin.r.1	3_0	3	859962	59.49	1.94	SRS11653560	Ancient	Quagliariello2022	anc_calculus	6500	Italy	Europe	41865082	Yes	Ancient	Ancient	Homo sapiens
ERSX0004092.bin.r.1	4_1	4	2789084	89.73	1.44	ERSX0004092	Ancient	PacificCalculus	anc_calc	1500	Viti_Levu	Oceania	9963579	Yes	Ancient	Ancient	Homo sapiens
ERSX0004093.bin.r.2	4_1	4	2724780	87.18	1.44	ERSX0004093	Ancient	PacificCalculus	anc_calc	1500	Viti_Levu	Oceania	11965933	Yes	Ancient	Ancient	Homo sapiens
CMC038.A.bin.r.8	5_0	5	1146447	63.47	0	CMC038.A	CMC	Velsko2023	supPQ	7	Cameroon	Africa	341259832	Yes	Global South	Non_industrial	Homo sapiens
ERSX0002001.bin.r.39	6_1	6	3367428	75.75	4.75	ERSX0002001	Ancient	RIII2023	anc_calculus	700	Great Britain	Europe	36839314	Yes	Ancient	Ancient	Homo sapiens
SRS473746.bin.r.31	6_1	6	2121504	54.86	0.94	SRS473746	Ancient	Warinner2014	anc_calculus	900	Germany	Europe	279020606	Yes	Ancient	Ancient	Homo sapiens
CMC018.B.bin.r.138	6_2	6	2973786	65.67	0.67	CMC018.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	214191009	Yes	Global South	Non_industrial	Homo sapiens
CMC023.A.bin.r.31	6_2	6	3885530	81.05	2.26	CMC023.A	CMC	Velsko2023	supPQ	7	Cameroon	Africa	240572160	Yes	Global South	Non_industrial	Homo sapiens
CMC035.B.bin.r.50	6_2	6	3143151	68.77	0.04	CMC035.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	323719647	Yes	Global South	Non_industrial	Homo sapiens
CMC038.A.bin.r.61	6_2	6	2296244	54.98	2.08	CMC038.A	CMC	Velsko2023	supPQ	7	Cameroon	Africa	341259832	Yes	Global South	Non_industrial	Homo sapiens
CMC038.B.bin.r.16	6_2	6	3512693	79.76	2.9	CMC038.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	309352455	Yes	Global South	Non_industrial	Homo sapiens
SRS15300795.bin.r.13	6_3	6	2703036	64.65	0.65	SRS15300795	Ancient	Honap2023	anc_calculus	700	USA	North America	53683790	Yes	Ancient	Ancient	Homo sapiens
CMC028.B.bin.r.55	7_0	7	1821000	50.69	0.04	CMC028.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	236813000	Yes	Global South	Non_industrial	Homo sapiens
ERS12516962.bin.r.18	8_0	8	2515028	96.57	0.75	ERS12516962	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	252721172	Yes	Global South	Non_industrial	Homo sapiens
SRS3078198.bin.r.5	9_0	9	1654920	50.54	0	SRS3078198	Ancient	Mann2018	anc_calculus	800	Guadeloupe	Caribbean	39873796	Yes	Ancient	Ancient	Homo sapiens
ERS6256698.bin.r.20	10_1	10	568322	52.28	4.65	ERS6256698	Ancient	Ottoni2021	anc_calculus	7600	Serbia	Europe	51036594	Yes	Ancient	Ancient	Homo sapiens
