project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_host	sample_age	sample_age_doi	community_type	material	archive	archive_sample_accession	archive_project	library_name	strand_type	library_treatment	instrument_model	library_layout	library_strategy	read_count	archive_data_accession	download_links	download_md5s
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473747	PRJEB84038	G12_25_2E5_YaleRun1	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111883		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473747	PRJEB84038	G12_2E5_YaleRun2	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111887		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473746	PRJEB84038	G12_25_2E6_YaleRun1	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111884		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473746	PRJEB84038	G12_2E6_YaleRun2	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111888		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473748	PRJEB84038	G12_25_2E7_YaleRun1	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111885		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473748	PRJEB84038	G12_2E7_YaleRun2	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111889		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473749	PRJEB84038	G12_25_2E8_YaleRun1	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111886		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473749	PRJEB84038	G12_2E8_YaleRun2	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111890		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473747	PRJEB84038	G12_25_2E5_YaleRun1	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111883		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473747	PRJEB84038	G12_2E5_YaleRun2	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111887		
Velsko2025	2025	10.1101/2025.09.21.677585	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	oral	dental calculus	ENA	SRS473746	PRJEB84038	G12_25_2E6_YaleRun1	double	none	Illumina HiSeq2000	PAIRED	WGS		ERR14111884		
