Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	sampleID	out_type
NZ_LWMU01000076.1	NZ_LWMU01000076.1@1	992	10014	III-A	100%		III-A	18	['Cas10_1_CAS-III', 'Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm5gr7_1_CAS-III-A-III-D', 'Csx1_20_CAS-III', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']	[2, 3, 4, 5, 6, 7, 8, 9, 10]	['1.40e-140', '2.20e-27', '2.50e-73', '2.20e-56', '9.30e-38', '3.50e-67', '2.90e-74', '3.90e-16', '5.40e-82']	[0.835, 0.875, 0.885, 0.968, 0.979, 0.916, 0.977, 0.771, 0.854]	[1.0, 0.901, 0.991, 0.99, 0.997, 0.995, 0.991, 0.831, 0.989]	1		GCF_001639275.1_ASM163927v1_genomic	known
NZ_LWMU01000087.1	NZ_LWMU01000087.1@1	1065	1817	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['7.80e-05']	[0.414]	[0.342]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000053.1	NZ_LWMU01000053.1@1	4710	5657	False	0%	33%	II-A	3	['Csn2_7_CAS-II-A']	[7]	['3.80e-04']	[0.389]	[0.349]		-1	GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000057.1	NZ_LWMU01000057.1@1	4903	5508	False	0%		III-A	1	['Csm6_6_CAS-III']	[5]	['4.80e-04']	[0.436]	[0.61]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000059.1	NZ_LWMU01000059.1@1	29601	29966	False	0%	0%	I-B	4	['Cas11b_0_CAS-I-B']	[26]	['1.60e-03']	[0.566]	[0.4]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000048.1	NZ_LWMU01000048.1@1	56339	56731	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[57]	['2.20e-19']	[0.679]	[0.805]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000063.1	NZ_LWMU01000063.1@1	4017	4715	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[5]	['4.60e-07']	[0.33]	[0.669]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000085.1	NZ_LWMU01000085.1@1	8584	9438	False	0%	0%	I-A	1	['Csx3_2_CAS-I-III']	[10]	['1.90e-03']	[0.323]	[0.318]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000071.1	NZ_LWMU01000071.1@1	1861	2343	False	25%		III-F	4	['SSgr11_1_CAS-III-F']	[4]	['2.10e-03']	[0.441]	[0.722]	1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000039.1	NZ_LWMU01000039.1@1	51	533	False	25%		III-F	4	['SSgr11_1_CAS-III-F']	[1]	['1.70e-03']	[0.441]	[0.722]	1		GCF_001639275.1_ASM163927v1_genomic	putative
