Isolates	Level 1	Level 2
CMC001.B.bin.r.58	6	20
CMC010.B.bin.r.43	6	20
CMC017.B.bin.r.90	6	19
CMC018.B.bin.r.71	6	20
CMC022.B.bin.r.112	6	21
CMC023.A.bin.r.36	6	20
CMC024.B.bin.r.1	6	17
CMC025.B.bin.r.89	6	20
CMC026.B.bin.r.75	6	19
CMC035.B.bin.r.73	6	20
CMC038.A.bin.r.94	6	20
CMC038.B.bin.r.113	6	20
ERS11702722.bin.r.2	6	18
ERS11702723.bin.r.4	6	19
ERS11702724.bin.r.3	6	19
ERS11702727.bin.r.3	6	20
ERS11702728.bin.r.2	4	13
ERS11702729.bin.r.1	6	19
ERS11702731.bin.r.10	3	7
ERS11702732.bin.r.2	6	19
ERS11702738.bin.r.6	3	9
ERS11702741.bin.r.6	3	9
ERS11702742.bin.r.2	2	6
ERS11702745.bin.r.1	2	5
ERS11702746.bin.r.2	6	20
ERS11702747.bin.r.4	6	18
ERS11702748.bin.r.4	4	13
ERS11702749.bin.r.1	2	2
ERS11702750.bin.r.2	2	2
ERS11702751.bin.r.3	2	6
ERS11702752.bin.r.1	2	2
ERS11702754.bin.r.3	2	2
ERS11702757.bin.r.2	6	21
ERS11702758.bin.r.4	6	19
ERS11702760.bin.r.4	4	13
ERS11702762.bin.r.1	2	5
ERS11702763.bin.r.2	2	3
ERS11702764.bin.r.2	2	2
ERS11702766.bin.r.1	6	20
ERS11702767.bin.r.1	2	2
ERS11702768.bin.r.3	2	5
ERS11702769.bin.r.4	2	4
ERS11702770.bin.r.4	2	5
ERS11702771.bin.r.4	6	20
ERS11702772.bin.r.2	4	13
ERS11702774.bin.r.6	2	2
ERS11702775.bin.r.6	6	20
ERS11702776.bin.r.2	3	9
ERS11702777.bin.r.3	2	2
ERS11702779.bin.r.3	4	13
ERS11702780.bin.r.5	2	4
ERS11702781.bin.r.3	4	13
ERS11702782.bin.r.1	2	5
ERS11702783.bin.r.2	4	11
ERS11702784.bin.r.4	4	11
ERS11702789.bin.r.6	6	20
ERS11702790.bin.r.1	6	20
ERS11702792.bin.r.3	6	19
ERS11702793.bin.r.5	4	13
ERS11702795.bin.r.3	3	7
ERS11702798.bin.r.3	4	13
ERS11702799.bin.r.1	4	11
ERS11702800.bin.r.3	2	6
ERS11702801.bin.r.6	2	5
ERS11702802.bin.r.1	2	5
ERS11702803.bin.r.1	2	5
ERS11702805.bin.r.1	3	9
ERS11702806.bin.r.2	3	8
ERS11702808.bin.r.1	4	11
ERS11702809.bin.r.4	4	11
ERS11702810.bin.r.5	6	21
ERS11702812.bin.r.1	2	2
ERS11702814.bin.r.2	3	8
ERS2985743.bin.r.17	3	10
ERS2985744.bin.r.1	2	3
ERS2985746.bin.r.1	6	19
ERS2985748.bin.r.1	4	13
ERS2985749.bin.r.10	2	2
ERS2985750.bin.r.6	2	2
ERS2985751.bin.r.3	3	8
ERS2985756.bin.r.9	2	6
ERS2985759.bin.r.9	6	21
ERS2985761.bin.r.8	6	21
ERS2985763.bin.r.4	3	8
ERS2985764.bin.r.1	6	21
ERS2985766.bin.r.2	2	6
ERS2985769.bin.r.4	6	21
ERS2985770.bin.r.2	3	8
ERS2985771.bin.r.3	6	19
ERS2985773.bin.r.2	4	11
ERS2985774.bin.r.4	6	20
ERS2985775.bin.r.8	3	10
ERS2985776.bin.r.12	2	5
ERS2985777.bin.r.1	2	5
ERS2985779.bin.r.2	4	13
ERS2985780.bin.r.3	4	13
ERS2985784.bin.r.6	6	19
ERS3395767.bin.r.9	6	19
ERS3636092.bin.r.8	4	13
ERS3774416.bin.r.1	4	13
ERS3774418.bin.r.2	4	13
ERS3774422.bin.r.21	6	20
ERS3774458.bin.r.5	5	14
ERS3774460.bin.r.6	5	14
ERS3774463.bin.r.5	5	14
ERS3774465.bin.r.2	4	13
ERS3774468.bin.r.2	5	14
ERS3774474.bin.r.1	6	21
ERS3774475.bin.r.2	3	10
ERS3774477.bin.r.1	6	19
ERS3774478.bin.r.2	6	20
ERS3774482.bin.r.3	6	17
ERS3774484.bin.r.4	6	17
ERS3887047.bin.r.3	6	21
ERS4042406.bin.r.4	6	20
ERS4042423.bin.r.10	3	10
ERS4042427.bin.r.2	4	13
ERS4042431.bin.r.1	6	20
ERS4042435.bin.r.12	6	19
ERS6205385.bin.r.3	4	13
ERS6205386.bin.r.4	4	13
ERS6205387.bin.r.5	4	13
ERS6205388.bin.r.5	4	13
ERS6205390.bin.r.1	3	8
ERS6205391.bin.r.9	6	18
ERS6205392.bin.r.2	6	17
ERS6205394.bin.r.1	6	17
ERS6205395.bin.r.1	6	20
ERS6205396.bin.r.1	3	8
ERS6205397.bin.r.1	6	18
ERS6205398.bin.r.8	3	10
ERS6205399.bin.r.1	6	19
ERS6205401.bin.r.4	3	8
ERS6205402.bin.r.3	3	10
ERS6256686.bin.r.3	4	13
ERS6256687.bin.r.19	5	14
ERS6256688.bin.r.3	6	18
ERS6256689.bin.r.10	4	13
ERS6256692.bin.r.6	5	14
ERS6256693.bin.r.15	5	14
ERS6256694.bin.r.5	5	14
ERS6256698.bin.r.9	5	14
ERS6256699.bin.r.19	4	13
ERS6256700.bin.r.5	5	14
ERS6256701.bin.r.1	5	14
ERS6256702.bin.r.4	5	14
ERS6256703.bin.r.5	5	14
ERS6256704.bin.r.18	5	14
ERS6256705.bin.r.2	5	14
ERS6256706.bin.r.10	5	14
ERS6256708.bin.r.14	4	13
ERS6256711.bin.r.8	5	14
ERS6256712.bin.r.1	3	9
ERS6256713.bin.r.8	6	18
ERS6256714.bin.r.8	5	14
ERS6256716.bin.r.10	5	14
ERS6256717.bin.r.3	5	14
ERS6256718.bin.r.8	5	14
ERS6256719.bin.r.10	5	14
ERS6256721.bin.r.2	5	14
ERS6256724.bin.r.9	4	13
ERS6256726.bin.r.12	4	13
ERS6256727.bin.r.9	4	13
ERS6636085.bin.r.1	4	13
ERS6636090.bin.r.1	4	13
ERS6636099.bin.r.2	4	13
ERS6636154.bin.r.10	4	13
ERSX0002001.bin.r.19	3	8
ERSX0003001.bin.r.16	4	13
ERSX0003002.bin.r.10	4	13
ERSX0003003.bin.r.18	4	13
ERSX0004017.bin.r.2	6	21
ERSX0004019.bin.r.5	5	15
ERSX0004021.bin.r.8	6	21
ERSX0004030.bin.r.5	5	15
ERSX0004033.bin.r.2	5	15
ERSX0004050.bin.r.2	5	15
ERSX0004057.bin.r.4	5	15
ERSX0004058.bin.r.4	6	19
ERSX0004059.bin.r.2	6	18
ERSX0004066.bin.r.3	5	15
ERSX0004077.bin.r.4	6	21
ERSX0004078.bin.r.1	6	21
ERSX0004082.bin.r.2	6	21
ERSX0004083.bin.r.6	4	12
ERSX0004084.bin.r.3	4	12
ERSX0004085.bin.r.4	4	12
ERSX0004087.bin.r.1	4	12
ERSX0004102.bin.r.1	4	12
ERSX0004103.bin.r.2	4	12
ERSX0005001.bin.r.34	1	1
SRS11653536.bin.r.2	4	13
SRS11653539.bin.r.2	4	13
SRS11653551.bin.r.1	4	13
SRS11653582.bin.r.1	4	13
SRS11653583.bin.r.1	4	13
SRS11653584.bin.r.2	4	13
SRS11653589.bin.r.1	4	13
SRS11653590.bin.r.1	4	13
SRS11653591.bin.r.4	4	13
SRS11653593.bin.r.5	4	13
SRS11653594.bin.r.2	4	13
SRS11653597.bin.r.2	4	13
SRS11653610.bin.r.2	4	13
SRS15300787.bin.r.20	5	16
SRS15300788.bin.r.9	5	16
SRS15300790.bin.r.4	5	16
SRS15300793.bin.r.3	5	16
SRS15300794.bin.r.2	5	16
SRS15300795.bin.r.8	5	16
SRS15300800.bin.r.6	5	16
SRS15300801.bin.r.19	5	16
SRS15300802.bin.r.2	5	16
SRS15300805.bin.r.7	5	16
SRS15300807.bin.r.18	5	16
SRS15300808.bin.r.2	5	16
SRS15300811.bin.r.6	5	16
SRS3078087.bin.r.3	6	21
SRS3078091.bin.r.6	6	21
SRS3078097.bin.r.2	2	6
SRS3078111.bin.r.1	4	11
SRS3078126.bin.r.2	3	7
SRS3078131.bin.r.1	4	13
SRS3078139.bin.r.2	6	21
SRS3078155.bin.r.1	6	20
SRS3078156.bin.r.9	4	13
SRS3078158.bin.r.4	4	13
SRS3078160.bin.r.4	2	2
SRS3078163.bin.r.2	4	13
SRS3078175.bin.r.3	5	16
SRS3078181.bin.r.3	6	21
SRS3078183.bin.r.2	6	21
SRS3078192.bin.r.5	6	20
SRS3078195.bin.r.11	6	21
SRS3078197.bin.r.1	4	13
SRS3078198.bin.r.3	4	12
SRS3078200.bin.r.2	4	12
SRS3078201.bin.r.6	6	21
SRS3078204.bin.r.31	4	13
SRS4625244.bin.r.8	6	17
SRS4625245.bin.r.10	3	10
SRS4625248.bin.r.2	6	17
SRS473742.bin.r.1	4	13
SRS473746.bin.r.29	6	19
SRS6212649.bin.r.11	5	15
SRS6212650.bin.r.1	6	21
SRS6212651.bin.r.4	5	15
SRS6212652.bin.r.4	6	21
SRS6212654.bin.r.2	6	21
SRS6212655.bin.r.6	5	15
SRS6212656.bin.r.4	5	15
SRS6212658.bin.r.3	5	15
SRS6212660.bin.r.3	5	15
SRS6212661.bin.r.1	6	21
SRS6212663.bin.r.2	6	20
SRS7212788.bin.r.6	4	13
SRS7212792.bin.r.3	5	16
SRS7212798.bin.r.2	4	13
SRS7212800.bin.r.4	4	13
SRS7212801.bin.r.2	4	13
SRS7212802.bin.r.4	4	13
SRS7890498.bin.r.2	1	1
SRS7967575.bin.r.3	3	8
SRS7967576.bin.r.4	2	5
SRS9263818.bin.r.3	4	13
SRS9263822.bin.r.8	6	21
