genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
ERSX0004093.bin.r.6.fa,1_0,0.06999999999999995,average,ANImf,1
ERSX0004094.bin.r.4.fa,2_0,0.06999999999999995,average,ANImf,2
SRS11653560.bin.r.1.fa,3_0,0.06999999999999995,average,ANImf,3
ERSX0004092.bin.r.1.fa,4_1,0.06999999999999995,average,ANImf,4
ERSX0004093.bin.r.2.fa,4_1,0.06999999999999995,average,ANImf,4
CMC038.A.bin.r.8.fa,5_0,0.06999999999999995,average,ANImf,5
CMC018.B.bin.r.138.fa,6_1,0.06999999999999995,average,ANImf,6
CMC023.A.bin.r.31.fa,6_1,0.06999999999999995,average,ANImf,6
CMC028.B.bin.r.55.fa,6_1,0.06999999999999995,average,ANImf,6
CMC035.B.bin.r.50.fa,6_1,0.06999999999999995,average,ANImf,6
CMC038.A.bin.r.61.fa,6_1,0.06999999999999995,average,ANImf,6
CMC038.B.bin.r.16.fa,6_1,0.06999999999999995,average,ANImf,6
ERSX0002001.bin.r.39.fa,6_1,0.06999999999999995,average,ANImf,6
SRS15300795.bin.r.13.fa,6_1,0.06999999999999995,average,ANImf,6
SRS473746.bin.r.31.fa,6_1,0.06999999999999995,average,ANImf,6
ERS12516962.bin.r.18.fa,7_0,0.06999999999999995,average,ANImf,7
SRS3078198.bin.r.5.fa,8_0,0.06999999999999995,average,ANImf,8
ERS3774441.bin.r.17.fa,9_1,0.06999999999999995,average,ANImf,9
ERSX0004065.bin.r.1.fa,9_1,0.06999999999999995,average,ANImf,9
SRS15300792.bin.r.5.fa,9_1,0.06999999999999995,average,ANImf,9
SRS15300794.bin.r.4.fa,9_1,0.06999999999999995,average,ANImf,9
SRS15300801.bin.r.21.fa,9_1,0.06999999999999995,average,ANImf,9
SRS15300811.bin.r.11.fa,9_1,0.06999999999999995,average,ANImf,9
CMC007.B.bin.r.31.fa,9_2,0.06999999999999995,average,ANImf,9
CMC008.B.bin.r.1.fa,9_2,0.06999999999999995,average,ANImf,9
CMC010.B.bin.r.31.fa,9_2,0.06999999999999995,average,ANImf,9
CMC013.B.bin.r.32.fa,9_2,0.06999999999999995,average,ANImf,9
CMC018.B.bin.r.11.fa,9_2,0.06999999999999995,average,ANImf,9
CMC023.A.bin.r.42.fa,9_2,0.06999999999999995,average,ANImf,9
CMC024.B.bin.r.50.fa,9_2,0.06999999999999995,average,ANImf,9
CMC033.B.bin.r.51.fa,9_2,0.06999999999999995,average,ANImf,9
CMC034.B.bin.r.17.fa,9_2,0.06999999999999995,average,ANImf,9
CMC035.B.bin.r.47.fa,9_2,0.06999999999999995,average,ANImf,9
CMC039.B.bin.r.62.fa,9_2,0.06999999999999995,average,ANImf,9
CMC040.B.bin.r.37.fa,9_2,0.06999999999999995,average,ANImf,9
CMC043.B.bin.r.18.fa,9_2,0.06999999999999995,average,ANImf,9
CMC045.B.bin.r.9.fa,9_2,0.06999999999999995,average,ANImf,9
CM_periimplantitis__SP_163SPI_T016__bin.10.fa,9_2,0.06999999999999995,average,ANImf,9
CM_periimplantitis__SP_184SPT_T016__bin.12.fa,9_2,0.06999999999999995,average,ANImf,9
CM_periimplantitis__SP_285SPI_T016__bin.12.fa,9_2,0.06999999999999995,average,ANImf,9
CM_periimplantitis__SP_287SPT_T016__bin.19.fa,9_2,0.06999999999999995,average,ANImf,9
CM_periimplantitis__SP_384SPI_T016__bin.9.fa,9_2,0.06999999999999995,average,ANImf,9
CM_periimplantitis__SP_387SPT_T016__bin.14.fa,9_2,0.06999999999999995,average,ANImf,9
ERS12516936.bin.r.39.fa,9_2,0.06999999999999995,average,ANImf,9
ERS12516940.bin.r.10.fa,9_2,0.06999999999999995,average,ANImf,9
ERS12516948.bin.r.38.fa,9_2,0.06999999999999995,average,ANImf,9
ERS12516950.bin.r.11.fa,9_2,0.06999999999999995,average,ANImf,9
ERS12516979.bin.r.26.fa,9_2,0.06999999999999995,average,ANImf,9
ERS12516985.bin.r.13.fa,9_2,0.06999999999999995,average,ANImf,9
ERS3395773.bin.r.18.fa,9_2,0.06999999999999995,average,ANImf,9
ERS3774451.bin.r.4.fa,9_2,0.06999999999999995,average,ANImf,9
ERS3774485.bin.r.18.fa,9_2,0.06999999999999995,average,ANImf,9
ERS3774488.bin.r.8.fa,9_2,0.06999999999999995,average,ANImf,9
ERS3774492.bin.r.13.fa,9_2,0.06999999999999995,average,ANImf,9
ERS6205386.bin.r.2.fa,9_2,0.06999999999999995,average,ANImf,9
ERS6205399.bin.r.6.fa,9_2,0.06999999999999995,average,ANImf,9
ERS6256688.bin.r.17.fa,9_2,0.06999999999999995,average,ANImf,9
ERS6256698.bin.r.20.fa,9_2,0.06999999999999995,average,ANImf,9
ERS6256709.bin.r.7.fa,9_2,0.06999999999999995,average,ANImf,9
ERS6256717.bin.r.5.fa,9_2,0.06999999999999995,average,ANImf,9
ERS6256722.bin.r.1.fa,9_2,0.06999999999999995,average,ANImf,9
ERSX0003001.bin.r.27.fa,9_2,0.06999999999999995,average,ANImf,9
ERSX0003002.bin.r.39.fa,9_2,0.06999999999999995,average,ANImf,9
GWHAPQZ00000000.genome.fasta,9_2,0.06999999999999995,average,ANImf,9
GWHAPUR00000000.genome.fasta,9_2,0.06999999999999995,average,ANImf,9
GWHAPYU00000000.genome.fasta,9_2,0.06999999999999995,average,ANImf,9
GWHAQPE00000000.genome.fasta,9_2,0.06999999999999995,average,ANImf,9
GWHAREV00000000.genome.fasta,9_2,0.06999999999999995,average,ANImf,9
GWHARPA00000000.genome.fasta,9_2,0.06999999999999995,average,ANImf,9
GWHARPI00000000.genome.fasta,9_2,0.06999999999999995,average,ANImf,9
GWHARUI00000000.genome.fasta,9_2,0.06999999999999995,average,ANImf,9
HMP_2012__SRS013836__bin.4.fa,9_2,0.06999999999999995,average,ANImf,9
HMP_2012__SRS014107__bin.6.fa,9_2,0.06999999999999995,average,ANImf,9
HMP_2012__SRS016575__bin.11.fa,9_2,0.06999999999999995,average,ANImf,9
HMP_2012__SRS017691__bin.7.fa,9_2,0.06999999999999995,average,ANImf,9
HMP_2012__SRS019029__bin.27.fa,9_2,0.06999999999999995,average,ANImf,9
MGYG000298093.fna,9_2,0.06999999999999995,average,ANImf,9
MGYG000298146.fna,9_2,0.06999999999999995,average,ANImf,9
MGYG000298207.fna,9_2,0.06999999999999995,average,ANImf,9
MGYG000298543.fna,9_2,0.06999999999999995,average,ANImf,9
MGYG000299076.fna,9_2,0.06999999999999995,average,ANImf,9
SRS3078115.bin.r.4.fa,9_2,0.06999999999999995,average,ANImf,9
ERS3774450.bin.r.1.fa,9_3,0.06999999999999995,average,ANImf,9
CMC035.B.bin.r.54.fa,10_1,0.06999999999999995,average,ANImf,10
ERS3774422.bin.r.36.fa,10_1,0.06999999999999995,average,ANImf,10
CMC022.B.bin.r.82.fa,11_1,0.06999999999999995,average,ANImf,11
CMC026.B.bin.r.74.fa,11_1,0.06999999999999995,average,ANImf,11
ERS3395771.bin.r.31.fa,11_1,0.06999999999999995,average,ANImf,11
ERS3395772.bin.r.3.fa,11_1,0.06999999999999995,average,ANImf,11
ERS3774422.bin.r.29.fa,12_0,0.06999999999999995,average,ANImf,12
CMC011.B.bin.r.109.fa,13_1,0.06999999999999995,average,ANImf,13
CMC018.B.bin.r.53.fa,13_1,0.06999999999999995,average,ANImf,13
CMC022.B.bin.r.93.fa,13_1,0.06999999999999995,average,ANImf,13
CMC024.B.bin.r.64.fa,13_1,0.06999999999999995,average,ANImf,13
CMC035.B.bin.r.82.fa,13_1,0.06999999999999995,average,ANImf,13
CMC038.A.bin.r.32.fa,13_1,0.06999999999999995,average,ANImf,13
CMC038.B.bin.r.69.fa,13_1,0.06999999999999995,average,ANImf,13
ERS4042406.bin.r.10.fa,13_1,0.06999999999999995,average,ANImf,13
CMC038.A.bin.r.21.fa,14_0,0.06999999999999995,average,ANImf,14
CMC038.A.bin.r.52.fa,15_1,0.06999999999999995,average,ANImf,15
CMC038.B.bin.r.134.fa,15_1,0.06999999999999995,average,ANImf,15
ERS6256693.bin.r.11.fa,15_1,0.06999999999999995,average,ANImf,15
ERS6636099.bin.r.17.fa,15_1,0.06999999999999995,average,ANImf,15
ERS6636154.bin.r.19.fa,15_1,0.06999999999999995,average,ANImf,15
ERSX0003001.bin.r.20.fa,15_1,0.06999999999999995,average,ANImf,15
ERSX0003003.bin.r.26.fa,15_1,0.06999999999999995,average,ANImf,15
ERS11702731.bin.r.6.fa,16_1,0.06999999999999995,average,ANImf,16
ERS11702741.bin.r.5.fa,16_1,0.06999999999999995,average,ANImf,16
