"Bin"	"prepublication_bin"	"length"	"completeness"	"contamination"	"Secondary_sample_accession"	"prepublication_secondary_sample_accession"	"MAG_source"	"Study"	"Oral_site"	"Age_BP"	"Country"	"Continent"	"Industrialization"	"sample_host"	"Host"	"Sample"	"primary_cluster"	"log_age"	"latitude"	"longitude"	"checkM.genome_size"	"checkM.GC"	"GUNC.n_contigs"	"checkM.N50_contigs"	"checkM.completeness"	"checkM.contamination"	"checkM2.completeness"	"checkM2.contamination"	"pass.GUNC"	"quast_n_contigs"	"quast_total_length"	"quast_GC"	"quast_N50"	"Cas_subtype_1"	"Cas_subtype_2"	"CAZyme"	"nimI"	"Prophage"	"completeness_mcr"	"completeness_mtr_mcr"	"total_snps"	"fastBAPS_cluster"
"ERS5710613.bin.r.67"	"CMC010.B.bin.r.67"	894133	53.08	0	"ERS5710613"	"CMC010.B"	"CMC"	"Velsko2023"	"supPQ"	7	"Cameroon"	"Africa"	"Non_industrial"	"Homo sapiens"	"Modern human"	"CMC010.B-metaspades_067"	1187	0.845098040014257	3.08557	13.55751	894133	32.8	354	2515	53.08	0	56.96	0.02	"TRUE"	355	894133	32.84	2528	"III-A"	"None"	"GT2"	"Absent"	"Absent"	"Missing"	"Present"	635	"1187_3"
"ERS5710659.bin.r.91"	"CMC035.B.bin.r.91"	1853099	88.13	0	"ERS5710659"	"CMC035.B"	"CMC"	"Velsko2023"	"supPQ"	7	"Cameroon"	"Africa"	"Non_industrial"	"Homo sapiens"	"Modern human"	"CMC035.B-metaspades_091"	1187	0.845098040014257	3.08557	13.55751	1853099	31.1	388	6092	88.13	0	90.53	0.48	"TRUE"	393	1853099	31.13	6210	"III-A"	"None"	"GT2|GT4|GT81|GH154|GT66"	"Present"	"Absent"	"Missing"	"Present"	1214	"1187_3"
"ERS5710664.bin.r.58"	"CMC038.A.bin.r.58"	1243639	71.72	0	"ERS5710664"	"CMC038.A"	"CMC"	"Velsko2023"	"supPQ"	7	"Cameroon"	"Africa"	"Non_industrial"	"Homo sapiens"	"Modern human"	"CMC038.A-metaspades_058"	1187	0.845098040014257	3.08557	13.55751	1243639	32.4	384	3659	71.72	0	76.25	0.22	"TRUE"	384	1243639	32.45	3659	"III-A"	"None"	"GT2|GH154|GT4|GT66"	"Present"	"Absent"	"Missing"	"Present"	1010	"1187_3"
"ERS5710665.bin.r.131"	"CMC038.B.bin.r.131"	1148230	68.95	0	"ERS5710665"	"CMC038.B"	"CMC"	"Velsko2023"	"supPQ"	7	"Cameroon"	"Africa"	"Non_industrial"	"Homo sapiens"	"Modern human"	"CMC038.B-metaspades_131"	1187	0.845098040014257	3.08557	13.55751	1148230	32.7	340	3644	68.95	0	68.28	0.14	"TRUE"	340	1148230	32.73	3644	"None"	"None"	"GT2|GH154|GT4|GT66|GT81"	"Absent"	"Absent"	"Missing"	"Present"	1022	"1187_3"
"ERS11702729.bin.r.3"	"ERS11702729.bin.r.3"	2053111	99.2	0	"ERS11702729"	"ERS11702729"	"Ancient"	"Velsko2022"	"anc_calculus"	500	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702729-megahit_003"	1187	2.69897000433602	38.247	-0.808	2053111	30.8	203	17520	99.2	0	99.87	0.61	"TRUE"	204	2053111	30.81	17520	"I-B"	"None"	"GT2|GT4|GT66|GH154|GT81"	"Present"	"Absent"	"Missing"	"Present"	1131	"1187_3"
"ERS11702731.bin.r.1"	"ERS11702731.bin.r.1"	1325868	71.01	0.86	"ERS11702731"	"ERS11702731"	"Ancient"	"Velsko2022"	"anc_calculus"	500	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702731-megahit_001"	1187	2.69897000433602	38.247	-0.808	1325868	32.9	642	2153	71.01	0.86	71.85	0.26	"TRUE"	645	1325868	32.92	2153	"None"	"None"	"GH154|GT4|GT66|GT2"	"Absent"	"Absent"	"Missing"	"Present"	1008	"1187_3"
"ERS11702732.bin.r.6"	"ERS11702732.bin.r.6"	1749533	90.87	0	"ERS11702732"	"ERS11702732"	"Ancient"	"Velsko2022"	"anc_calculus"	500	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702732-megahit_006"	1187	2.69897000433602	38.247	-0.808	1749533	32.1	598	3550	90.87	0	86.61	0.37	"TRUE"	600	1749533	32.05	3550	"III-A"	"None"	"GH154|GT81|GT4|GT2|GT66"	"Present"	"Absent"	"Missing"	"Present"	1152	"1187_3"
"ERS11702764.bin.r.1"	"ERS11702764.bin.r.1"	1251890	72.49	0.4	"ERS11702764"	"ERS11702764"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702764-megahit_001"	1187	2.30102999566398	52.548	4.914	1251890	31.3	661	1957	72.49	0.4	61.11	2.46	"TRUE"	661	1251890	31.34	1957	"III-A"	"None"	"GT2|GT4"	"Absent"	"Absent"	"Missing"	"Present"	614	"1187_3"
"ERS11702775.bin.r.7"	"ERS11702775.bin.r.7"	905495	50.53	1.6	"ERS11702775"	"ERS11702775"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702775-megahit_007"	1187	2.30102999566398	52.548	4.914	905495	31.9	503	1891	50.53	1.6	50.77	0.39	"TRUE"	504	905495	31.89	1891	"None"	"None"	"GT81|GT2|GT4"	"Present"	"Absent"	"Missing"	"Missing"	554	"1187_3"
"ERS11702776.bin.r.3"	"ERS11702776.bin.r.3"	1806371	92.94	1.72	"ERS11702776"	"ERS11702776"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702776-megahit_003"	1187	2.30102999566398	52.548	4.914	1806371	31.1	323	6930	92.94	1.72	89.79	1.56	"TRUE"	323	1806371	31.09	6930	"III-A"	"None"	"GT2|GT4|GT66|GH154|GT81"	"Present"	"Absent"	"Missing"	"Present"	1151	"1187_3"
"ERS11702780.bin.r.7"	"ERS11702780.bin.r.7"	1958660	98.06	0.8	"ERS11702780"	"ERS11702780"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702780-megahit_007"	1187	2.30102999566398	52.548	4.914	1958660	31	232	12054	98.06	0.8	96.34	0.97	"TRUE"	232	1958660	31	12054	"III-A"	"I-B"	"GT2|GT66|GT4|GT81|GH154"	"Present"	"Absent"	"Missing"	"Present"	1144	"1187_3"
"ERS2985746.bin.r.2"	"ERS2985746.bin.r.2"	1888919	89.77	2.56	"ERS2985746"	"ERS2985746"	"Ancient"	"Velsko2019"	"anc_calculus"	200	"England"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS2985746-megahit_002"	1187	2.30102999566398	51.752	-1.257	1888919	31.7	354	6346	89.77	2.56	83.18	0.65	"TRUE"	354	1888919	31.68	6346	"III-A"	"None"	"GT4|GT2|GT66|GT81|GH154"	"Present"	"Absent"	"Missing"	"Present"	1073	"1187_3"
"ERS2985760.bin.r.1"	"ERS2985760.bin.r.1"	2073908	99.2	0	"ERS2985760"	"ERS2985760"	"Ancient"	"Velsko2019"	"anc_calculus"	200	"England"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS2985760-megahit_001"	1187	2.30102999566398	51.752	-1.257	2073908	30.9	111	32090	99.2	0	99.91	0.33	"TRUE"	111	2073908	30.86	32090	"III-A"	"I-B"	"GT2|GT66|GH154|GT81|GT4"	"Present"	"Absent"	"Missing"	"Present"	1305	"1187_3"
"ERS3636092.bin.r.3"	"ERS3636092.bin.r.3"	1811477	96.53	0.86	"ERS3636092"	"ERS3636092"	"Ancient"	"Neukamm2020"	"anc_calculus"	4000	"Egypt"	"Africa"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS3636092-megahit_003"	1187	3.60205999132796	29.24	31.1	1811477	31.2	262	9532	96.53	0.86	94.79	0.46	"TRUE"	262	1811477	31.15	9532	"III-A"	"I-B"	"GT4|GT2|GT66|GT81|GH154"	"Present"	"Absent"	"Missing"	"Present"	1257	"1187_1"
"ERS3774458.bin.r.1"	"ERS3774458.bin.r.1"	1625948	93.17	0	"ERS3774458"	"ERS3774458"	"Ancient"	"FellowsYates2021-humanaDNA"	"anc_calculus"	9500	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS3774458-megahit_001"	1187	3.97772360528885	38.919	-0.121	1625948	31.6	546	3637	93.17	0	86.54	0.87	"TRUE"	547	1625948	31.63	3637	"III-A"	"None"	"GH154|GT81|GT4|GT2"	"Present"	"Absent"	"Missing"	"Present"	1440	"1187_2"
"ERS3774460.bin.r.1"	"ERS3774460.bin.r.1"	1632337	91.68	0	"ERS3774460"	"ERS3774460"	"Ancient"	"FellowsYates2021-humanaDNA"	"anc_calculus"	9300	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS3774460-megahit_001"	1187	3.96848294855394	38.919	-0.121	1632337	31.5	370	5329	91.68	0	88.8	0.38	"TRUE"	370	1632337	31.54	5329	"III-A"	"None"	"GT81|GH154|GT4|GT2"	"Absent"	"Absent"	"Missing"	"Present"	1432	"1187_2"
"ERS3774463.bin.r.1"	"ERS3774463.bin.r.1"	1751162	87.13	0.96	"ERS3774463"	"ERS3774463"	"Ancient"	"FellowsYates2021-humanaDNA"	"anc_calculus"	9000	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS3774463-megahit_001"	1187	3.95424250943933	38.919	-0.121	1751162	31.6	575	3730	87.13	0.96	85.03	1.37	"TRUE"	576	1751162	31.63	3730	"III-A"	"None"	"GT81|GT2|GT4"	"Present"	"Absent"	"Missing"	"Present"	1504	"1187_2"
"ERS3774464.bin.r.12"	"ERS3774464.bin.r.12"	1515612	88.87	0	"ERS3774464"	"ERS3774464"	"Ancient"	"FellowsYates2021-humanaDNA"	"anc_calculus"	9000	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS3774464-megahit_012"	1187	3.95424250943933	38.919	-0.121	1515612	32	354	5084	88.87	0	83.82	0.42	"TRUE"	355	1515612	31.95	5084	"III-A"	"None"	"GT2|GH154|GT81|GT4|GT66"	"Present"	"Absent"	"Missing"	"Present"	1438	"1187_2"
"ERS3774468.bin.r.3"	"ERS3774468.bin.r.3"	1712276	91.27	0	"ERS3774468"	"ERS3774468"	"Ancient"	"FellowsYates2021-humanaDNA"	"anc_calculus"	9200	"Germany"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS3774468-megahit_003"	1187	3.96378782734556	48.818	10.45	1712276	31.7	561	3664	91.27	0	87.61	0.38	"TRUE"	562	1712276	31.71	3664	"III-A"	"IV-B"	"GT4|GH154|GT81|GT2|GT66"	"Absent"	"Absent"	"Missing"	"Present"	1447	"1187_2"
"ERS3774482.bin.r.2"	"ERS3774482.bin.r.2"	1142735	67.13	0	"ERS3774482"	"ERS3774482"	"Ancient"	"FellowsYates2021-humanaDNA"	"anc_calculus"	200	"South Africa"	"Africa"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS3774482-megahit_002"	1187	2.30102999566398	-34.03	18.46	1142735	33.1	611	1964	67.13	0	58.69	0.15	"TRUE"	611	1142735	33.07	1964	"None"	"None"	"GT2|GT4|GH154"	"Absent"	"Absent"	"Missing"	"Present"	809	"1187_3"
"ERS3887047.bin.r.1"	"ERS3887047.bin.r.1"	1240334	68.73	0	"ERS3887047"	"ERS3887047"	"Ancient"	"Ottoni2019"	"anc_calculus"	100	"Egypt"	"Africa"	"Non-human primate"	"Papio hamadryas"	"Baboon"	"ERS3887047-megahit_001"	1187	2	25.706	32.794	1240334	33	573	2321	68.73	0	69.31	0.29	"TRUE"	573	1240334	33.01	2321	"III-A"	"None"	"GT81|GT4|GT2|GT66"	"Absent"	"Absent"	"Missing"	"Present"	1039	"1187_3"
"ERS4042406.bin.r.13"	"ERS4042406.bin.r.13"	1901745	97.6	0	"ERS4042406"	"ERS4042406"	"Ancient"	"Fagernas2020"	"anc_calculus"	1500	"England"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS4042406-megahit_013"	1187	3.17609125905568	53.951	-1.1	1901745	31.2	334	8118	97.6	0	98.7	0.79	"TRUE"	335	1901745	31.19	8118	"III-A"	"None"	"GT2|GT4|GH154|GT81"	"Present"	"Absent"	"Missing"	"Present"	823	"1187_3"
"ERS4042423.bin.r.17"	"ERS4042423.bin.r.17"	1594097	90.74	0	"ERS4042423"	"ERS4042423"	"Ancient"	"Fagernas2020"	"anc_calculus"	1100	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS4042423-megahit_017"	1187	3.04139268515823	42.84	-2.517	1594097	32	551	3434	90.74	0	88.29	0.62	"TRUE"	553	1594097	31.96	3434	"III-A"	"None"	"GT2|GH154|GT4|GT81|GT66"	"Absent"	"Absent"	"Missing"	"Present"	1081	"1187_3"
"ERS4042427.bin.r.9"	"ERS4042427.bin.r.9"	644774	63.1	6.77	"ERS4042427"	"ERS4042427"	"Ancient"	"Fagernas2020"	"anc_calculus"	1100	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS4042427-megahit_009"	1187	3.04139268515823	42.84	-2.517	644774	34.3	153	5218	63.1	6.77	60.37	7.56	"TRUE"	153	644774	34.32	5218	"None"	"None"	"GH154|GT81|GT2|GT66"	"Absent"	"Absent"	"Present"	"Present"	561	"1187_3"
"ERS6205387.bin.r.6"	"ERS6205387.bin.r.6"	2065063	99.2	0	"ERS6205387"	"ERS6205387"	"Ancient"	"Granehall2021"	"anc_calculus"	4800	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205387-megahit_006"	1187	3.68124123737559	46.09	11.12	2065063	30.7	132	27720	99.2	0	99.97	0.35	"TRUE"	135	2065063	30.72	27720	"I-B"	"None"	"GT66|GT2|GT4|GT81|GH154"	"Present"	"Absent"	"Missing"	"Present"	1434	"1187_1"
"ERS6205391.bin.r.8"	"ERS6205391.bin.r.8"	2095614	98.4	0	"ERS6205391"	"ERS6205391"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205391-megahit_008"	1187	3.11394335230684	46.32	11.29	2095614	30.7	145	23878	98.4	0	99.97	0.59	"TRUE"	145	2095614	30.69	23878	"III-A"	"None"	"GT2|GT4|GT81|GH154|GT66"	"Absent"	"Absent"	"Missing"	"Present"	1146	"1187_3"
"ERS6205392.bin.r.3"	"ERS6205392.bin.r.3"	2030388	98	0.8	"ERS6205392"	"ERS6205392"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205392-megahit_003"	1187	3.11394335230684	46.53	11.26	2030388	30.7	177	19271	98	0.8	99.55	1.23	"TRUE"	177	2030388	30.74	19271	"III-A"	"I-B"	"GT2|GT4|GT66|GT81|GH154"	"Present"	"Absent"	"Missing"	"Present"	1235	"1187_1"
"ERS6205394.bin.r.3"	"ERS6205394.bin.r.3"	2078230	99.2	0	"ERS6205394"	"ERS6205394"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205394-megahit_003"	1187	3.11394335230684	46.694	11.144	2078230	30.7	118	30838	99.2	0	99.88	0.65	"TRUE"	119	2078230	30.71	30838	"III-A"	"None"	"GT2|GH154|GT81|GT66|GT4"	"Present"	"Present"	"Missing"	"Present"	1397	"1187_3"
"ERS6205395.bin.r.5"	"ERS6205395.bin.r.5"	2027058	99.2	0	"ERS6205395"	"ERS6205395"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205395-megahit_005"	1187	3.11394335230684	46.69	11.14	2027058	30.8	113	35635	99.2	0	99.9	0.67	"TRUE"	113	2027058	30.77	35635	"III-A"	"I-B"	"GT2|GH154|GT81|GT4|GT66"	"Present"	"Absent"	"Missing"	"Present"	1253	"1187_3"
"ERS6205396.bin.r.4"	"ERS6205396.bin.r.4"	2001928	99.2	0	"ERS6205396"	"ERS6205396"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205396-megahit_004"	1187	3.11394335230684	46.69	11.14	2001928	30.8	124	25563	99.2	0	99.89	0.63	"TRUE"	124	2001928	30.81	25563	"III-A"	"None"	"GT2|GT4|GT66|GH154|GT81"	"Present"	"Absent"	"Missing"	"Present"	1212	"1187_3"
"ERS6205397.bin.r.3"	"ERS6205397.bin.r.3"	2101075	99.2	0	"ERS6205397"	"ERS6205397"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205397-megahit_003"	1187	3.11394335230684	46.64	10.67	2101075	30.8	107	37472	99.2	0	99.94	0.64	"TRUE"	108	2101075	30.78	37472	"None"	"None"	"GT4|GT2|GT66|GH154|GT81"	"Present"	"Present"	"Missing"	"Present"	1138	"1187_3"
"ERS6205398.bin.r.9"	"ERS6205398.bin.r.9"	954351	55.5	0.8	"ERS6205398"	"ERS6205398"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205398-megahit_009"	1187	3.11394335230684	46.7	10.52	954351	31.2	392	2481	55.5	0.8	50.28	0.44	"TRUE"	392	954351	31.2	2481	"None"	"None"	"GT2|GT66|GT4"	"Present"	"Absent"	"Missing"	"Present"	508	"1187_3"
"ERS6205399.bin.r.4"	"ERS6205399.bin.r.4"	2066882	99.2	0	"ERS6205399"	"ERS6205399"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205399-megahit_004"	1187	3.11394335230684	46.7	10.52	2066882	30.7	119	31921	99.2	0	99.91	0.59	"TRUE"	120	2066882	30.69	31921	"III-A"	"None"	"GT66|GT2|GT4|GT81|GH154"	"Present"	"Absent"	"Missing"	"Present"	1263	"1187_3"
"ERS6205401.bin.r.3"	"ERS6205401.bin.r.3"	1680789	79.76	8.4	"ERS6205401"	"ERS6205401"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205401-megahit_003"	1187	3.11394335230684	46.73	11.67	1680789	31.1	241	9940	79.76	8.4	82.87	4.17	"TRUE"	241	1680789	31.07	9940	"None"	"None"	"GT2|GT4|GT81|GT66|GH154"	"Present"	"Absent"	"Missing"	"Present"	904	"1187_3"
"ERS6205402.bin.r.2"	"ERS6205402.bin.r.2"	1159055	60.02	0.8	"ERS6205402"	"ERS6205402"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205402-megahit_002"	1187	3.11394335230684	46.73	11.67	1159055	30.5	634	1941	60.02	0.8	50.99	1.73	"TRUE"	634	1159055	30.54	1941	"None"	"None"	"GT4|GT2"	"Present"	"Absent"	"Missing"	"Present"	467	"1187_3"
