Contig	MAG
NODE_8_length_162799_cov_8.344274	CMC005.B-metaspades_019
NODE_30_length_107303_cov_8.467872	CMC005.B-metaspades_019
NODE_51_length_80922_cov_8.575793	CMC005.B-metaspades_019
NODE_78_length_66590_cov_8.647046	CMC005.B-metaspades_019
NODE_170_length_49840_cov_7.725720	CMC005.B-metaspades_019
NODE_203_length_45874_cov_8.175230	CMC005.B-metaspades_019
NODE_209_length_45513_cov_7.623845	CMC005.B-metaspades_019
NODE_223_length_44704_cov_7.793533	CMC005.B-metaspades_019
NODE_277_length_40266_cov_8.417851	CMC005.B-metaspades_019
NODE_306_length_38243_cov_9.126893	CMC005.B-metaspades_019
NODE_310_length_38027_cov_7.875362	CMC005.B-metaspades_019
NODE_313_length_37913_cov_8.489375	CMC005.B-metaspades_019
NODE_340_length_36968_cov_8.441707	CMC005.B-metaspades_019
NODE_387_length_33793_cov_8.348707	CMC005.B-metaspades_019
NODE_580_length_27505_cov_8.100882	CMC005.B-metaspades_019
NODE_754_length_23687_cov_7.724058	CMC005.B-metaspades_019
NODE_802_length_22725_cov_8.530819	CMC005.B-metaspades_019
NODE_825_length_22411_cov_7.614355	CMC005.B-metaspades_019
NODE_872_length_21636_cov_9.009648	CMC005.B-metaspades_019
NODE_886_length_21464_cov_8.957685	CMC005.B-metaspades_019
NODE_1018_length_19651_cov_7.975631	CMC005.B-metaspades_019
NODE_1123_length_18609_cov_9.141377	CMC005.B-metaspades_019
NODE_1214_length_17771_cov_8.054877	CMC005.B-metaspades_019
NODE_1324_length_16757_cov_8.465408	CMC005.B-metaspades_019
NODE_1329_length_16698_cov_7.364479	CMC005.B-metaspades_019
NODE_1593_length_14643_cov_7.254016	CMC005.B-metaspades_019
NODE_1599_length_14617_cov_8.264030	CMC005.B-metaspades_019
NODE_1636_length_14418_cov_8.447319	CMC005.B-metaspades_019
NODE_1781_length_13607_cov_8.332299	CMC005.B-metaspades_019
NODE_2211_length_11801_cov_8.374275	CMC005.B-metaspades_019
NODE_2275_length_11525_cov_7.968029	CMC005.B-metaspades_019
NODE_2339_length_11332_cov_7.713194	CMC005.B-metaspades_019
NODE_2427_length_11019_cov_8.925242	CMC005.B-metaspades_019
NODE_2484_length_10835_cov_8.046384	CMC005.B-metaspades_019
