Bin	total_snps	Cluster
ERS3774436-megahit_003	3421	1
ERS3774469-megahit_013	206	3
ERS3774470-megahit_013	3329	1
ERS6205385-megahit_004	78	3
ERS6205388-megahit_004	80	3
ERS6256686-megahit_005	37	3
ERS6256687_22.0.refbinned	14	3
ERS6256689-megahit_001	38	3
ERS6256692-megahit_010	44	3
ERS6256693-megahit_008	46	3
ERS6256694-megahit_004	44	3
ERS6636090-megahit_006	43	3
ERSX0003002-megahit_021	37	3
ERSX0004082-megahit_001	44	3
ERSX0005001-megahit_029	3518	1
SRS11653539-megahit_004	33	3
SRS11653545_22.0.refbinned	12	3
SRS11653551-megahit_003	42	3
SRS11653562-megahit_001	41	3
SRS11653565-megahit_001	190	3
SRS11653570-megahit_001	38	3
SRS11653591-megahit_002	40	3
SRS3078091-megahit_012	643	2
SRS3078097-megahit_008	735	2
SRS3078181-megahit_004	443	2
SRS3078195-megahit_019	752	2
SRS3078197-megahit_004	635	2
SRS7890498-megahit_001	3279	1
SRS9263822-megahit_001	47	3
