Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_1087_length_10036_cov_3.94299	NODE_1087_length_10036_cov_3.94299@1	3	6580	III-A	100%		III-A	15	['Cas6_10_CAS-I-II-III-IV-V-VI', 'Csm5gr7_3_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A-III-D', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A', 'Cas10_0_IIIA']	[1, 2, 3, 4, 5, 6]	['1.30e-66', '1.80e-20', '1.30e-115', '3.00e-73', '3.60e-21', '8.00e-106']	[0.992, 0.671, 0.978, 0.931, 0.838, 0.76]	[0.761, 0.79, 0.991, 0.967, 0.945, 0.852]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.23	known
NODE_573_length_14930_cov_6.5401	NODE_573_length_14930_cov_6.5401@1	5719	14281	I-B	100%	100%	I-B	19	['Cas6_0_I-III', 'Cas8b2_7_CAS-I-B', 'Cas7_0_CAS-I', 'Cas5_8_CAS-I-B', 'Cas3_1_CAS-I', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI']	[8, 9, 10, 11, 12, 13, 14, 15]	['1.60e-24', '4.40e-256', '2.10e-60', '1.80e-69', '1.20e-119', '3.90e-50', '3.00e-136', '7.50e-30']	[0.772, 0.949, 0.742, 0.611, 0.95, 0.958, 0.973, 0.978]	[0.985, 1.0, 1.0, 1.0, 0.972, 0.994, 0.997, 0.989]	1	1	hard_palate	industrial	HMP_2012__SRS062878__bin.31	known
NODE_744_length_12627_cov_5.3616	NODE_744_length_12627_cov_5.3616@1	1	10900	III-D	50%		III-D	9	['Cas10_7_CAS-III', 'Csx10_0_IIID', 'Csm3gr7_0_CAS-III-A-III-D', 'Csm3gr7_8_CAS-III-A-III-D', 'Csm3gr7_4_CAS-III-A-III-D', 'CasR_2_CAS-III-D']	[1, 2, 4, 5, 7, 9]	['1.70e-30', '1.30e-30', '4.80e-31', '3.90e-19', '7.10e-95', '5.20e-37']	[0.647, 0.662, 0.845, 0.766, 0.972, 0.907]	[0.498, 0.679, 1.0, 0.891, 0.944, 0.896]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.31	known
NODE_11321_length_1766_cov_2.18527	NODE_11321_length_1766_cov_2.18527@1	3	1764	III-A	60%		III-A	10	['Csm4gr5_0_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A']	[1, 2, 3]	['1.70e-28', '1.20e-68', '1.80e-14']	[0.872, 0.856, 0.888]	[0.681, 0.972, 0.718]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.4	known
NODE_5662_length_3172_cov_2.55791	NODE_5662_length_3172_cov_2.55791@1	2	2903	III-A	80%		III-A	10	['Csm4gr5_0_CAS-III-A-III-D', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A', 'Cas10_1_CAS-III']	[1, 2, 3, 4]	['4.30e-35', '4.00e-57', '4.30e-20', '3.20e-71']	[0.876, 0.972, 0.737, 0.761]	[0.341, 0.94, 0.945, 0.609]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.5	known
NODE_527_length_15706_cov_7.51326	NODE_527_length_15706_cov_7.51326@1	14424	15185	False	0%		III-A	1	['AbiEii_0_CAS-III']	[15]	['6.80e-07']	[0.358]	[0.31]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_4219_length_4010_cov_8.24324	NODE_4219_length_4010_cov_8.24324@1	2769	3827	False	0%	33%	II-A	3	['Csn2_0_CAS-II-A']	[3]	['2.30e-03']	[0.36]	[0.408]		1	hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_7650_length_2482_cov_6.11825	NODE_7650_length_2482_cov_6.11825@1	1494	2480	False	0%		III-A	1	['Csx1_7_CAS-III']	[2]	['6.70e-04']	[0.553]	[0.327]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_2731_length_5567_cov_6.32493	NODE_2731_length_5567_cov_6.32493@1	1900	3510	False	0%		III-A	1	['AbiEii_0_CAS-III']	[4]	['1.10e-07']	[0.328]	[0.563]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_2919_length_5298_cov_7.20446	NODE_2919_length_5298_cov_7.20446@1	302	1096	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['3.00e-06']	[0.438]	[0.398]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
