genome1,genome2,dist,similarity
GCA_017434555.1_ASM1743455v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.0,1.0
ERS2985779-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_017539065.1_ASM1753906v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
SRS4625244-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_017940815.1_ASM1794081v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
GCF_003814835.1_ASM381483v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_902794475.1_Rumen_uncultured_genome_RUG13973_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS6205395-megahit_005.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
SRS7212801-megahit_007.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_017404125.1_ASM1740412v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS2985752-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS4042427-megahit_009.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERS11702812-megahit_007.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCA_902764015.1_Rumen_uncultured_genome_RUG10921_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS11702767-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERSX0004072-megahit_007.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_016296705.1_ASM1629670v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS11702748-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_905235495.1_RUG30241_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_902800035.1_Rumen_uncultured_genome_RUG14542_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
SRS15300807-megahit_006.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_017389565.1_ASM1738956v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
SRS15300800-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_902800455.1_Rumen_uncultured_genome_RUG14569_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.17440802,0.825592
GCA_017448525.1_ASM1744852v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.025321782,0.9746782
GCA_902763115.1_Rumen_uncultured_genome_RUG10830_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS2985756-megahit_007.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERS3774470-megahit_013.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
SRS11653551-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
