Contig,Operon,Start,End,Prediction,Complete_Interference,Complete_Adaptation,Best_type,Best_score,Genes,Positions,E-values,CoverageSeq,CoverageHMM,Strand_Interference,Strand_Adaptation,sampleID,out_type,Individual_ID,MAG_source,oral_site,Bin
NODE_2_length_13844_cov_104.1,NODE_2_length_13844_cov_104.1@1,7724,13843,I-E,83%,0%,I-E,15,"['Cas3_0_I', 'Cas8e_4_CAS-I-E', 'Cse2gr11_5_CAS-I-E', 'Cas7_1_CAS-I-E', 'Cas5_2_CAS-I']","[9, 10, 11, 12, 13]","['6.80e-64', '1.50e-96', '9.80e-48', '3.50e-123', '9.10e-10']","[0.46, 0.865, 0.955, 0.83, 0.983]","[0.95, 0.983, 0.985, 0.967, 0.343]",1,,ERS3774415.bin.r.1,known,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_2_length_27763_cov_148.8,NODE_2_length_27763_cov_148.8@1,103,9017,I-E,100%,100%,I-E,23,"['Cas2_10_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas5_2_CAS-I', 'Cas7_1_CAS-I-E', 'Cse2gr11_5_CAS-I-E', 'Cas8e_4_CAS-I-E', 'Cas3_0_I']","[1, 2, 3, 4, 5, 6, 7, 8]","['4.20e-31', '2.10e-108', '6.00e-55', '9.40e-31', '3.60e-123', '9.90e-48', '1.50e-96', '6.90e-64']","[0.326, 0.85, 0.955, 0.795, 0.83, 0.955, 0.865, 0.46]","[1.0, 0.993, 0.995, 0.831, 0.967, 0.985, 0.983, 0.95]",-1,-1,ERS3774417.bin.r.1,known,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_27_length_60205_cov_98.8,NODE_27_length_60205_cov_98.8@1,137,6063,II-A,100%,100%,II-A,9,"['Csn2_0_CAS-II-A', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas9_0_II']","[1, 2, 3, 4]","['1.10e-44', '2.90e-32', '1.20e-90', '2.20e-177']","[0.969, 0.935, 0.879, 0.745]","[1.0, 1.0, 1.0, 0.963]",-1,-1,ERS3774419.bin.r.15,known,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_18_length_60296_cov_80.3,NODE_18_length_60296_cov_80.3@1,54265,60191,II-A,100%,100%,II-A,9,"['Cas9_0_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Csn2_0_CAS-II-A']","[45, 46, 47, 48, 49]","['2.30e-177', '3.80e-23', '1.10e-52', '3.00e-32', '1.10e-44']","[0.745, 0.968, 0.81, 0.935, 0.969]","[0.963, 0.338, 0.589, 1.0, 1.0]",1,1,ERS3774421.bin.r.2,known,ERS3774421,Ancient,calculus,ERS3774421-megahit_002
NODE_130_length_60295_cov_481.0,NODE_130_length_60295_cov_481.0@1,54307,60233,II-A,100%,100%,II-A,9,"['Cas9_0_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Csn2_0_CAS-II-A']","[45, 46, 47, 48]","['2.30e-177', '1.20e-90', '3.00e-32', '1.10e-44']","[0.745, 0.879, 0.935, 0.969]","[0.963, 1.0, 1.0, 1.0]",1,1,ERS3774422.bin.r.23,known,ERS3774422,Ancient,calculus,ERS3774422-megahit_023
NODE_76_length_22992_cov_63.1,NODE_76_length_22992_cov_63.1@1,41,5967,II-A,100%,100%,II-A,9,"['Csn2_0_CAS-II-A', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas9_0_II']","[1, 2, 3, 5]","['1.00e-44', '2.20e-32', '3.10e-90', '1.20e-177']","[0.969, 0.935, 0.879, 0.822]","[1.0, 1.0, 1.0, 0.963]",-1,-1,ERS3774425.bin.r.5,known,ERS3774425,Ancient,calculus,ERS3774425-megahit_005
NODE_508_length_4507_cov_32.0,NODE_508_length_4507_cov_32.0@1,20,4506,II-A,100%,100%,II-A,9,"['Csn2_0_CAS-II-A', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas9_0_II']","[1, 2, 3, 4]","['8.50e-44', '1.10e-32', '5.60e-91', '3.00e-108']","[0.945, 0.935, 0.879, 0.6]","[1.0, 1.0, 1.0, 0.653]",-1,-1,ERS6205396.bin.r.8,known,ERS6205396,Ancient,calculus,ERS6205396-megahit_008
NODE_415_length_7213_cov_39.8,NODE_415_length_7213_cov_39.8@1,1492,7011,V-A,100%,100%,V-A,8,"['Cas12a_1_VA', 'Cas4_0_V', 'Cas1_0_V', 'Cas2_11_CAS-I-II-III-IV-V-VI']","[5, 6, 7, 8]","['0.00e+00', '1.90e-49', '3.40e-116', '1.80e-08']","[0.97, 0.963, 0.915, 0.658]","[0.994, 0.871, 0.997, 0.662]",1,1,ERSX0004070.bin.r.2,known,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_289_length_6577_cov_93.1,NODE_289_length_6577_cov_93.1@1,641,6537,II-A,100%,100%,II-A,9,"['Cas9_0_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Csn2_0_CAS-II-A']","[2, 3, 4, 5]","['2.20e-177', '1.20e-90', '3.00e-32', '1.60e-44']","[0.751, 0.879, 0.935, 0.969]","[0.963, 1.0, 1.0, 1.0]",1,1,SRS4625234.bin.r.7,known,SRS4625234,Ancient,calculus,SRS4625234-megahit_007
NODE_2043_length_2142_cov_102.1,NODE_2043_length_2142_cov_102.1@1,237,2102,II-A,0%,100%,II-A,7,"['Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Csn2_0_CAS-II-A']","[2, 3, 4]","['1.10e-90', '2.80e-32', '1.40e-44']","[0.879, 0.935, 0.969]","[1.0, 1.0, 1.0]",,1,SRS4625240.bin.r.4,known,SRS4625240,Ancient,calculus,SRS4625240-megahit_004
NODE_124_length_8586_cov_82.0,NODE_124_length_8586_cov_82.0@1,2650,8546,II-A,100%,100%,II-A,9,"['Cas9_0_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Csn2_0_CAS-II-A']","[2, 3, 4, 5]","['2.10e-177', '1.20e-90', '2.90e-32', '1.50e-44']","[0.751, 0.879, 0.935, 0.969]","[0.963, 1.0, 1.0, 1.0]",1,1,SRS4625241.bin.r.3,known,SRS4625241,Ancient,calculus,SRS4625241-megahit_003
NODE_815_length_2877_cov_16.8,NODE_815_length_2877_cov_16.8@1,3,1721,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['1.00e-18'],[0.576],[0.935],-1,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_2816_length_1277_cov_16.1,NODE_2816_length_1277_cov_16.1@1,152,769,False,29%,0%,I-A,2,['Cas3HD_0_CAS-I'],[2],['6.30e-03'],[0.325],[0.409],1,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_3459_length_1127_cov_16.2,NODE_3459_length_1127_cov_16.2@1,357,1082,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['7.80e-09'],[0.388],[0.317],,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_1785_length_1711_cov_17.7,NODE_1785_length_1711_cov_17.7@1,1499,1711,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['2.80e-09'],[0.887],[0.593],,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_949_length_2597_cov_17.6,NODE_949_length_2597_cov_17.6@1,1489,2583,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[4],['1.60e-04'],[0.351],[0.401],,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_648_length_3461_cov_16.0,NODE_648_length_3461_cov_16.0@1,2215,2892,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[3],['3.50e-14'],[0.81],[0.988],,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_1586_length_1860_cov_16.9,NODE_1586_length_1860_cov_16.9@1,1,1809,False,0%,,IV-B,3,['CysH_0_IVB'],[1],['2.60e-17'],[0.308],[0.727],,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_1463_length_1980_cov_17.1,NODE_1463_length_1980_cov_17.1@1,1378,1728,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['4.70e-19'],[0.812],[0.881],,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_2011_length_1579_cov_15.4,NODE_2011_length_1579_cov_15.4@1,3,1502,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['6.60e-09'],[0.404],[0.53],1,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_2330_length_1438_cov_15.6,NODE_2330_length_1438_cov_15.6@1,131,1438,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['4.80e-11'],[0.472],[0.592],1,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_1712_length_1767_cov_15.2,NODE_1712_length_1767_cov_15.2@1,724,1320,False,0%,0%,I-A,0,['Csa3_0_CAS-I-II-III-IV-V-VI'],[3],['9.90e-03'],[0.397],[0.451],,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_1256_length_2169_cov_14.8,NODE_1256_length_2169_cov_14.8@1,436,2160,False,14%,0%,I-A,1,['Cas3_0_I'],[2],['1.50e-12'],[0.43],[0.696],1,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_1528_length_1915_cov_15.9,NODE_1528_length_1915_cov_15.9@1,90,1571,False,0%,,IV-B,3,['CysH_0_IVB'],[1],['6.40e-17'],[0.381],[0.739],,,ERS11702751.bin.r.2,putative,ERS11702751,Ancient,calculus,ERS11702751-megahit_002
NODE_98_length_4070_cov_98.1,NODE_98_length_4070_cov_98.1@1,1250,1975,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[6],['4.10e-08'],[0.488],[0.415],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_117_length_3863_cov_92.3,NODE_117_length_3863_cov_92.3@1,1,642,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[1],['8.00e-05'],[0.472],[0.338],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_13_length_8295_cov_94.9,NODE_13_length_8295_cov_94.9@2,5574,6443,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[8],['8.40e-06'],[0.338],[0.327],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_345_length_2632_cov_98.6,NODE_345_length_2632_cov_98.6@1,174,983,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['6.00e-08'],[0.385],[0.345],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_13_length_8295_cov_94.9,NODE_13_length_8295_cov_94.9@1,1588,2469,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['1.10e-08'],[0.344],[0.331],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_142_length_3693_cov_95.8,NODE_142_length_3693_cov_95.8@1,1224,2966,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[2],['1.40e-10'],[0.427],[0.708],1,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_42_length_5686_cov_88.0,NODE_42_length_5686_cov_88.0@1,1624,2331,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[3],['1.20e-08'],[0.479],[0.38],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_1907_length_1469_cov_100.5,NODE_1907_length_1469_cov_100.5@1,394,1023,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['3.50e-08'],[0.338],[0.619],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_248_length_2920_cov_105.7,NODE_248_length_2920_cov_105.7@1,1,768,False,14%,0%,I-A,1,['Cas3_0_I'],[1],['8.30e-11'],[0.621],[0.464],-1,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_65_length_4850_cov_91.6,NODE_65_length_4850_cov_91.6@1,3890,4564,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[3],['1.10e-12'],[0.813],[0.988],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_50_length_5235_cov_104.2,NODE_50_length_5235_cov_104.2@1,2061,3038,False,0%,,III-B,1,['htpX_0_CAS-III-B'],[3],['9.00e-16'],[0.712],[0.752],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
