Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_1281_length_7592_cov_16.4937	NODE_1281_length_7592_cov_16.4937@1	223	5653	I-B	40%	100%	I-B	12	['Cas5_8_CAS-I-B', 'Cas3_1_CAS-I', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI']	[2, 3, 4, 5, 6]	['1.20e-74', '8.90e-129', '7.10e-51', '5.40e-135', '1.20e-29']	[0.619, 0.94, 0.958, 0.976, 0.85]	[1.0, 0.946, 0.994, 0.997, 0.989]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.14	known
NODE_3407_length_2481_cov_21.0515	NODE_3407_length_2481_cov_21.0515@1	3	2481	I-B	60%	0%	I-B	8	['Cas7_0_CAS-I', 'Cas8b2_7_CAS-I-B', 'Cas6_13_CAS-I-II-III-IV-V-VI']	[1, 2, 3]	['1.60e-60', '4.90e-277', '2.50e-11']	[0.907, 0.944, 0.746]	[1.0, 1.0, 0.311]	-1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.14	known
NODE_3369_length_2516_cov_4.69728	NODE_3369_length_2516_cov_4.69728@1	174	2303	III-A	60%		III-A	10	['Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_1_CAS-III-A']	[2, 3, 4]	['3.70e-18', '9.80e-69', '9.60e-41']	[0.844, 0.845, 0.973]	[0.855, 0.972, 0.971]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.15	known
NODE_146_length_44367_cov_34.3501	NODE_146_length_44367_cov_34.3501@1	36403	42412	II-A	100%	100%	II-A	9	['Csn2_0_CAS-II-A', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas9_0_II']	[27, 28, 29, 30]	['6.40e-62', '3.10e-39', '1.30e-93', '2.60e-189']	[0.996, 0.961, 0.925, 0.861]	[1.0, 0.97, 1.0, 0.996]	-1	-1	keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.30	known
NODE_239_length_31304_cov_20.4462	NODE_239_length_31304_cov_20.4462@1	7112	16016	III-A	100%		III-A	20	['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Csm6_7_CAS-III', 'Cas6_8_CAS-I-II-III-IV-V-VI', 'Csm5_0_IIIA', 'Csm4gr5_0_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A', 'Cas10_1_CAS-III']	[9, 10, 11, 12, 14, 15, 16, 17, 18]	['6.10e-25', '1.70e-89', '1.00e-53', '3.20e-28', '1.70e-17', '2.60e-22', '1.10e-64', '1.90e-27', '5.10e-151']	[0.689, 0.946, 0.865, 0.944, 0.768, 0.95, 0.825, 0.873, 0.755]	[0.924, 0.987, 0.971, 0.869, 0.363, 0.97, 0.958, 0.973, 0.777]	-1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.5	known
NODE_923_length_10211_cov_5.65685	NODE_923_length_10211_cov_5.65685@1	435	9736	I-E	100%	100%	I-E	24	['Cas3_1_CAS-I', 'Cas8e_4_CAS-I-E', 'Cse2gr11_7_CAS-I-E', 'Cas7_1_CAS-I-E', 'Cas5_2_CAS-I', 'Cas6e_1_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas2_10_CAS-I-II-III-IV-V-VI']	[1, 3, 4, 5, 6, 7, 8, 9]	['1.20e-65', '2.40e-87', '5.30e-33', '5.10e-113', '3.70e-50', '3.00e-60', '5.10e-108', '7.20e-35']	[0.393, 0.884, 0.71, 0.949, 0.852, 0.992, 0.834, 0.634]	[0.475, 0.837, 0.986, 0.986, 0.991, 1.0, 0.993, 1.0]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.6	known
NODE_324_length_18404_cov_32.075	NODE_324_length_18404_cov_32.075@1	8865	14871	II-A	100%	100%	II-A	9	['Cas9_0_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Csn2_0_CAS-II-A']	[8, 9, 10, 11]	['4.10e-188', '3.80e-96', '5.10e-39', '6.20e-67']	[0.858, 0.925, 0.942, 0.996]	[0.996, 1.0, 0.97, 1.0]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	known
NODE_134_length_34894_cov_44.8441	NODE_134_length_34894_cov_44.8441@1	21277	30473	III-D	67%		III-D	12	['Cas6_15_CAS-I-II-III-IV-V-VI', 'Cas10_7_CAS-III', 'Csm3gr7_11_CAS-III-A-III-D', 'Csx10gr5_1_CAS-III-D', 'Csm3gr7_2_CAS-III-A-III-D', 'Csx19_1_CAS-III-D', 'Csm3gr7_4_CAS-III-A-III-D', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[16, 17, 18, 19, 20, 21, 22, 23]	['5.50e-19', '1.60e-97', '1.30e-31', '1.10e-21', '4.70e-32', '3.90e-28', '2.90e-87', '2.40e-19']	[0.442, 0.78, 0.949, 0.55, 0.723, 0.776, 0.949, 0.793]	[1.0, 0.99, 0.912, 0.781, 1.0, 0.825, 0.936, 0.924]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	known
NODE_560_length_11877_cov_27.3148	NODE_560_length_11877_cov_27.3148@1	4537	10602	II-A	100%	100%	II-A	9	['Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Csn2_1_CAS-II-A', 'Cas9_1_II']	[6, 7, 8, 9]	['5.00e-95', '3.70e-45', '2.50e-86', '3.00e-298']	[0.985, 0.963, 0.978, 0.997]	[0.993, 0.914, 0.991, 0.999]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.21	known
NODE_177_length_21549_cov_19.6115	NODE_177_length_21549_cov_19.6115@1	3652	8898	II-A	100%	67%	II-A	7	['Csn2_0_CAS-II-A', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Cas9_0_II']	[4, 5, 7]	['4.50e-66', '1.40e-18', '2.80e-172']	[0.996, 0.942, 0.817]	[1.0, 0.578, 0.969]	-1	-1	keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.14	known
NODE_344_length_15885_cov_14.9718	NODE_344_length_15885_cov_14.9718@1	3923	13224	III-A	100%		III-A	20	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas10_1_CAS-III', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5_0_IIIA', 'Cas6_8_CAS-I-II-III-IV-V-VI', 'Csm6_7_CAS-III']	[3, 4, 5, 6, 7, 8, 9, 10, 11]	['1.40e-89', '2.00e-22', '1.80e-194', '3.30e-20', '8.70e-70', '1.60e-30', '2.50e-26', '7.30e-19', '1.30e-44']	[0.952, 0.717, 0.885, 0.857, 0.872, 0.943, 0.877, 0.92, 0.844]	[0.994, 0.835, 1.0, 0.982, 0.958, 0.97, 0.92, 0.873, 0.997]	1		keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.14	known
NODE_3636_length_3246_cov_10.3034	NODE_3636_length_3246_cov_10.3034@1	1	3244	I-C	75%	0%	I-C	12	['Cas5_1_CAS-I-C', 'Cas8c_1_CAS-I-C', 'Cas7_0_IC']	[1, 2, 3]	['4.40e-88', '4.50e-187', '6.30e-113']	[0.938, 0.977, 0.973]	[1.0, 0.998, 0.887]	1		keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.16	known
NODE_100_length_28639_cov_25.2572	NODE_100_length_28639_cov_25.2572@1	16880	25976	I-C	100%	100%	I-C	21	['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IC', 'Cas4_0_I-II', 'Cas7_1_CAS-I-C', 'Cas8c_0_IC', 'Cas5_1_CAS-I-C', 'Cas3_1_CAS-I']	[13, 14, 16, 17, 18, 19, 20]	['1.30e-27', '2.10e-150', '5.40e-43', '1.30e-115', '2.90e-158', '7.70e-79', '1.30e-55']	[0.847, 0.988, 0.829, 0.94, 0.976, 0.935, 0.493]	[0.987, 1.0, 1.0, 0.964, 0.995, 0.99, 0.557]	-1	-1	keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.20	known
NODE_10_length_81355_cov_45.8016	NODE_10_length_81355_cov_45.8016@2	75216	81047	I-C	75%	100%	I-C	19	['Cas5_1_CAS-I-C', 'Cas8c_0_IC', 'Cas7_1_CAS-I-C', 'Cas4_0_I-II', 'Cas1_0_IC', 'Cas2_11_CAS-I-II-III-IV-V-VI']	[60, 61, 62, 63, 64, 65]	['1.10e-71', '1.40e-120', '3.90e-107', '8.50e-34', '2.30e-129', '4.50e-27']	[0.924, 0.977, 0.957, 0.854, 0.983, 0.763]	[1.0, 0.998, 0.993, 0.983, 0.994, 0.972]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.24	known
NODE_268_length_17585_cov_6.55573	NODE_268_length_17585_cov_6.55573@1	1824	10728	III-A	100%		III-A	20	['Cas10_1_CAS-III', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm5_0_IIIA', 'Cas6_8_CAS-I-II-III-IV-V-VI', 'Csm6_7_CAS-III', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[4, 5, 6, 7, 8, 9, 10, 11, 12]	['6.60e-151', '4.80e-27', '7.50e-65', '8.90e-22', '3.10e-17', '1.10e-27', '9.20e-54', '1.60e-89', '5.70e-25']	[0.755, 0.873, 0.825, 0.95, 0.842, 0.944, 0.865, 0.946, 0.689]	[0.777, 0.973, 0.958, 0.97, 0.89, 0.869, 0.971, 0.987, 0.924]	1		keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.4	known
NODE_487_length_13187_cov_10.2713	NODE_487_length_13187_cov_10.2713@1	3626	12207	I-G	100%	100%	I-G	20	['Csb1gr7_0_CAS-I-U', 'Csb2gr5_0_CAS-I-U', 'Cas3_0_IU', 'Csb3_0_CAS-I-U', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[5, 6, 7, 8, 9, 10]	['6.10e-28', '4.50e-84', '3.60e-98', '3.40e-74', '6.80e-86', '7.00e-21']	[0.427, 0.967, 0.829, 0.968, 0.576, 0.62]	[0.97, 0.982, 0.838, 0.991, 0.975, 0.785]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.5	known
NODE_90_length_30621_cov_12.4019	NODE_90_length_30621_cov_12.4019@1	1926	23167	III-D	50%		III-D	12	['CorA_1_CAS-III-D', 'CasR_0_CAS-III-D', 'Cas10_0_III', 'Csm3gr7_11_CAS-III-A-III-D', 'Csm3gr7_12_CAS-III-A-III-D', 'Csx19_4_CAS-III-D', 'Csm3gr7_4_CAS-III-A-III-D', 'RT_0_CAS-III-AM-III-B', 'Cas6_0_CAS-III-D']	[2, 3, 4, 5, 6, 7, 8, 9, 10]	['2.00e-242', '3.50e-215', '7.90e-124', '3.30e-15', '1.80e-26', '2.00e-64', '4.50e-40', '1.40e-64', '2.30e-147']	[0.99, 0.999, 0.731, 0.342, 0.657, 0.995, 0.474, 0.594, 0.989]	[0.951, 0.986, 0.995, 0.671, 0.99, 1.0, 0.508, 0.856, 0.996]	1		keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.5	known
NODE_200_length_19882_cov_11.5178	NODE_200_length_19882_cov_11.5178@1	11144	18023	I-G	100%	0%	I-G	16	['Csb2gr5_0_CAS-I-U', 'Csb1_0_IU', 'Cas6_0_IVA3', 'Cas8u2_2_CAS-I-U', 'Cas3_0_IU']	[8, 9, 10, 11, 12]	['2.50e-30', '2.50e-75', '1.90e-09', '8.00e-162', '0.00e+00']	[0.715, 0.53, 0.672, 0.962, 0.988]	[0.606, 1.0, 0.72, 0.968, 0.999]	-1		keratinized_gingiva	industrial	HMP_2012__SRS015060__bin.5	known
NODE_82_length_102360_cov_14.2701	NODE_82_length_102360_cov_14.2701@1	49225	51795	I-A	14%	67%	I-A	8	['Cas4_6_CAS-I-II-III-IV-V-VI', 'DEDDh_0_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas5a_0_CAS-I-A']	[53, 54, 55, 56]	['3.30e-03', '1.30e-14', '1.90e-03', '2.50e-03']	[0.546, 0.78, 0.701, 0.381]	[0.325, 0.775, 0.506, 0.31]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS019125__bin.13	known
NODE_183_length_57818_cov_23.8175	NODE_183_length_57818_cov_23.8175@1	13233	29788	III-A	100%		III-A	18	['Cas10_1_CAS-III', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A-III-D', 'Csm5gr7_3_CAS-III-A-III-D', 'Cas6_10_CAS-I-II-III-IV-V-VI', 'Csx16_3_CAS-I-III', 'Can2_Card1_17_CAS-III', 'Csx1_8_CAS-III', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'RecD_0_IVD']	[16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29, 30, 33]	['3.80e-108', '8.50e-22', '1.20e-72', '4.00e-114', '2.00e-23', '2.50e-100', '2.50e-35', '6.90e-87', '2.50e-73', '2.40e-14', '1.80e-79', '5.90e-16', '1.80e-19']	[0.747, 0.846, 0.931, 0.981, 0.548, 0.974, 0.907, 0.982, 0.592, 0.695, 0.793, 0.711, 0.642]	[0.862, 0.955, 0.967, 0.994, 0.668, 0.969, 0.967, 0.992, 1.0, 0.835, 0.996, 0.873, 0.377]	1		keratinized_gingiva	industrial	HMP_2012__SRS019125__bin.23	known
NODE_291_length_40603_cov_53.7337	NODE_291_length_40603_cov_53.7337@1	20175	29929	III-D	67%		III-D	12	['Cas6_15_CAS-I-II-III-IV-V-VI', 'Cas10_7_CAS-III', 'Csm3gr7_11_CAS-III-A-III-D', 'Csx10gr5_1_CAS-III-D', 'Csm3gr7_2_CAS-III-A-III-D', 'Csx19_1_CAS-III-D', 'Csm3gr7_4_CAS-III-A-III-D', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[17, 18, 19, 20, 21, 22, 23, 24]	['1.10e-19', '5.80e-86', '6.30e-36', '1.90e-26', '4.60e-37', '5.30e-30', '1.20e-87', '2.00e-19']	[0.446, 0.754, 0.941, 0.667, 0.739, 0.76, 0.907, 0.793]	[1.0, 0.998, 0.921, 0.967, 0.994, 0.785, 0.902, 0.924]	1		keratinized_gingiva	industrial	HMP_2012__SRS019125__bin.27	known
NODE_954_length_9666_cov_4.03454	NODE_954_length_9666_cov_4.03454@1	198	9444	III-A	100%		III-A	17	['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Csm6_7_CAS-III', 'Cas6_6_IVD', 'Csm5gr7_1_CAS-III-A-III-D', 'Csm4gr5_1_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A', 'Cas10_1_CAS-III']	[1, 2, 3, 4, 5, 6, 7, 8, 9]	['1.10e-19', '5.50e-97', '6.80e-43', '6.60e-20', '1.40e-17', '1.10e-40', '1.10e-68', '4.10e-18', '3.70e-206']	[0.676, 0.95, 0.844, 0.867, 0.877, 0.973, 0.845, 0.844, 0.819]	[0.962, 0.994, 0.992, 0.826, 0.924, 0.971, 0.972, 0.855, 0.998]	-1		keratinized_gingiva	industrial	HMP_2012__SRS019125__bin.4	known
NODE_175_length_60266_cov_64.2459	NODE_175_length_60266_cov_64.2459@1	5960	11969	II-A	100%	100%	II-A	9	['Cas9_0_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Csn2_0_CAS-II-A']	[6, 7, 8, 9]	['2.30e-189', '1.10e-93', '2.70e-39', '5.60e-62']	[0.861, 0.925, 0.961, 0.996]	[0.996, 1.0, 0.97, 1.0]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS019125__bin.7	known
NODE_3407_length_2481_cov_21.0515	NODE_3407_length_2481_cov_21.0515@1	3	2481	I-B	60%	0%	I-B	8	['Cas7_0_CAS-I', 'Cas8b2_7_CAS-I-B', 'Cas6_13_CAS-I-II-III-IV-V-VI']	[1, 2, 3]	['1.60e-60', '4.90e-277', '2.50e-11']	[0.907, 0.944, 0.746]	[1.0, 1.0, 0.311]	-1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.14	orphan
NODE_344_length_23314_cov_5.76942	NODE_344_length_23314_cov_5.76942@1	9338	9706	False	0%	33%	I-A	1	['Cas4_0_I-II-V']	[11]	['8.20e-05']	[0.626]	[0.39]		-1	keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_321_length_24912_cov_4.18868	NODE_321_length_24912_cov_4.18868@1	18134	20266	False	20%		IV-D	4	['RecD_0_IVD']	[19]	['1.30e-17']	[0.682]	[0.586]	-1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1237_length_7852_cov_4.26382	NODE_1237_length_7852_cov_4.26382@1	7168	7851	Ambiguous	['100%', '100%']	['0%', '0%']	['II-A', 'II-C']	2	['Cas9_0_II']	[7]	['2.30e-22']	[0.961]	[0.196]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_229_length_32294_cov_5.08297	NODE_229_length_32294_cov_5.08297@2	21004	23091	False	14%	0%	I-A	1	['Cas3_0_I']	[19]	['2.00e-11']	[0.388]	[0.729]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_3428_length_2467_cov_4.5228	NODE_3428_length_2467_cov_4.5228@1	1781	2371	False	20%	0%	I-D	4	['Csc1_0_ID']	[2]	['1.80e-03']	[0.477]	[0.409]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_206_length_35870_cov_5.43448	NODE_206_length_35870_cov_5.43448@1	8269	9423	False	0%	33%	II-A	3	['Csn2_5_CAS-II-A']	[9]	['3.90e-04']	[0.33]	[0.552]		-1	keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_531_length_16370_cov_5.06914	NODE_531_length_16370_cov_5.06914@1	12774	13538	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[14]	['1.20e-37']	[0.608]	[0.988]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1335_length_7311_cov_4.13906	NODE_1335_length_7311_cov_4.13906@1	6582	7310	False	0%	33%	I-A	1	['Cas4_0_I-II']	[8]	['2.60e-03']	[0.593]	[0.667]		-1	keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_618_length_14202_cov_6.03449	NODE_618_length_14202_cov_6.03449@1	11308	13182	False	0%		III-A	1	['AbiEii_0_CAS-III']	[11]	['4.60e-05']	[0.344]	[0.412]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1287_length_7568_cov_4.0213	NODE_1287_length_7568_cov_4.0213@1	6842	7543	False	0%		III-B	1	['CasR_0_CAS-III-B-III-D']	[9]	['3.00e-04']	[0.65]	[0.361]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1097_length_8854_cov_4.4155	NODE_1097_length_8854_cov_4.4155@1	3308	4974	False	0%		IV-B	3	['CysH_0_IVB', 'CysH_0_IVB']	[5, 6]	['1.50e-10', '9.40e-20']	[0.746, 0.565]	[0.691, 0.683]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_2208_length_4368_cov_4.00278	NODE_2208_length_4368_cov_4.00278@1	1422	2120	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['8.60e-12']	[0.622]	[0.433]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_365_length_22202_cov_4.83095	NODE_365_length_22202_cov_4.83095@1	15931	16383	False	0%	33%	I-A	2	['Cas2_4_CAS-I-II-III-IV-V-VI']	[17]	['5.40e-03']	[0.331]	[0.562]		-1	keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
