"Bin","Structure"
"ERS3774419-megahit_015",1
"ERS3774422-megahit_023",1
"SRS4625234-megahit_007",1
"SRS4625241-megahit_003",1
"ERS3774421-megahit_002",1
"ERS6205396-megahit_008",1
"SRS4625240-megahit_004",1
"ERS3774425-megahit_005",1
"CMC026.B.bin.r.18",2
"CMC042.B.bin.r.11",2
"CMC024.B.bin.r.44",3
"CMC025.B.bin.r.30",3
"CMC027.B.bin.r.16",3
