Bin	total_snps	Cluster
CMC005.B.bin.r.19	1424	4
CMC006.B.bin.r.29	1306	4
CMC010.B.bin.r.61	1245	4
CMC011.B.bin.r.30	1333	4
CMC012.B.bin.r.64	1593	4
CMC016.B.bin.r.37	1498	4
CMC017.B.bin.r.61	1312	4
CMC018.B.bin.r.113	1422	4
CMC022.B.bin.r.79	1337	4
CMC023.A.bin.r.63	1408	4
CMC024.B.bin.r.44	1325	4
CMC025.B.bin.r.30	1564	4
CMC027.B.bin.r.16	1260	4
CMC035.B.bin.r.25	1423	4
CMC038.A.bin.r.14	1560	4
CMC038.B.bin.r.37	1579	4
CMC039.B.bin.r.17	1424	4
ERS11702751-megahit_002	883	3
ERS3395768-metaspades_015	1854	3
ERS4042406-megahit_014	1824	3
ERS4042431-megahit_007	1748	3
ERS6205396-megahit_008	1349	3
ERS6256726-megahit_005	931	3
ERS6636099-megahit_013	1007	3
ERSX0003002-megahit_041	1731	3
ERSX0003003-megahit_042	1721	3
ERSX0004024-megahit_001	1428	1
ERSX0004070-megahit_002	3497	1
ERSX0004102-megahit_008	3358	1
ERSX0005001-megahit_003	1287	3
SRS15300787-megahit_009	1722	2
SRS15300794-megahit_011	2588	2
SRS15300805-megahit_009	1796	2
SRS3078097-megahit_003	665	3
SRS3078204-megahit_008	1333	3
SRS6212649-megahit_008	1906	2
SRS6212660-megahit_002	1500	2
SRS6212663-megahit_006	1853	2
