sample_binID	binner	pass.MIMAG_medium	pass.MIMAG_high	pass.GUNC	pass.Polyrate	GTDBlineage	SGBtype	SGBlineage	checkM.genome_size	checkM.GC	GUNC.n_contigs	checkM.N50_contigs	checkM.coding_density	meanCov	breadth	checkM.lineage	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	checkM2.completeness	checkM2.contamination	GUNC.divergence_level	GUNC.CSS	GUNC.contamination_portion	polyrate
CMC001.B-metaspades_001	binsB	True	True	True	True	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	uSGB_3592	k__Bacteria|p__Spirochaetes|c__CFGB1017|o__OFGB1017|f__FGB1017|g__GGB2666|s__GGB2666_SGB3592|t__SGB3592	2428530	41.9000	177	20477	87.3500	15.1277	0.9984	f__Spirochaetaceae (UID2535)	97.9000	0.7000	100.0000	86.3000	0.8400	class	0.1300	0.0500	0.0002
CMC001.B-metaspades_002	binsB	True	True	True	True	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium durum	kSGB_17008	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum|t__SGB17008	2449015	57.5000	200	12895	89.1300	19.0745	0.9970	o__Actinomycetales (UID1809)	91.6900	0.6800	50.0000	91.1400	0.4100	kingdom	0.0000	0.0000	0.0029
CMC001.B-metaspades_003	binsAC	True	False	True	True	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter sp000466335	kSGB_9733	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_sp_oral_taxon_458|t__SGB9733	1302939	43.6000	419	3290	87.5000	67.1432	0.9989	f__Pasteurellaceae (UID4932)	74.7100	3.3800	100.0000	70.1000	2.9200	kingdom	0.0000	0.0000	0.0043
CMC001.B-metaspades_004	binsC	True	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__F0428;s__	uSGB_4476	k__Bacteria|p__Firmicutes|c__CFGB1395|o__OFGB1395|f__FGB1395|g__GGB3388|s__GGB3388_SGB4476|t__SGB4476	1287386	33.0000	530	2666	93.8100	6.1231	0.9982	o__Clostridiales (UID1226)	73.4300	0.3200	0.0000	77.9400	3.8800	genus	0.1200	0.7200	0.0001
CMC001.B-metaspades_005	binsABC	True	False	True	True	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus;s__Nanosyncoccus sp905372495	uSGB_19792	k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4342|o__OFGB4342|f__FGB4342|g__GGB12762|s__GGB12762_SGB19792|t__SGB19792	658106	39.9000	50	15556	89.7200	25.0000	0.9996	k__Bacteria (UID203)	72.4100	1.7200	100.0000	79.2500	0.4500	order	0.2200	0.2000	0.0002
CMC001.B-metaspades_006	binsC	True	False	True	True	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_B;s__Treponema_B sp905372205	uSGB_3598	k__Bacteria|p__Firmicutes|c__CFGB1021|o__OFGB1021|f__FGB1021|g__GGB2671|s__GGB2671_SGB3598|t__SGB3598	1759266	34.7000	495	4141	89.5500	7.2890	0.9972	f__Spirochaetaceae (UID2512)	76.3800	2.0400	50.0000	83.8100	0.1600	phylum	0.0600	0.0500	0.0009
CMC001.B-metaspades_007	binsC	True	True	True	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	kSGB_2057	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis|t__SGB2057	2103815	48.8000	78	32217	86.3200	41.0679	0.9995	f__Porphyromonadaceae (UID2622)	99.9200	0.0000	0.0000	99.9700	0.0300	kingdom	0.0000	0.0000	0.0000
CMC001.B-metaspades_008	binsB	True	False	True	False	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp013333945	uSGB_15899	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium|s__Pseudopropionibacterium_SGB15899|t__SGB15899	1652291	63.3000	355	5659	91.2800	15.6761	0.9973	o__Actinomycetales (UID1697)	57.7600	0.1700	100.0000	53.0500	1.4900	family	0.3900	0.0500	0.0053
CMC001.B-metaspades_009	binsBC	True	True	True	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas endodontalis	kSGB_2016	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis|t__SGB2016	1545176	48.3000	206	8976	88.9500	14.8655	0.9982	f__Porphyromonadaceae (UID2622)	90.8000	0.8100	75.0000	80.4100	0.5400	kingdom	0.0000	0.0000	0.0028
CMC001.B-metaspades_010	binsAC	True	True	True	True	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	kSGB_6939	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__SGB6939	1453022	39.2000	287	6582	88.7200	35.8812	0.9978	o__Selenomonadales (UID1024)	90.6200	0.0000	0.0000	80.3200	0.0600	kingdom	0.0000	0.0000	0.0031
