genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GCA_900315125.1_Rumen_uncultured_genome_RUG067_genomic.fna,1_1,0.010000000000000009,average,ANImf,1
GCA_902786035.1_Rumen_uncultured_genome_RUG13131_genomic.fna,1_1,0.010000000000000009,average,ANImf,1
GCA_002304835.1_ASM230483v1_genomic.fna,2_1,0.010000000000000009,average,ANImf,2
GCA_012515135.1_ASM1251513v1_genomic.fna,2_2,0.010000000000000009,average,ANImf,2
GCA_017382675.1_ASM1738267v1_genomic.fna,3_1,0.010000000000000009,average,ANImf,3
GCA_017386805.1_ASM1738680v1_genomic.fna,3_2,0.010000000000000009,average,ANImf,3
GCA_017472365.1_ASM1747236v1_genomic.fna,4_0,0.010000000000000009,average,ANImf,4
GCA_017621195.1_ASM1762119v1_genomic.fna,5_0,0.010000000000000009,average,ANImf,5
GCA_012511395.1_ASM1251139v1_genomic.fna,6_0,0.010000000000000009,average,ANImf,6
GCA_902766915.1_Rumen_uncultured_genome_RUG11214_genomic.fna,7_0,0.010000000000000009,average,ANImf,7
GCA_902797405.1_Rumen_uncultured_genome_RUG14262_genomic.fna,8_0,0.010000000000000009,average,ANImf,8
GCA_018064645.1_ASM1806464v1_genomic.fna,9_0,0.010000000000000009,average,ANImf,9
GCA_021442505.1_ASM2144250v1_genomic.fna,10_0,0.010000000000000009,average,ANImf,10
GCA_024403065.1_ASM2440306v1_genomic.fna,11_0,0.010000000000000009,average,ANImf,11
GCA_017432725.1_ASM1743272v1_genomic.fna,12_0,0.010000000000000009,average,ANImf,12
GCA_017619385.1_ASM1761938v1_genomic.fna,13_0,0.010000000000000009,average,ANImf,13
GCA_002315535.1_ASM231553v1_genomic.fna,14_0,0.010000000000000009,average,ANImf,14
GCA_905236895.1_RUG30373_genomic.fna,15_0,0.010000000000000009,average,ANImf,15
ERS6256699.bin.r.23.fa,16_1,0.010000000000000009,average,ANImf,16
ERS6256704.bin.r.15.fa,16_1,0.010000000000000009,average,ANImf,16
ERS3774468.bin.r.19.fa,16_2,0.010000000000000009,average,ANImf,16
SRS15300805.bin.r.19.fa,16_3,0.010000000000000009,average,ANImf,16
ERSX0003002.bin.r.27.fa,16_4,0.010000000000000009,average,ANImf,16
ERSX0003003.bin.r.12.fa,16_5,0.010000000000000009,average,ANImf,16
ERS6636090.bin.r.4.fa,16_6,0.010000000000000009,average,ANImf,16
ERS6636099.bin.r.8.fa,16_6,0.010000000000000009,average,ANImf,16
SRS7212803.bin.r.2.fa,16_7,0.010000000000000009,average,ANImf,16
ERS6636154.bin.r.5.fa,16_8,0.010000000000000009,average,ANImf,16
SRS9263818.bin.r.5.fa,16_9,0.010000000000000009,average,ANImf,16
ERS4042423.bin.r.16.fa,16_10,0.010000000000000009,average,ANImf,16
ERS2985759.bin.r.5.fa,16_11,0.010000000000000009,average,ANImf,16
ERS11702738.bin.r.8.fa,16_12,0.010000000000000009,average,ANImf,16
ERS4042427.bin.r.11.fa,16_13,0.010000000000000009,average,ANImf,16
ERS3636092.bin.r.1.fa,16_14,0.010000000000000009,average,ANImf,16
ERSX0003001.bin.r.17.fa,16_15,0.010000000000000009,average,ANImf,16
ERS6205397.bin.r.11.fa,16_16,0.010000000000000009,average,ANImf,16
ERSX0004009.bin.r.9.fa,17_1,0.010000000000000009,average,ANImf,17
ERSX0004011.bin.r.11.fa,17_2,0.010000000000000009,average,ANImf,17
ERS12516967.bin.r.61.fa,17_3,0.010000000000000009,average,ANImf,17
ERS12516969.bin.r.8.fa,17_4,0.010000000000000009,average,ANImf,17
ERS12516962.bin.r.59.fa,17_5,0.010000000000000009,average,ANImf,17
CMC038.A.bin.r.47.fa,17_6,0.010000000000000009,average,ANImf,17
CMC038.B.bin.r.107.fa,17_7,0.010000000000000009,average,ANImf,17
ERS12516951.bin.r.9.fa,17_8,0.010000000000000009,average,ANImf,17
ERS12516980.bin.r.23.fa,17_9,0.010000000000000009,average,ANImf,17
ERS12516936.bin.r.32.fa,17_10,0.010000000000000009,average,ANImf,17
ERS12516978.bin.r.36.fa,17_11,0.010000000000000009,average,ANImf,17
ERS12516970.bin.r.144.fa,17_12,0.010000000000000009,average,ANImf,17
GCA_000161975.1_ASM16197v1_genomic.fna,17_13,0.010000000000000009,average,ANImf,17
SEQF1017.1.fna,17_13,0.010000000000000009,average,ANImf,17
CM_periimplantitis__SP_184SPT_T016__bin.9.fa,17_14,0.010000000000000009,average,ANImf,17
GCA_905372295.1_SRR9217404-mag-bin.16_genomic.fna,17_14,0.010000000000000009,average,ANImf,17
MGYG000298139.fna,17_14,0.010000000000000009,average,ANImf,17
ERS3395771.bin.r.11.fa,17_15,0.010000000000000009,average,ANImf,17
