accession	genome	Source	GC_pct	completeness	contamination	checkM2.completeness	checkM2.contamination	primary_cluster	secondary_cluster	length	N50	gtdb_taxonomy	ncbi_isolation_source	ncbi_genome_category	gtdb_representative	ncbi_refseq_category	MAG_source	fBAPS_l1	fBAPS_l2	Study	Age_BP	Continent	Country	sample_host	classification	Host	GUNC.n_contigs	checkM.N50_contigs	QUAL
GCA_900315125.1	GCA_900315125.1_Rumen_uncultured_genome_RUG067_genomic	none	52.6562049820933	97.73	1.42			1	1_1	2315051	38533	g__Hornefia;s__Hornefia sp900315125	none	derived from environmental sample	t	na	NCBI MAG												
GCA_902786035.1	GCA_902786035.1_Rumen_uncultured_genome_RUG13131_genomic	gut	53.0047987796481	93.97	0			1	1_1	2171375	25816	g__Hornefia;s__Hornefia sp900315125	cattle rumen	derived from metagenome	f	na	NCBI MAG												
GCA_002304835.1	GCA_002304835.1_ASM230483v1_genomic	environmental	42.5129032147143	83.6	0			2	2_1	1455888	90566	g__UBA1422;s__UBA1422 sp002304835	closed biodigester	derived from metagenome	t	na	NCBI isolate												
GCA_012515135.1	GCA_012515135.1_ASM1251513v1_genomic	environmental	43.0298788512372	82.13	1.42			2	2_2	1241614	5743	g__UBA1422;s__UBA1422 sp012515135	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	derived from metagenome	t	na	NCBI isolate												
GCA_017382675.1	GCA_017382675.1_ASM1738267v1_genomic	gut	50.0536849597664	86.47	6.97			3	3_1	1740711	5095	g__RGIG446;s__RGIG446 sp017386805	ruminant gastrointestinal tract	derived from metagenome	f	na	NCBI isolate												
GCA_017386805.1	GCA_017386805.1_ASM1738680v1_genomic	gut	50.1518401527485	86.17	6.15			3	3_2	1574353	5226	g__RGIG446;s__RGIG446 sp017386805	ruminant gastrointestinal tract	derived from metagenome	t	na	NCBI isolate												
GCA_017472365.1	GCA_017472365.1_ASM1747236v1_genomic	gut	48.8812440543751	98.79	1.91			4	4_0	2503942	27213	g__RGIG446;s__RGIG446 sp017472365	ruminant gastrointestinal tract	derived from metagenome	t	na	NCBI isolate												
GCA_017621195.1	GCA_017621195.1_ASM1762119v1_genomic	gut	54.3636885164948	84.34	2.6			5	5_0	2116157	7428	g__RGIG446;s__RGIG446 sp017621195	ruminant gastrointestinal tract	derived from metagenome	t	na	NCBI isolate												
GCA_012511395.1	GCA_012511395.1_ASM1251139v1_genomic	environmental	40.7428567075725	80.43	0.71			6	6_0	1181493	10873	g__JAAZGD01;s__JAAZGD01 sp012511395	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	derived from metagenome	t	na	NCBI isolate												
GCA_902766915.1	GCA_902766915.1_Rumen_uncultured_genome_RUG11214_genomic	gut	41.0512547482155	81.51	0.77			7	7_0	1443437	7695	g__Eubacterium_B;s__Eubacterium_B sp902766915	cattle rumen	derived from metagenome	t	na	NCBI MAG												
GCA_902797405.1	GCA_902797405.1_Rumen_uncultured_genome_RUG14262_genomic	gut	42.0934078333106	83.06	2.65			8	8_0	1701656	7787	g__Eubacterium_B;s__Eubacterium_B sp902797405	cattle rumen	derived from metagenome	t	na	NCBI MAG												
GCA_018064645.1	GCA_018064645.1_ASM1806464v1_genomic	gut	43.7754537371527	94.68	0.95			9	9_0	1608310	26346	g__RUG099;s__RUG099 sp018064645	equine fecal microbiome	derived from metagenome	t	na	NCBI isolate												
GCA_021442505.1	GCA_021442505.1_ASM2144250v1_genomic	gut	45.5036200008379	67.14	1.21			10	10_0	1459692	20026	g__RUG099;s__RUG099 sp021442505	Cecum and rectal contents from Capybaras	derived from metagenome	t	na	NCBI isolate												
GCA_024403065.1	GCA_024403065.1_ASM2440306v1_genomic	gut	39.0462658197668	89.72	1.89			11	11_0	1656709	11858	g__JAKSSM01;s__JAKSSM01 sp024403065	feces from endurance ride Fontainebleau	derived from metagenome	t	na	NCBI isolate												
GCA_017432725.1	GCA_017432725.1_ASM1743272v1_genomic	gut	49.1035902014334	63	1.77			12	12_0	1424739	31840	g__RUG13409;s__RUG13409 sp017432725	ruminant gastrointestinal tract	derived from metagenome	t	na	NCBI isolate												
GCA_017619385.1	GCA_017619385.1_ASM1761938v1_genomic	gut	48.4144201524773	55.91	0.04			13	13_0	1403619	13469	g__RUG13409;s__RUG13409 sp017619385	ruminant gastrointestinal tract	derived from metagenome	t	na	NCBI isolate												
GCA_002315535.1	GCA_002315535.1_ASM231553v1_genomic	gut	42.8461649068357	80	1.42			14	14_0	1481509	29358	g__UBA1764;s__UBA1764 sp002315535	Feces of six-years-old elephant	derived from metagenome	t	na	NCBI isolate												
GCA_905236895.1	GCA_905236895.1_RUG30373_genomic	environmental	45.3700998198012	88.96	0.12			15	15_0	1372373	9083	g__Eubacterium_B;s__Eubacterium_B sp905236895	metagenome	derived from environmental sample	t	na	NCBI MAG												
	ERS6256699.bin.r.23	oral		80.26	1.9			16	16_1	910357	6960	g__Eubacterium_N;s__					Ancient			Ottoni2021	7000	Europe	Serbia	Homo		Human			
	ERS6256704.bin.r.15	oral		66.91	1.44			16	16_1	743850	4432	g__Eubacterium_N;s__					Ancient			Ottoni2021	7600	Europe	Serbia	Homo		Human			
	ERS4042423.bin.r.16	oral		78.14	0.59			16	16_10	804605	5780	g__Eubacterium_N;s__					Ancient			Fagernas2020	1100	Europe	Spain	Homo		Human			
	ERS2985759.bin.r.5	oral		87.71	0.71			16	16_11	1072546	48816	g__Eubacterium_N;s__					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS11702738.bin.r.8	oral		54.32	1.65			16	16_12	527397	2653	g__Eubacterium_N;s__					Ancient			Velsko2022	900	Europe	Spain	Homo		Human			
	ERS4042427.bin.r.11	oral		55.18	1.42			16	16_13	634959	3055	g__Eubacterium_N;s__					Ancient			Fagernas2020	1100	Europe	Spain	Homo		Human			
	ERS3636092.bin.r.1	oral		80.24	2.6			16	16_14	908568	4120	g__Eubacterium_N;s__					Ancient			Neukamm2020	4000	Africa	Egypt	Homo		Human			
	ERSX0003001.bin.r.17	oral		88.77	0.73			16	16_15	964403	18481	g__Eubacterium_N;s__					Ancient			SMH2023	700	Europe	Germany	Homo		Human			
	ERS6205397.bin.r.11	oral		56.04	2.3			16	16_16	650692	1981	g__Eubacterium_N;s__					Ancient			Granehall2021	1300	Europe	Italy	Homo		Human			
	ERS3774468.bin.r.19	oral		85.93	0.71			16	16_2	953265	45498	g__Eubacterium_N;s__					Ancient			FellowsYates2021-humanaDNA	9200	Europe	Germany	Homo		Human			
