"gene"	"coordinates"	"locus_tag"	"panaroo_group"	"old_panaroo"
"acs"	"176778..178874"	"HCIHGE_01411"	"group_4616"	"group_4432"
"aksF"	"complement(10819..11796)"	"HCIHGE_01924"	"group_3948"	"group_3854"
"cofC"	"371663..372337"	"HCIHGE_00850"	"group_4951"	"group_4858"
"cofD"	"complement(191254..192159)"	"HCIHGE_00204"	"group_4999"	"group_4909"
"cofG"	"267691..268791"	"HCIHGE_00278"	"cofG"	"cofG"
"cofH"	"58955..60097"	"HCIHGE_01637"	"group_4931"	"group_4881"
"comA"	"51920..52690"	"HCIHGE_01630"	"group_4757"	"group_4800"
"comB"	"257236..257925"	"HCIHGE_00266"	"group_3907"	"group_3810"
"comC"	"273493..274521"	"HCIHGE_00283"	"group_3829"	"group_3730"
"comE"	"complement(57819..58355)"	"HCIHGE_01635"	"group_4809"	"group_4730"
"fbp"	"complement(66428..67522)"	"HCIHGE_01005"	"group_3214"	"group_3133"
"fwdF_1"	"complement(167956..169053)"	"HCIHGE_01117"	"group_2844"	"group_2763"
"fwdF_2"	"complement(81271..82281)"	"HCIHGE_01796"	"group_3925"	"group_3827"
"hmd"	"21973..22989"	"HCIHGE_00946"	"group_3552"	"group_3454"
"hxlB"	"complement(176599..177189)"	"HCIHGE_01124"	"group_4955"	"group_1571"
"mch"	"complement(196478..197449)"	"HCIHGE_00656"	"group_2192"	"group_2118"
"mcrA_1"	"16850..18505"	"HCIHGE_01930"	"group_4319"	"group_4228"
"mcrA_2"	"complement(249120..250775)"	"HCIHGE_00258"	"group_4714"	"group_4639"
"mcrB_1"	"14202..15533"	"HCIHGE_01927"	"group_4269"	"group_4174"
"mcrB_2"	"complement(252638..253966)"	"HCIHGE_00262"	"group_1371"	"group_1315"
"mcrG_1"	"16054..16857"	"HCIHGE_01929"	"group_4318"	"group_4227"
"mcrG_2"	"complement(250781..251539)"	"HCIHGE_00259"	"group_3610"	"group_3512"
"mer"	"complement(15330..16292)"	"HCIHGE_01986"	"group_930"	"group_885"
"mfnA"	"complement(200722..201879)"	"HCIHGE_00216"	"group_4488"	"group_4413"
"mtrA_1"	"complement(245426..246142)"	"HCIHGE_00253"	"group_3575"	"group_3478"
"mtrA_2"	"complement(89160..89723)"	"HCIHGE_00553"	"group_4780"	"group_4655"
"mtrC"	"complement(246489..247301)"	"HCIHGE_00255"	"group_3021"	"group_2935"
"mtrD"	"complement(247302..248003)"	"HCIHGE_00256"	"group_1112"	"group_1067"
"mtrE"	"complement(248016..248927)"	"HCIHGE_00257"	"group_4846"	"group_4758"
"mtrG"	"complement(244953..245195)"	"HCIHGE_00251"	"group_147"	"group_138"
"mtrH_1"	"80767..81705"	"HCIHGE_01023"	"group_3586"	"group_3490"
"mtrH_2"	"complement(244001..244939)"	"HCIHGE_00250"	"group_2841"	"group_2760"
"mcrB_2"			"group_4192"	
"mcrD_2"			"group_1251"	
"mcrC"			"group_3852"	
"mtrB"			"group_4601"	
"mtrB"			"group_3644"	
"mmp14"			"group_3576"	
"mmp10"			"group_4685"	
"mmp7"			"group_4373"	
"mcrD_1"			"group_4270"	
"mcrD_2"			"group_4387"	
"mcrC"			"group_3673"	
"mtrD"			"group_4156"	
"mtrC"			"group_4241"	
"mtrB"			"group_4242"	
"mtrA_1"			"group_4303"	
"mtrF"			"group_4601"	
"mtrG"			"group_4339"	
"mtrH_2"			"group_4368"	
"mcrG_2"			"group_3731"	
"mmp10"			"group_1809"	
"mtrE"			"group_1996"	
"mtrF"			"group_1548"	
